Ref,x1,y1,x2,y2,Angular Connectivity,Axial Line Ref,Connectivity,NACH,NAIN,Segment Length,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth
0,618903.20649,4828255.85942,619041.175003,4828303.63047,3.0125358,-1,5,0.85632581,0.81415105,146.00475,114743,6169.8701,70707,810305.56
1,644576.15003,4850289.45297,644625.754596,4850284.21626,2.5232089,-1,4,0.85636735,0.81214213,49.880219,115051,6154.6455,70707,812309.94
2,644625.754596,4850284.21626,644691.539549,4850350.13791,0.5676201,-1,1,0,0.77398401,93.130684,0,5865.4717,70707,852357.69
3,636163.577703,4836645.91244,636177.391764,4836684.35962,1.9833893,-1,4,1.311466,1.1736132,40.853569,34730228,8893.9863,70707,562119.12
4,619512.035161,4830046.2392,619644.26316,4830092.42133,2.3751066,-1,3,0.90859318,0.82576448,140.06082,230658,6257.8794,70707,798909.56
5,619466.039588,4830059.45994,619512.035161,4830046.2392,0.85655206,-1,2,0.85545516,0.79817164,47.857922,115331,6048.7729,70707,826527.94
6,619445.734566,4830091.75043,619466.039588,4830059.45994,0.46445394,-1,1,0,0.76764637,38.144066,0,5817.4434,70707,859394.69
7,619644.26316,4830092.42133,619730.40507,4829960.29204,1.0171283,-1,3,0.94987285,0.90041095,157.72945,372325,6823.5737,70707,732677.62
8,619730.40507,4829960.29204,619765.579211,4829859.51237,1.1503706,-1,3,0.96757185,0.90592736,106.74157,470066,6865.3784,70707,728216.19
9,619047.750575,4830267.6605,619130.427665,4830075.63366,3.0784585,-1,5,1.3432482,1.09642,209.06891,57961540,8308.9912,70707,601695.12
10,618436.840891,4829808.13141,618522.76046,4829836.34025,1.9995538,-1,3,0,0.87614638,90.431801,0,6639.6895,70707,752968.94
11,618941.665608,4829701.02932,618977.563089,4829582.81028,0.99068528,-1,2,0,0.88793522,123.54906,0,6729.0283,70707,742972
12,618515.812822,4829561.24093,618616.693307,4829588.48989,3.0009801,-1,4,0.79150796,0.87517637,104.49583,44863,6632.3379,70707,753803.5
13,618616.693307,4829588.48989,618691.277253,4829365.61385,1.4327998,-1,2,0.38940054,0.8028478,235.02444,200,6084.21,70707,821713.88
14,618682.840806,4829346.5188,618691.277253,4829365.61385,0.9850148,-1,2,0.3885943,0.83274931,20.875698,195,6310.8125,70707,792208.56
15,618639.648865,4829330.92518,618682.840806,4829346.5188,1.5383554,-1,3,0.79111016,0.87243521,45.920631,44733,6611.5649,70707,756171.94
16,618594.67732,4829317.41051,618639.648865,4829330.92518,2.0276666,-1,4,0.83019847,0.87472039,46.958347,75766,6628.8828,70707,754196.44
17,618544.897624,4829299.85286,618594.67732,4829317.41051,2.0160089,-1,4,0.94486904,0.87573367,52.785313,357255,6636.5615,70707,753323.81
18,618450.706483,4829269.10968,618544.897624,4829299.85286,2.9693646,-1,5,0.94098485,0.87588745,99.081352,338906,6637.7266,70707,753191.56
19,618515.812822,4829561.24093,618594.67732,4829317.41051,4.0085936,-1,5,0.94716418,0.91406739,256.26721,353870,6927.0664,70707,721731.19
20,618436.840891,4829808.13141,618515.812822,4829561.24093,3.9769194,-1,6,1.0167611,0.91406983,259.2132,904832,6927.0854,70707,721729.25
21,618351.050414,4829237.8548,618450.706483,4829269.10968,4.0701938,-1,6,0.93699998,0.87594247,104.44233,321096,6638.144,70707,753144.25
22,618625.982302,4828120.23574,618659.207977,4828021.24111,2.0281873,-1,4,0.99268264,0.99873662,104.42166,598849,7568.7158,70707,660545.31
