segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,134.44374,619,2849.9727,1.5841484,2,13.340472,0.7850248685367701,0.0,93.18929932493434,,,,False,0.7850248685367701,0.0
1,0,125.72704,619,3047.5625,0.47927028,1,0.50411743,0.7341608817290864,0.0,87.14734329614747,0.99176657,0.91903961,14.728048126683005,True,0.8114425882103606,0.27571188300000005
2,1096,139.15298,619,2753.5234,2.3433461,3,29.086199,0.8125024428709106,0.8836880849252213,974.2441920229214,0.99176657,0.91903961,0.0,True,0.8662816810096374,0.8942935424476549
3,4787,183.0798,619,2092.8633,2.3899705,4,51.457474,1.0687425255327911,1.108025287776357,1551.432304099345,1.113812,1.2622708,0.0,True,1.0822633678729539,1.15429894144345
4,2266,177.80511,619,2154.9492,2.0705886,4,121.25722,1.0379797048015582,1.0064217272483142,1373.8385048101384,1.101786,1.2614934,0.0,True,1.057121593361091,1.08294322907382
5,903,149.55702,619,2561.9727,3.2446132,4,52.602829,0.8732033277452437,0.8671448157083917,1018.1744625336286,1.003395,0.87338275,0.0,True,0.9122608294216706,0.8690161959958742
6,0,174.95874,619,2190.0078,1.0549221,2,205.55591,1.0213784339124876,0.0,121.27215734532052,1.0955355,1.2610407,12.358227250885616,True,1.0436255537387413,0.37831221000000004
7,0,136.75679,619,2801.7695,1.5075951,2,9.4248056,0.7985212385996627,0.0,94.79258341092851,,,,False,0.7985212385996627,0.0
8,0,142.22754,619,2694.0,0.48094979,1,63.258495,0.8304412069317348,0.0,98.58461834897685,,,,False,0.8304412069317348,0.0
9,1095,159.81351,619,2397.5508,2.3374548,3,32.037651,0.9330369225306491,0.8992695178941088,1118.7480212705402,1.0440152,1.0242517,0.0,True,0.9663304057714543,0.9367641725258762
10,0,154.61072,619,2478.2305,0.94922441,2,30.241312,0.9026860583675417,0.0,107.16798465234314,,,,False,0.9026860583675417,0.0
