segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,311.25052,798,2045.9531,1.0271963,2,17.951153,1.4828030236380578,0.0,215.74242038581687,,,,False,1.4828030236380578,0.0
1,0,336.94516,798,1889.9336,0.99851352,2,87.33728,1.605083312093476,0.0,233.55258765731963,,,,False,1.605083312093476,0.0
2,0,303.37488,798,2099.0664,2.0091624,3,78.413704,1.4453189337323815,0.0,210.28344272471173,,,,False,1.4453189337323815,0.0
3,0,180.82535,798,3521.6523,1.0117471,1,87.646202,0.8618078034966542,0.0,125.33858152626529,,,,False,0.8618078034966542,0.0
4,1429,234.43593,798,2716.3242,3.0303729,4,51.472042,1.117126150349886,0.9187281639969976,1703.4416579350816,1.0056549,0.10350174,0.0,True,1.0836847752449201,0.6741602367978984
5,0,330.06448,798,1929.332,1.9813745,3,112.32602,1.5723402547821574,0.0,228.78326371498446,,,,False,1.5723402547821574,0.0
6,0,179.87563,798,3540.2461,1.0157536,1,134.99139,0.8572840404705178,0.0,124.68028578594391,,,,False,0.8572840404705178,0.0
7,1429,233.1071,798,2731.8086,3.0514383,4,51.117313,1.110798703665258,0.9180689887699236,1693.7862080289435,1.0056009,0.78076267,0.0,True,1.0792393625656806,0.8768770931389465
8,0,313.73761,798,2029.7344,1.9904673,3,195.23738,1.494639776217272,0.0,217.4663398071157,,,,False,1.494639776217272,0.0
9,0,331.90237,798,1918.6484,1.9939635,3,216.61713,1.5810863919439568,0.0,230.05719198666378,,,,False,1.5810863919439568,0.0
10,0,274.47247,798,2320.1016,2.0049186,3,223.94225,1.3077425419064066,0.0,190.24981872182417,,,,False,1.3077425419064066,0.0
11,0,267.02783,798,2384.7852,2.003864,3,207.87762,1.272301776024476,0.0,185.08958749554037,0.99641526,0.0,2.813572944060282,True,1.1895358212171332,0.0
12,6671,296.3602,798,2148.75,3.0367594,5,50.398323,1.4119312095543106,1.1474632241581522,2609.6960027170758,1.107474,1.0135432,0.0,True,1.3205940466880173,1.1072872169107064
