segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,94.124428,923,9051.0938,1.667557,2,17.034567,0.39943399229390764,0.0,65.24208189001756,,,,False,0.39943399229390764,0.0
1,0,91.476288,923,9313.1133,1.7667478,2,18.360006,0.38819854173381046,0.0,63.40653111528955,,,,False,0.38819854173381046,0.0
2,2651,99.927345,923,8525.4844,2.031487,4,81.106255,0.4240539448122853,0.8709450834801773,787.7718636189142,0.80650181,0.81792265,0.0,True,0.5387883043685997,0.8550383534361241
3,0,90.729492,923,9389.7695,1.878804,2,48.496296,0.38503004137241903,0.0,62.888891573436105,,,,False,0.38503004137241903,0.0
4,5637,101.1834,923,8419.6523,2.1678033,4,81.401085,0.42938288952456793,0.9555913713727259,873.9677749396916,0.80004042,0.84604496,0.0,True,0.5405801486671975,0.9227274479609081
5,0,93.283531,923,9132.6836,0.89829755,2,76.028824,0.39586630008128837,0.0,64.65921650532626,,,,False,0.39586630008128837,0.0
6,0,92.908676,923,9169.5312,1.8553171,2,88.555428,0.39427586520615265,0.0,64.39938681895745,,,,False,0.39427586520615265,0.0
7,3132,102.4642,923,8314.4062,2.331172,3,62.024036,0.43481683219672745,0.8918293815060083,824.8435135067461,0.84251702,0.99701124,0.0,True,0.5571268885377092,0.9233839390542058
8,4692,106.40665,923,8006.3516,0.9303177,3,52.624374,0.4515427868008722,0.9405300333324482,899.5661154186303,0.81841713,0.98327065,0.0,True,0.5616050897606106,0.9533522183327137
9,7800,108.17851,923,7875.2148,2.3819828,4,75.080177,0.45905989502091826,0.9989021893902653,969.5104529156738,0.81017375,0.96490878,0.0,True,0.5643940515146428,0.9887041665731857
10,2016,100.25408,923,8497.6992,2.4608698,4,153.73752,0.42544016135832474,0.8410087896607988,762.9197338793635,0.80300444,0.81564915,0.0,True,0.5387094449508274,0.8334008977625591
11,0,91.340508,923,9326.957,1.1083993,2,144.10686,0.38762247474666495,0.0,63.31241559111313,0.91561282,0.0,0.0,True,0.5460195783226656,0.0
12,531,97.604889,923,8728.3438,2.5423679,4,104.26853,0.41420057239271874,0.6916659593370098,612.8143866898291,0.79200506,0.66703123,0.0,True,0.5275419186749032,0.6842755405359069
13,6252,122.42984,923,6958.5078,2.4032385,3,48.388741,0.5195186189066872,0.9878692468327067,1070.1563589932716,0.78152817,0.95552063,0.0,True,0.5981214842346809,0.9781646617828947
14,4695,118.59222,923,7183.6836,0.46194285,2,108.00025,0.5032386061564447,0.9520811435353087,1002.6591859179563,0.76574522,0.93304533,0.0,True,0.5819905903095113,0.9463703994747161
15,3134,115.4827,923,7377.1133,0.92954588,2,90.490662,0.49004714416638967,0.9038729510818112,929.7169633913201,0.75271535,0.90224504,0.0,True,0.5688476059164728,0.9033845777572678
16,1569,106.03973,923,8034.0547,1.3044342,2,38.684856,0.4499861603910217,0.8183918900083613,780.3959613043638,0.71167541,0.84811652,0.0,True,0.5284929352737152,0.8273092790058529
17,0,99.365349,923,8573.7031,0.58786052,1,71.279381,0.42166961203976655,0.0,68.87481150470498,0.68122995,0.0,0.0,True,0.4995377134278366,0.0
18,0,140.15538,923,6078.4609,0.76832366,2,24.323137,0.594710410710021,0.0,97.14830648730775,0.79000324,0.0,0.0,True,0.6532982594970147,0.0
19,18,123.11335,923,6919.875,3.9154496,4,71.474953,0.5224181885898291,0.3329839073918626,368.8146359003482,0.77856374,0.71756172,0.0,True,0.5992618540128805,0.4483572511743038
20,1549,143.46721,923,5938.1445,3.2306161,4,74.471794,0.6087584904955129,0.8453740061615584,1054.0041190930328,0.79784441,0.84274232,0.0,True,0.665484266346859,0.844584500313091
21,0,135.89619,923,6268.9688,0.24952875,1,17.191595,0.5766435003065593,0.0,94.19606094733862,,,,False,0.5766435003065593,0.0
22,1569,141.07777,923,6038.7188,0.43664271,2,71.911102,0.5986230312765467,0.8452166062856048,1038.2572827922697,0.85267425,1.0092307,0.0,True,0.6748383968935827,0.8944208343999234
23,3134,145.13281,923,5869.9961,1.1530658,3,77.001396,0.6158235355682923,0.9276645489403678,1168.4212042292866,0.8411237,0.99925005,0.0,True,0.6834135848978047,0.9491401992582574
24,0,229.77077,923,3707.7344,1.0120841,2,66.819305,0.974763422186026,0.0,159.26496140058765,,,,False,0.974763422186026,0.0
25,0,159.37521,923,5345.4297,1.198859,2,73.903305,0.6762339295727859,0.0,110.4704774626492,,,,False,0.6762339295727859,0.0
26,2255,185.16643,923,4600.8828,3.6051621,4,69.759338,0.7856192643326098,0.9154314344485298,1429.8166165166597,0.89739138,0.90909082,0.0,True,0.8191508990328269,0.9135292501139709
27,5416,230.44157,923,3696.9414,2.0505209,4,186.79561,0.9776076471893346,1.0463999296614994,1981.217255345099,0.99160761,1.0666468,0.0,True,0.9818076360325342,1.0524739907630496
28,0,-1.0,1,-1.0,0.0,0,149.57973,1.0,0.0,-0.6931471805599453,0.84845072,0.0,5.43035296437388,True,0.954535216,0.0
29,12440,148.58238,923,5733.7148,2.2765656,4,224.88368,0.630455579685591,1.0894445730683002,1400.958466346476,0.83779871,0.89566642,0.0,True,0.6926585187799137,1.0313111271478101
30,5,159.86049,923,5329.2031,1.959929,3,153.45229,0.6782921849563794,0.20879279159978556,311.0741499239554,0.8392781,0.28669503,0.0,True,0.7265879594694655,0.23216346311984992
31,8,172.51816,923,4938.1992,1.8419485,3,61.678482,0.7319772447931296,0.2583340053934217,397.2377434867617,0.86554134,0.27596575,0.0,True,0.7720464733551908,0.2636235287753952
