segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,98.637787,695,4896.957,1.9963938,2,7.2722225,0.5251436737096824,0.0,68.37050395572243,,,,False,0.5251436737096824,0.0
1,0,114.89771,695,4203.957,0.99810624,2,5.7462816,0.6116696571852172,0.0,79.64102373929424,,,,False,0.6116696571852172,0.0
2,2504,99.547005,695,4852.2305,3.0405416,5,38.822498,0.52998230642854,0.9220331630694154,779.0989739374555,1.1033065,1.022148,0.0,True,0.701979564499978,0.9520676141485908
3,2504,114.8976,695,4203.9609,3.0164173,5,59.674732,0.6116690900112183,0.9378690110136858,899.2395328003709,1.030718,1.0225675,0.0,True,0.7373837630078528,0.9632785577095802
4,0,77.67363,695,6218.6484,1.9685086,2,10.471751,0.41356722175871,0.0,53.839257638356386,,,,False,0.41356722175871,0.0
5,2504,87.248795,695,5536.1797,2.3085654,4,34.772099,0.4645310220478698,0.9079356895748509,682.847732704559,0.96472991,0.91871566,0.0,True,0.6145906884335088,0.9111696807023957
6,4992,90.722694,695,5324.1914,3.6191373,4,85.079674,0.48301986975642014,0.992449551173332,772.5937790382957,0.99652344,0.97265106,0.0,True,0.6370709408294941,0.9865100038213324
7,12751,115.18486,695,4193.4766,2.3239706,5,43.122887,0.6131976224884117,1.133234569726815,1088.902587001189,1.0287302,1.0272614,0.0,True,0.7378573957418882,1.1014426188087705
8,0,77.475365,695,6234.5625,2.3086395,2,28.464895,0.4125119048074584,0.0,53.701830812602665,0.87368882,0.0,0.0,True,0.5508649793652209,0.0
9,0,87.158882,695,5541.8906,0.9912625,2,7.3553915,0.4640524970542826,0.0,60.413933319056966,,,,False,0.4640524970542826,0.0
10,0,110.2431,695,4381.4531,0.99915874,2,66.606407,0.5869017456410712,0.0,76.4146939411881,,,,False,0.5869017456410712,0.0
11,0,-1.0,1,-1.0,0.0,0,32.005573,1.0,0.0,-0.6931471805599453,0.89073652,0.0,3.182179828237594,True,0.967220956,0.0
12,0,135.45259,695,3566.0078,0.28379822,1,30.9604,0.7210343756327452,0.0,93.88858085804223,,,,False,0.7210343756327452,0.0
13,1254,143.28403,695,3371.1016,0.51743406,2,175.80446,0.7626975352078825,0.8782610044620789,1022.430039902201,1.0353383,0.90426958,0.0,True,0.8444897646455177,0.8860635771234553
14,2504,150.38852,695,3211.8477,0.60051781,3,372.31055,0.8004910364376523,0.9691052986354716,1177.0072000053894,1.0126278,0.88084888,0.0,True,0.8641320655063567,0.9426283730448302
15,2494,196.53513,695,2457.7031,2.4524992,3,104.09511,1.0459214676461417,1.0017727008569721,1537.3851918279981,1.0612606,0.92528653,0.0,True,1.0505232073522992,0.9788268495998805
16,1249,175.00807,695,2760.0156,0.72645289,2,130.7442,0.931441616885062,0.8999026582579782,1248.104792138689,1.0109552,0.87016088,0.0,True,0.9552956918195434,0.8909801247805847
17,0,163.31494,695,2957.6289,0.28834662,1,54.052151,0.8692496131274312,0.0,113.20129020431663,0.98065633,0.0,0.0,True,0.9026716281892018,0.0
18,4972,290.27264,695,1664.0391,2.6754706,5,80.243164,1.544175209528855,1.1473248479358673,2470.794797190158,1.1944274,1.3883964,0.0,True,1.4392508666701984,1.2196463135551072
19,0,188.88916,695,2557.1875,2.4915314,3,28.133457,1.005262911109782,0.0,130.92798869233638,1.0682302,0.0,0.0,True,1.0241530977768474,0.0
20,8558,199.23981,695,2424.3398,4.3551474,6,80.180359,1.060303373965083,1.1616754323252019,1804.0876832480753,1.0612954,1.0313654,0.0,True,1.060600981775558,1.1225824226276413
21,16875,291.22357,695,1658.6055,3.9950864,5,103.47631,1.5492278426909731,1.3126014182512808,2834.684909805896,1.1941681,1.3880202,0.0,True,1.442709919883681,1.3352270527758967
22,2693,220.33809,695,2192.1992,3.365988,5,74.220428,1.1724807284250969,1.0266121051190549,1740.4843911366647,1.0263399,0.91873628,0.0,True,1.1286384798975677,0.9942493575833384
23,5368,264.20581,695,1828.2148,3.54425,4,51.665081,1.4056581098162713,1.1431784990494274,2269.153577806588,1.0949357,0.95329088,0.0,True,1.3124413868713898,1.086212213334599
24,0,289.01883,695,1671.2578,0.87617666,2,21.777664,1.537513392333067,0.0,200.33258714323412,,,,False,1.537513392333067,0.0
25,1265,84.414894,695,5722.0352,2.0751419,3,44.065788,0.4494480181264023,0.8256032082129343,603.0943748196478,0.85655206,0.85952812,0.0,True,0.5715792306884816,0.835780681749054
26,2498,95.594017,695,5052.8789,1.9843448,3,44.289188,0.508945184883809,0.9173738639681961,747.9319873705786,0.94126081,0.917036,0.0,True,0.6386398724186664,0.9172725047777373
27,0,83.625648,695,5776.0391,1.146695,2,29.01446,0.445247294419618,0.0,57.964882133698424,0.85045278,0.0,0.0,True,0.5668089400937326,0.0
28,2506,152.01266,695,3177.5312,0.9461686,3,437.43539,0.8091306908156035,0.9704938368903592,1189.8397099362437,1.0108279,0.87542129,0.0,True,0.8696398535709224,0.9419720728232515
29,1255,145.34547,695,3323.2891,0.51250458,2,180.48064,0.7736639428811662,0.8799048387450826,1037.2555060996576,1.0324314,0.90980214,0.0,True,0.8512941800168163,0.8888740291215578
