segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,278.98001,1253,5627.6758,1.9967338,2,10.986491,0.9269533954913416,0.0,193.37420736408535,,,,False,0.9269533954913416,0.0
1,0,361.14117,1253,4347.3555,0.97495472,2,36.035206,1.1998207776589969,0.0,250.3239837696199,,,,False,1.1998207776589969,0.0
2,0,380.75247,1253,4123.4375,1.0247875,2,33.055119,1.2649439237233469,0.0,263.91750107173516,1.1126448,1.0734785,2.996579156129169,True,1.2192541866063429,0.32204355000000007
3,0,293.73221,1253,5345.0352,1.9802134,2,108.18684,0.9759515139016542,0.0,203.59965320114176,,,,False,0.9759515139016542,0.0
4,6765,380.76114,1253,4123.3438,1.977427,4,23.933083,1.2649726547216344,1.0594005526882238,3358.2421043387576,1.112645,1.087945,0.0,True,1.2192743583051442,1.0679638868817567
5,11255,383.0166,1253,4099.0625,3.0127156,5,39.465012,1.2724622212720325,1.1213344964087593,3573.0643592981332,1.1151915,1.0930483,0.0,True,1.2252810048904226,1.1128486374861315
6,0,507.31943,1253,3094.7148,1.0417664,2,37.280357,1.6851558620527258,0.0,351.6470325477785,1.1354135,1.1760608,6.648929938232974,True,1.5202331534369082,0.35281824
7,0,274.80212,1253,5713.2344,0.81527662,2,32.647221,0.9130766532209833,0.0,190.47831468989574,0.94702595,0.86405087,7.880232275670561,True,0.9232614422546883,0.25921526100000003
8,8904,362.76245,1253,4327.9258,3.0358124,4,50.914768,1.2052047400732444,1.0860844850434281,3299.1360225356166,1.0125428,0.89434689,0.0,True,1.147406158051271,1.0285632065303998
9,0,222.84671,1253,7045.2422,0.98538041,2,43.113758,0.740494926983698,0.0,154.46556873355976,0.89525133,0.17043294,6.583626181894804,True,0.7869218478885887,0.05112988200000001
10,4,221.77728,1253,7079.2148,3.2757516,4,20.0145,0.7369423532139479,0.1815426770020705,397.3715414996417,0.89136428,0.0,0.0,True,0.7832689312497636,0.12707987390144934
11,0,282.40787,1253,5559.3672,1.9819407,2,53.466648,0.9383388851441846,0.0,195.75021885843955,0.91485971,0.0,0.0,True,0.9312951326009293,0.0
12,13332,513.77399,1253,3055.8359,2.107482,4,28.859388,1.7065818013077272,1.183434627847516,4879.862576440612,1.1345401,1.1754907,0.0,True,1.5349692909154091,1.1810514494932614
13,3119,278.32181,1253,5640.9844,2.7847033,4,17.955975,0.924767238117021,0.9313806949713015,2239.351884243627,0.94362372,0.74173236,0.0,True,0.9304241826819148,0.8744861944799109
14,2337,252.48708,1253,6218.1758,3.2042124,4,17.754833,0.838954921229949,0.8879698856398837,1958.6631619368409,0.94472015,0.85647112,0.0,True,0.8706844898609643,0.8785202559479185
15,0,292.03293,1253,5376.1367,1.9137251,3,48.163082,0.9703076343011948,0.0,202.42180206015988,0.97055686,0.7515198,4.423682886820482,True,0.9703824020108365,0.22545594000000002
16,3547,298.58014,1253,5258.25,2.7353325,4,14.479707,0.9920530579963757,0.9540174044715017,2440.719812176152,0.96346307,0.83022374,0.0,True,0.983476061597463,0.9168793051300512
17,10127,332.40427,1253,4723.1914,3.2020569,5,24.617285,1.1043885118231265,1.09008337695916,3065.81706076242,0.97657174,0.74704152,0.0,True,1.0660434802761884,0.9871708198714121
18,21443,378.20471,1253,4151.2148,3.9971626,5,34.700176,1.256483796196969,1.1969929603308116,3771.9289125992746,1.0647746,0.896559,0.0,True,1.1989710373378784,1.106862772231568
19,38733,515.61951,1253,3044.8984,1.992443,4,14.90536,1.7127079453405585,1.3169034753954139,5447.26172716965,1.1350284,1.1773833,0.0,True,1.539404081738391,1.2750474227767896
20,2583,282.08914,1253,5565.6484,3.1084123,4,23.47015,0.9372802884473515,0.9109771590652097,2216.5099977551413,0.99675876,0.94488138,0.0,True,0.955123829913146,0.9211484253456468
21,70,330.8392,1253,4745.5352,4.0105071,5,23.689644,1.0991908176532181,0.5035300713345305,1414.8887974823765,1.0113106,0.76082915,0.0,True,1.0728267523572526,0.5807197949341714
22,0,374.44968,1253,4192.8438,1.9815015,3,21.951027,1.244014639669166,0.0,259.5487399535737,1.1221495,1.064544,13.62549542340755,True,1.2074550977684162,0.3193632
23,0,353.57172,1253,4440.4258,2.0184984,3,72.22242,1.1746841327829123,0.0,245.07724084373044,,,,False,1.1746841327829123,0.0
24,0,293.03342,1253,5357.7812,2.0113568,3,105.68147,0.9736306210271111,0.0,203.11528888283826,0.99531734,0.0,0.0,True,0.9801366367189777,0.0
25,0,389.92926,1253,4026.3945,1.0195918,2,156.7236,1.2954161014581456,0.0,270.27836718682585,1.2339289,1.3645947,0.34360503871688514,True,1.2769699410207018,0.4093784100000001
26,0,293.56638,1253,5348.0547,2.0048819,3,71.42205,0.9754006997957302,0.0,203.4847086041895,0.99613953,0.0,0.0,True,0.9816223488570112,0.0
27,17960,383.01514,1253,4099.0781,4.0196857,6,43.26506,1.2724573809812194,1.1775050903710786,3752.0215565377634,1.1151915,1.1045886,0.0,True,1.2252776166868535,1.155630143259755
28,6741,390.4061,1253,4021.4766,3.0133367,5,63.487217,1.2969994900244817,1.0621629419594172,3441.9217646772536,1.2338258,1.3645256,0.0,True,1.278047383017137,1.152871739371592
29,2251,298.43912,1253,5260.7344,3.0036936,3,47.053341,0.9915847355559944,0.9009146860256314,2303.9553605268115,1.0895721,0.87505877,0.0,True,1.020980944889196,0.893157911217942
30,0,241.28566,1253,6506.8477,0.99733198,1,43.742107,0.801746689867307,0.0,167.24647493854556,0.97603983,0.0,0.0,True,0.8540346319071149,0.0
31,18112,384.04575,1253,4088.0781,3.0431476,5,105.15892,1.27587957264812,1.1788985712524722,3765.3536663392506,1.1148474,1.0720346,0.0,True,1.2275699208536839,1.1468393798767305
32,0,319.21954,1253,4918.2734,1.9997454,2,72.977875,1.060601042683001,0.0,221.26612413064268,0.98719394,0.0,0.0,True,1.0385789118781008,0.0
33,20024,428.52927,1253,3663.7148,3.0634367,4,118.55885,1.4235824069907006,1.2068569210672087,4244.491017599681,1.1039782,1.1197845,0.0,True,1.3277011448934903,1.1807351947470461
34,0,239.45412,1253,6556.6172,0.98425293,1,29.1639,0.7956627043769889,0.0,165.9769481514628,0.90112025,0.0,0.0,True,0.8272999680638923,0.0
35,2237,294.82828,1253,5325.1641,2.9955039,3,38.812946,0.9795919555632677,0.8989105954364246,2274.24185080227,0.99578875,0.86913472,0.0,True,0.9844509938942874,0.8899778328054972
36,4460,361.13693,1253,4347.4062,2.0425255,4,266.31714,1.1998067916317945,1.0029963789312935,3034.7608784129925,1.0124669,0.87046999,0.0,True,1.143604824142256,0.9632384622519055
37,2259,293.83765,1253,5343.1172,3.00792,3,67.278038,0.9763017167005122,0.8996979138888848,2269.4734464823487,0.99654448,0.86921513,0.0,True,0.9823745456903585,0.8905530787222193
38,0,237.74001,1253,6603.8906,1.0079113,1,20.377337,0.7899687437036023,0.0,164.78881763779322,0.89970112,0.0,0.0,True,0.8228884565925215,0.0
39,17003,390.85599,1253,4016.8477,3.0026338,5,205.63481,1.298493371203252,1.173780541826068,3807.4308754584886,1.2338275,1.3634109,0.0,True,1.2790936098422763,1.2306696492782476
40,20554,391.28674,1253,4012.4258,3.0102518,5,216.52217,1.2999236648801518,1.196792090456789,3885.832674514229,1.2337267,1.3626668,0.0,True,1.2800645754161062,1.2465545033197523
41,2761,337.29492,1253,4654.707,3.1625738,4,108.18727,1.120630329184429,0.9381303601199636,2672.7493409092576,1.0909443,1.0569446,0.0,True,1.1117245204291004,0.9737746320839745
42,0,320.00363,1253,4906.2227,1.9956764,3,33.124107,1.063205037197158,0.0,221.8096139034479,0.9879958,0.0,0.0,True,1.0406422660380106,0.0
43,0,254.4635,1253,6169.8789,2.0176058,3,30.479368,0.8455200082304654,0.0,176.38065758041566,0.89239627,0.0,0.0,True,0.8595828867613258,0.0
44,0,255.47409,1253,6145.4727,2.0043235,3,29.193863,0.8488768235319589,0.0,177.0811451896177,0.89406633,0.0,0.0,True,0.8624336754723712,0.0
45,6762,320.32089,1253,4901.3633,4.0068259,5,39.863956,1.064258709593359,1.0378142877104608,2825.0283547521585,0.98840457,0.95080173,0.0,True,1.0415024677153513,1.0117105203973225
46,0,275.18671,1253,5705.25,1.9970886,2,41.131138,0.9143540406194638,0.0,190.7448921640673,0.96841747,0.0,0.0,True,0.9305730694336247,0.0
47,7193,376.65515,1253,4168.293,3.6621382,5,50.189613,1.2513382389020233,1.0653817785140833,3345.1277287967705,1.0648855,0.9163363,0.0,True,1.1954024172314162,1.0206681349598583
48,5097,373.49625,1253,4203.5469,2.4797792,4,17.90501,1.2408486273985995,1.0230341629151916,3188.4626828151463,1.023538,0.86851948,0.0,True,1.1756554391790197,0.9766797580406341
49,8809,365.13364,1253,4299.8203,2.8780293,5,29.861355,1.2130788211505337,1.0856477260928938,3316.7849734325796,1.068097,1.0064765,0.0,True,1.1695842748053735,1.0618963582650256
50,1695,369.22281,1253,4252.1992,2.4911063,3,95.07209,1.226657909748428,0.8899137872347002,2745.768723564296,1.0126719,0.69197905,0.0,True,1.1624621068238996,0.8305333660642901
51,28,292.25464,1253,5372.0586,3.120059,4,23.688972,0.9710439514607144,0.3920235316771909,994.0157163466158,0.97506744,0.6404174,0.0,True,0.9722509980225,0.46654169217403363
52,47628,515.66711,1253,3044.6172,1.9748549,4,48.288883,1.7128660267280822,1.3426878910280222,5554.362905606928,1.1350288,1.1789193,0.0,True,1.5395148587096577,1.2935573137196155
53,5962,355.55414,1253,4415.668,4.141397,6,113.796,1.1812673786996748,1.0357100226925289,3091.0087341870185,1.0801892,1.0247247,0.0,True,1.1509439250897724,1.0324144258847703
54,8507,376.13205,1253,4174.0898,3.0605526,5,41.990471,1.2496012653572333,1.08532572118061,3403.5736739645913,1.1211108,1.0452241,0.0,True,1.2110541257500633,1.073295234826427
55,53213,515.67505,1253,3044.5703,2.0194471,4,29.500948,1.71289239520435,1.3565122467527793,5611.62518772305,1.135029,1.1796993,0.0,True,1.539533376643045,1.3034683627269454
56,0,366.68631,1253,4281.6133,2.0129457,2,74.112953,1.2182348715570182,0.0,254.16758192643007,1.012496,0.0,0.0,True,1.1565132100899127,0.0
57,2183,367.95627,1253,4266.8359,2.7504025,3,113.04373,1.2224520268688321,0.9198001175207179,2829.352311372394,1.0123396,0.76209879,0.0,True,1.1594182988081825,0.8724897192645026
