segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,285.06262,854,2558.4414,2.003372,3,7.9131513,1.2865735066903048,0.0,197.59035133603106,,,,False,1.2865735066903048,0.0
1,0,352.69064,854,2067.8633,2.0075357,3,73.054375,1.5915041687405318,0.0,244.46652272588264,,,,False,1.5915041687405318,0.0
2,0,314.43765,854,2319.4297,1.996628,3,12.118305,1.4190376174962496,0.0,217.9515705593949,,,,False,1.4190376174962496,0.0
3,0,246.4673,854,2959.0781,2.0128553,3,69.125061,1.112498880280474,0.0,170.8381140952222,,,,False,1.112498880280474,0.0
4,0,238.80254,854,3054.0547,1.9793139,2,68.603569,1.0779244464024265,0.0,165.52530731155355,0.96418715,0.0,4.328644822853369,True,1.0438032574816984,0.0
5,0,369.18704,854,1975.4648,1.0274035,2,20.952524,1.6658683738254323,0.0,255.90095587527176,,,,False,1.6658683738254323,0.0
6,0,170.2173,854,4284.6172,1.2228663,1,0.73215723,0.768483845647107,0.0,117.98564157752637,0.97920233,0.051648084,14.030435538898248,True,0.8316993909529748,0.015494425200000002
7,1591,224.89526,854,3242.9141,3.2225575,3,34.245201,1.015187450007701,0.9118871367016246,1658.236932504541,0.97858101,0.0,0.0,True,1.0042055180053906,0.6383209956911372
8,0,386.69269,854,1886.0352,1.0172307,2,61.975861,1.7447747111245775,0.0,268.03494781664097,,,,False,1.7447747111245775,0.0
9,0,207.44551,854,3515.6992,1.9874206,2,64.433006,0.9364632628830327,0.0,143.79027037631994,,,,False,0.9364632628830327,0.0
10,0,280.31244,854,2601.7969,1.0128306,2,66.524979,1.2651509304251165,0.0,194.2977774618788,,,,False,1.2651509304251165,0.0
11,0,254.31992,854,2867.7109,1.6688726,3,71.221222,1.1479191408002227,0.0,176.28113550823085,,,,False,1.1479191408002227,0.0
12,1536,272.79367,854,2673.5078,2.9949033,4,51.649216,1.2312414378582766,0.9297185030953976,2001.8249162904028,1.0817697,0.94152689,0.0,True,1.1863999165007937,0.9332610191667783
13,976,272.56827,854,2675.7188,2.9948125,4,49.674221,1.2302247983145331,0.8722164894658098,1876.771458829661,1.0803415,0.56833148,0.0,True,1.1852598088201733,0.7810509866260669
14,6558,313.90054,854,2323.3984,4.0016356,6,235.97128,1.416615781051984,1.1337082804069167,2758.792078263157,1.1137266,1.138091,0.0,True,1.3257490267363887,1.1350230962848418
15,0,246.31058,854,2960.9609,1.9907525,3,69.407906,1.1117919479372926,0.0,170.72948406908483,,,,False,1.1117919479372926,0.0
16,0,378.06604,854,1929.0703,2.0114665,3,69.360504,1.7058913239321394,0.0,262.05540969146347,,,,False,1.7058913239321394,0.0
17,0,281.37616,854,2591.9609,0.93586671,2,124.22658,1.269948236564797,0.0,195.03509198078407,,,,False,1.269948236564797,0.0
18,0,291.35992,854,2503.1445,1.0323602,2,49.743259,1.3149724779041823,0.0,201.9553070761712,,,,False,1.3149724779041823,0.0
19,0,213.48022,854,3416.3164,2.0482748,3,40.024551,0.9636896311508887,0.0,147.97321259831685,,,,False,0.9636896311508887,0.0
20,2960,314.4689,854,2319.1992,4.0027304,6,122.61711,1.4191785309391085,1.0313553441468672,2513.744886791487,1.1137745,1.1400594,0.0,True,1.327557321657376,1.063966560902807
21,2833,285.4697,854,2554.793,4.0146909,6,81.474937,1.2884093748195624,1.0130681368752883,2269.4262263585592,1.0412785,0.96148247,0.0,True,1.2142701123736936,0.9975924368127018
22,0,282.99942,854,2577.0938,2.0521989,3,44.149033,1.2772688107245396,0.0,196.16025007309977,,,,False,1.2772688107245396,0.0
23,3830,283.02472,854,2576.8633,3.9523795,6,68.797653,1.2773829736043139,1.0503328713448588,2335.277193596361,1.0833014,0.97519445,0.0,True,1.2191585015230197,1.0277913449414011
24,5976,353.73035,854,2061.7852,4.0105648,6,80.933403,1.5961913433011508,1.1392536352454872,3075.9830017486365,1.1220118,1.1239876,0.0,True,1.4539374803108054,1.1346738246718409
25,6156,283.01443,854,2576.957,3.0109978,5,61.567066,1.277336563065237,1.1107267280532789,2469.444483031848,1.0833009,0.99603635,0.0,True,1.2191258641456657,1.076319614637295
26,26,217.47652,854,3353.5391,4.049891,5,101.02583,0.9817188751199573,0.4059579481280838,724.6762408012079,0.99813151,0.56554914,0.0,True,0.98664266558397,0.4538353056896587
27,9035,283.01657,854,2576.9375,3.0111365,5,62.326336,1.2773462213306968,1.159563129177841,2578.0212962899395,1.0833009,1.0190293,0.0,True,1.2191326249314876,1.1174029804244887
28,3387,285.6492,854,2553.1875,4.0026555,6,100.40456,1.289218920597034,1.0359053165716694,2321.839584887417,1.0413694,0.96558881,0.0,True,1.2148640644179236,1.0148103646001685
29,4053,388.75635,854,1876.0234,3.0065079,5,71.941826,1.7540761583018794,1.102003198784521,3229.6734484290105,1.2211134,1.3557144,0.0,True,1.5941873308113155,1.1781165591491647
30,3075,280.68665,854,2598.3281,2.9815276,5,36.146271,1.266838623431033,1.021313920879058,2254.3938790193865,1.1176299,0.95506543,0.0,True,1.222076006401723,1.0014393736153406
31,10891,327.60818,854,2226.1836,4.3403749,6,48.520714,1.4784221868759082,1.2057741288527484,3045.404906505909,1.0729862,1.066619,0.0,True,1.356791390813136,1.1640275901969237
32,8823,316.46991,854,2304.5352,4.3562069,6,58.554523,1.4282010830240242,1.1732059091163565,2875.237960592771,1.0798125,1.0705907,0.0,True,1.323684508116817,1.1424213463814494
33,15468,328.12985,854,2222.6445,3.0298278,5,49.003681,1.4807741509589663,1.2515362396501786,3165.356424023985,1.0728414,1.0656123,0.0,True,1.3583943256712763,1.195759057755125
34,7766,314.18472,854,2321.2969,2.3913126,4,50.913475,1.41789715755788,1.1556495289103301,2814.3938340377467,1.1139033,1.0809715,0.0,True,1.3266990002905161,1.133246120237231
35,7788,305.03946,854,2390.8906,2.3966494,4,63.009003,1.3766597063288366,1.1516311303316449,2733.335407477402,1.087728,1.0763803,0.0,True,1.2899801944301856,1.1290558812321514
36,5194,246.48813,854,2958.8281,3.0290608,5,37.730785,1.1125928150550293,1.070292811696604,2108.8647836265914,1.1026453,0.98812044,0.0,True,1.1096085605385206,1.0456411001876227
37,1542,238.24246,854,3061.2344,3.3610487,5,98.949745,1.0753979749878213,0.9145357029249434,1749.2075251385613,0.98591614,0.86847091,0.0,True,1.048553424491475,0.9007162650474603
38,9257,390.06558,854,1869.7266,3.0318589,5,82.39315,1.7599771626224865,1.2120850209417957,3562.605984054989,1.2213454,1.3588867,0.0,True,1.5983876338357406,1.256125524659257
39,5702,283.36966,854,2573.7266,3.9784055,5,234.12334,1.2789385607436108,1.101151603055813,2450.842359134807,1.0841622,1.0267935,0.0,True,1.2205056525205276,1.0788441721390691
40,0,294.93661,854,2472.7891,1.0943451,2,5.0423527,1.3311017373856358,0.0,204.43447966540813,1.1007859,1.0678155,6.063345227431737,True,1.262006986169945,0.32034465000000006
41,4761,294.98132,854,2472.4141,1.8956045,4,20.577246,1.3313034672220119,1.083727464486379,2498.0885411717986,1.1007862,1.064558,0.0,True,1.2621482870554082,1.0779766251404652
42,17047,329.26578,854,2214.9766,3.013175,5,47.501728,1.4858957332580929,1.2647124536692895,3208.315326669029,1.0729303,1.0665441,0.0,True,1.362006103280665,1.2052619475685027
43,16194,329.29599,854,2214.7734,4.0138617,6,50.559994,1.4860319375327373,1.258064900646856,3191.7078297526664,1.0729889,1.068653,0.0,True,1.3621190262729161,1.2012413304527993
44,1518,266.16235,854,2740.1172,4.0022526,4,89.976555,1.2013330687226036,0.9253437038503348,1950.0293049739328,1.015016,0.71693605,0.0,True,1.1454379481058226,0.8628214076952343
45,5426,294.82574,854,2473.7188,3.0008366,5,42.107418,1.3306018723423005,1.1003817023605298,2535.3026576292423,1.1007801,1.0605119,0.0,True,1.2616553406396103,1.088420761652371
46,17888,329.41452,854,2213.9766,4.0291419,6,76.145821,1.4865662709042298,1.2710369704445879,3225.6260497390135,1.0729527,1.0699189,0.0,True,1.3624821996329608,1.2107015493112114
47,1509,247.02002,854,2952.457,3.0081418,5,38.958969,1.114992051220591,0.9159667991898411,1808.3167166311514,1.1019504,0.91712558,0.0,True,1.1110795558544138,0.9163144334328888
48,3921,369.271,854,1975.0156,2.9910831,5,41.479305,1.6662468777044723,1.0901872450788175,3055.5742279887477,1.1397902,1.2018226,0.0,True,1.5083098743931305,1.1236778515551724
49,18473,329.9256,854,2210.5469,4.0356722,6,90.78051,1.4888706181428444,1.2754701851166939,3241.246417592724,1.072861,1.0710998,0.0,True,1.3640677326999913,1.2141590695816857
50,5651,246.48975,854,2958.8086,1.9827906,4,62.290947,1.1126001426343581,1.080841295182381,2129.657058968478,1.1026453,0.96207988,0.0,True,1.1096136898440507,1.0452128706276667
