segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,6363,274.72913,1133,4672.5625,2.9203854,4,189.8318,0.9893157452608204,1.0364856582307338,2406.234181799222,1.034646,0.99730498,0.0,True,1.0029148216825743,1.0247314547615136
1,75005,348.47122,1133,3683.7734,3.0159974,5,101.8808,1.254721270563129,1.366857096767857,3911.7067822506847,1.0678815,1.081568,0.0,True,1.1986693393941903,1.2812703677375
2,13449,261.47479,1133,4909.418,1.9999166,4,38.421593,0.9416055166666295,1.118502296103179,2485.7908166936672,1.065744,1.0766416,0.0,True,0.9788470616666407,1.1059440872722253
3,928,248.40254,1133,5167.7773,2.9170556,4,89.505623,0.8945488393582803,0.7992382091494671,1697.8772125678383,0.9315424,0.94042271,0.0,True,0.9056469075507962,0.8415935594046269
4,7113,260.1554,1133,4934.3164,2.0357728,4,52.503338,0.9368561309108517,1.0429466061854726,2307.568124599563,1.0629499,1.0392851,0.0,True,0.9746842616375962,1.041848154329831
5,5643,283.93918,1133,4521.0,2.1312501,3,37.05529,1.0224670093866426,1.0262792545523722,2452.815840230303,0.93914419,0.71509647,0.0,True,0.9974701635706498,0.9329244191866606
6,7440,311.68109,1133,4118.5977,4.5249877,5,40.04958,1.1223173481497075,1.0709712447866249,2778.6041624434497,0.97592252,0.83910328,0.0,True,1.0783988997047953,1.0014108553506373
7,3489,230.90591,1133,5559.3594,4.0451431,6,53.897469,0.8315625642636554,0.9459493677266182,1883.71736923668,0.91312575,0.92081213,0.0,True,0.8560315199845587,0.9384081964086327
8,279,211.57225,1133,6067.3789,3.0071607,3,88.551254,0.7619590669245883,0.6468460063972996,1192.9193836889465,0.95386297,0.85884523,0.0,True,0.8195302378472118,0.7104457734781098
9,26,214.73932,1133,5977.8945,2.9913888,3,85.774948,0.7733611827860482,0.3789918968874888,715.5553306159563,0.86918229,0.24341908,0.0,True,0.8021075149502337,0.33832005182124214
10,12294,272.99326,1133,4702.2734,8.2857695,8,71.049774,0.9830674984697496,1.1135831261710818,2570.7855240872495,0.96009481,0.92058885,0.0,True,0.9761756919288247,1.0556848433197572
11,887,247.96619,1133,5176.8711,5.3724332,6,35.705063,0.8929780630098678,0.7937963872897772,1683.7145412199156,1.0064284,0.9444778,0.0,True,0.9270131641069075,0.8390008111028441
12,34989,410.11508,1133,3130.0703,2.651783,5,71.892761,1.4765371912168714,1.299766233945766,4290.970991801097,1.1542934,1.1557826,0.0,True,1.3798640538518099,1.2565711437620362
13,1054,243.25844,1133,5277.0586,3.0859466,4,103.27995,0.8760308672185954,0.8121262009939075,1693.6244840175932,0.92591971,0.73446006,0.0,True,0.8909975200530168,0.7888263586957354
14,1348,312.60077,1133,4106.4805,3.0008297,4,49.819897,1.1256274146745455,0.8661307419314124,2253.182545861893,1.0294005,0.85187846,0.0,True,1.0967593402721818,0.8618550573519888
15,4813,308.6524,1133,4159.0117,2.0028977,4,73.49131,1.1114167940108854,1.0174626948937295,2617.215348003455,1.027952,0.95899659,0.0,True,1.08637735580762,0.9999228634256108
16,38615,412.15036,1133,3114.6133,1.9977438,4,44.276398,1.4838601514842358,1.3128221653763656,4352.904542980941,1.1541088,1.1542327,0.0,True,1.384934746038965,1.265245325763456
17,2122,312.58621,1133,4106.6719,2.9940057,4,102.37498,1.1255749780009894,0.9206218968647732,2394.7405791587953,1.0291829,0.82113713,0.0,True,1.0966573546006926,0.8907764668053413
18,6795,308.64893,1133,4159.0586,2.9990137,4,72.996269,1.1114042670429547,1.0588358792300279,2723.5911900108595,1.0279518,0.98054373,0.0,True,1.0863685269300682,1.0353482344610194
19,277,250.14511,1133,5131.7773,3.0472767,4,46.1618,0.90082175622534,0.6586795742205347,1408.6200905970013,0.92720848,0.61686796,0.0,True,0.908737773357738,0.6461360899543742
20,45819,412.60107,1133,3111.2109,2.0224805,4,45.949776,1.4854818488062547,1.334265884070395,4428.240067924449,1.1540811,1.149105,0.0,True,1.3860616241643784,1.2787176188492766
21,0,207.13405,1133,6197.3828,1.9702895,2,51.520214,0.7459804359001325,0.0,143.57438275546275,0.84795332,0.0,0.0,True,0.7765723011300929,0.0
22,6590,268.07834,1133,4788.4844,3.7901874,6,24.846069,0.9653759196994324,1.0376259635765908,2357.376926755623,0.95194519,0.92416841,0.0,True,0.9613467007896027,1.0035886975036137
23,2736,213.96391,1133,5999.5586,4.5222683,6,12.165851,0.7705695456269949,0.9097323334234647,1693.5207115148753,0.9087851,0.86778748,0.0,True,0.8120342119388965,0.8971488773964253
24,4641,259.70615,1133,4942.8516,1.4000057,3,53.964355,0.9352390440707632,0.9925462511748008,2192.7291472521,1.0620052,1.0121975,0.0,True,0.9732688908495343,0.9984416258223605
25,3949,246.78021,1133,5201.75,1.0020871,2,39.813808,0.8887087741447579,0.967763754628082,2043.7655855157614,1.0179008,0.99738991,0.0,True,0.9274663819013305,0.9766516012396573
26,4036,264.46579,1133,4853.8945,1.6180089,3,65.500755,0.9523720672794237,0.9782170082348393,2195.992956402682,0.95773304,0.97984594,0.0,True,0.9539803590955966,0.9787056877643876
27,694,215.86282,1133,5946.7812,2.9967842,4,20.581991,0.7774060144380136,0.7529431859462345,1412.8976355658301,0.91719335,0.56744379,0.0,True,0.8193422151066094,0.6972933671623642
28,4597,228.51511,1133,5617.5234,2.4120708,4,23.339525,0.8229556057112929,0.9767432039559586,1927.2036988907441,0.94824773,0.89626145,0.0,True,0.860543242997905,0.9525986777691711
29,5226,264.64062,1133,4850.6875,2.0708225,4,69.554955,0.9530014622733864,1.0087303477745015,2265.7958458464086,0.95742178,0.96559441,0.0,True,0.9543275575913706,0.9957895664421511
30,5776,231.21687,1133,5551.8828,4.7509985,6,28.746746,0.8326820082439953,1.0045471149316842,2002.757262876556,0.91991693,0.93121886,0.0,True,0.8588524847707968,0.982548638452179
31,1275,214.9063,1133,5973.25,4.0506644,5,31.318712,0.7739623084315775,0.822430628109082,1537.0676364551857,0.86882609,0.8127417,0.0,True,0.8024214429021044,0.8195239496763573
32,194,195.06137,1133,6580.9492,5.7199645,5,31.288822,0.7025146545952055,0.5997231176710155,1029.5562764465878,0.86860889,0.26043206,0.0,True,0.7523429252166438,0.49793580036971086
33,1755,206.21548,1133,6224.9883,4.6108108,5,26.80311,0.7426733535786126,0.855094127589078,1540.7107254847847,0.90001565,0.83923841,0.0,True,0.7898760425050289,0.8503374123123546
34,1017,247.20757,1133,5192.7578,2.9447155,4,41.31741,0.8902471417350359,0.8094811593776048,1712.302276800799,0.92941552,0.87185872,0.0,True,0.9019976552145251,0.8281944275643234
35,5359,386.32693,1133,3322.8047,4.0681376,6,91.45504,1.3909443413189906,1.0588512560464414,3317.352957391875,1.1023378,0.94107521,0.0,True,1.3043623789232934,1.023518442232509
36,0,202.90303,1133,6326.6133,1.9993179,2,49.759338,0.7307474898894176,0.0,140.64166317157,0.84544379,0.0,0.0,True,0.7651563799225924,0.0
37,3038,247.20663,1133,5192.7773,2.9837921,4,46.200634,0.8902437999518833,0.9373138495290406,1982.5014528085728,0.92941552,0.85572267,0.0,True,0.9019953159663183,0.9128364956703284
