segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,-1.0,1,-1.0,0.0,0,87.463539,1.0,0.0,-0.6931471805599453,,,,False,1.0,0.0
1,0,237.04636,883,3289.1836,1.1327,2,66.033173,1.0418392958686034,0.0,164.3080160959978,,,,False,1.0418392958686034,0.0
2,0,-1.0,1,-1.0,0.0,0,13.311051,1.0,0.0,-0.6931471805599453,0.9191432,0.0,3.465639220855337,True,0.97574296,0.0
3,0,182.70927,883,4267.375,1.4021275,2,15.331546,0.8031349798034361,0.0,126.6444153626658,0.93230981,0.84159988,8.655444482617723,True,0.8418874288624052,0.252479964
4,1555,193.11462,883,4037.4414,2.6476481,3,72.590416,0.8488511318417182,0.8850887564076153,1419.4921373275772,0.91777432,0.8450408,0.0,True,0.8695280882892027,0.8730743694853307
5,0,168.67329,883,4622.4805,0.66349798,1,109.10397,0.7414636961704769,0.0,116.91541539927002,0.8615064,0.78994054,4.103108894672876,True,0.7774765073193338,0.23698216200000005
6,0,238.33679,883,3271.375,2.0928051,3,143.77702,1.0475073599567097,0.0,165.20247401220777,,,,False,1.0475073599567097,0.0
7,0,151.99265,883,5129.7812,3.6861467,3,16.39253,0.6681665236230833,0.0,105.35327681333456,0.84734815,0.0,0.0,True,0.7219210115361583,0.0
8,0,192.73274,883,4045.4414,3.0371242,3,16.143471,0.847173328908059,0.0,133.592155332593,0.91854656,0.0,0.0,True,0.8685852982356412,0.0
9,2224,198.00584,883,3937.707,3.3409562,4,16.825274,0.870339952793011,0.9309584172123462,1526.221397798773,0.93586624,0.86002052,0.0,True,0.8899978389551078,0.9096770480486422
10,4440,210.68983,883,3700.6484,0.90384495,3,70.610603,0.9260626540716895,1.022095601889278,1769.554386532291,0.95529926,0.91045398,0.0,True,0.9348336358501828,0.9886031153224946
11,5981,223.45662,883,3489.2188,1.4731482,3,35.077385,0.9821453769664321,1.0659718515740289,1943.3301355573465,0.97957456,0.93479288,0.0,True,0.9813741318765025,1.0266181601018203
12,4653,238.07668,883,3274.9492,1.6117125,4,74.483696,1.0463648336075198,1.0432995972428243,2010.7235472117648,1.0056103,1.0161806,0.0,True,1.034138473525264,1.0351638980699769
13,0,235.87152,883,3305.5664,1.9783385,2,82.408089,1.0366789324012649,0.0,163.49367906238874,,,,False,1.0366789324012649,0.0
14,0,236.89697,883,3291.2578,2.1211181,3,191.84065,1.0411831118712587,0.0,164.20446683869395,,,,False,1.0411831118712587,0.0
15,0,297.50873,883,2620.7266,1.2027581,2,63.996452,1.307373938403757,0.0,206.21733739147,,,,False,1.307373938403757,0.0
16,0,-1.0,1,-1.0,0.0,0,10.555924,1.0,0.0,-0.6931471805599453,,,,False,1.0,0.0
17,0,257.61569,883,3026.5586,0.0025329867,1,110.00423,1.1321836085318921,0.0,178.56558919150487,,,,False,1.1321836085318921,0.0
18,3102,299.51678,883,2603.1562,2.8663204,5,103.69201,1.3161914837959794,1.0221842283918288,2408.2487596489495,1.1112099,1.1938374,0.0,True,1.2546970086571856,1.07368017987428
19,10787,307.87848,883,2532.457,4.1724849,6,86.862961,1.352906916313157,1.1847456804868983,2859.046502635536,1.1148977,1.2009473,0.0,True,1.28150415141921,1.1896061663408288
20,0,170.55066,883,4571.5977,2.0446973,2,176.0134,0.7497127271159627,0.0,118.21670912163783,0.8888852,0.0,0.0,True,0.791464468981174,0.0
21,3102,219.42958,883,3553.2539,3.1535821,5,71.165543,0.9644555637498337,0.9833255124890069,1764.3118821766511,0.99891758,0.92133433,0.0,True,0.9747941686248836,0.9647281577423048
22,0,-1.0,1,-1.0,0.0,0,79.091415,1.0,0.0,-0.6931471805599453,0.94556534,0.0,4.570759055544349,True,0.983669602,0.0
23,0,248.0007,883,3143.8984,1.023021,2,44.633232,1.0899539554100968,0.0,171.90098598189283,1.0522131,0.89661837,9.366867760668654,True,1.0786316987870679,0.26898551100000007
24,0,195.72464,883,3983.6016,1.9736857,2,18.764883,0.8603179014175162,0.0,135.6659823821103,,,,False,0.8603179014175162,0.0
25,3134,249.63997,883,3123.2539,2.0004814,4,31.669024,1.0971538678499992,1.0003471502799792,2009.7773506291442,1.0550013,0.95872217,0.0,True,1.0845080974949997,0.9878596561959854
26,230,200.73615,883,3884.1484,2.9720933,4,64.731873,0.882334911450704,0.6584553956072248,1093.3570900494142,1.0129638,0.77709222,0.0,True,0.9215235780154929,0.6940464429250573
27,1565,163.69275,883,4763.125,2.9940476,3,47.755444,0.7195791095508082,0.8685829444061932,1204.2741786164236,0.913764,0.86375892,0.0,True,0.7778345766855658,0.8671357370843353
28,0,138.22598,883,5640.6836,0.99564731,1,20.205816,0.6076690892961453,0.0,95.81094831713538,0.8325485,0.0,0.0,True,0.6751329125073017,0.0
29,4506,251.13347,883,3104.6797,2.0308781,4,102.22733,1.1037135255360553,1.046228848739015,2112.938792041644,1.0575968,0.98009038,0.0,True,1.0898785078752389,1.0263873081173105
30,0,245.33591,883,3178.0469,2.0018513,3,63.416607,1.0782496334875737,0.0,170.0538943066085,,,,False,1.0782496334875737,0.0
31,0,-1.0,1,-1.0,0.0,0,25.740335,1.0,0.0,-0.6931471805599453,,,,False,1.0,0.0
32,0,240.74199,883,3238.6914,1.0041944,2,72.171852,1.0580718683668229,0.0,166.86963161089054,,,,False,1.0580718683668229,0.0
33,1874,254.5946,883,3062.4727,4.0002522,5,104.90244,1.1189149782271826,0.9387648539442202,1918.8533099430474,0.97369558,0.8307417,0.0,True,1.0753491587590278,0.9063579077609542
34,0,237.36151,883,3284.8164,1.9969501,3,76.221336,1.0432235899754836,0.0,164.52646142995127,,,,False,1.0432235899754836,0.0
35,0,237.53807,883,3282.375,1.0644218,2,88.367615,1.0439990574761697,0.0,164.64884349615093,,,,False,1.0439990574761697,0.0
36,0,237.74602,883,3279.5039,2.0254345,3,83.57061,1.04491248795965,0.0,164.79298345234835,,,,False,1.04491248795965,0.0
37,0,339.68057,883,2295.3594,1.0046036,2,50.883884,1.4925328637732065,0.0,235.44862938649513,,,,False,1.4925328637732065,0.0
38,3983,339.68405,883,2295.3359,1.9995435,4,35.516296,1.4925481312498947,1.071073025947151,2816.08016307207,1.2554679,1.3110565,0.0,True,1.4214240618749263,1.1430680681630057
39,5035,249.65089,883,3123.1172,4.0179133,5,83.715919,1.0972018599488988,1.0592504017370639,2128.1654752190934,1.1175505,0.9307456,0.0,True,1.103306451964229,1.0206989612159447
40,0,237.43634,883,3283.7812,1.0026835,2,19.886839,1.0435522622134106,0.0,164.57832963347255,,,,False,1.0435522622134106,0.0
41,1558,247.76611,883,3146.875,3.9950695,4,219.43671,1.0889236328524616,0.9126867942591529,1821.6857304114726,1.1071161,0.85072809,0.0,True,1.0943813729967231,0.8940991829814071
42,11305,340.18307,883,2291.9688,1.9917336,4,49.650951,1.4947389015919896,1.2060631334910406,3174.9889006229873,1.2560673,1.3121005,0.0,True,1.4231374211143928,1.2378743434437283
43,0,-1.0,1,-1.0,0.0,0,31.774164,1.0,0.0,-0.6931471805599453,0.89171433,0.0,6.04018859025206,True,0.9675142990000001,0.0
44,1541,190.19395,883,4099.4414,2.9237332,3,47.124699,0.8360193575844568,0.8823822233210606,1396.3058127421664,0.9351536,0.86535996,0.0,True,0.8657596303091197,0.8772755443247425
45,0,158.52184,883,4918.4961,0.9293198,1,83.097061,0.6968574580108486,0.0,109.87896645317475,0.85544467,0.0,8.051429929997479,True,0.7444336216075941,0.0
46,0,237.22893,883,3286.6523,1.0020515,2,69.397934,1.0426412072806526,0.0,164.43456397675263,1.1010332,1.0113561,6.32960866275812,True,1.0601588050964568,0.30340683
47,2586,249.2534,883,3128.0977,4.0092306,5,81.190392,1.0954560314198165,0.9762850729100313,1958.7929027917112,1.1161307,0.7915256,0.0,True,1.1016584319938716,0.920857231037022
48,3545,240.75128,883,3238.5664,3.0164711,5,210.48044,1.0581126819059454,1.0111041100973568,1967.8666447742914,1.0416528,0.99857086,0.0,True,1.0531747173341617,1.0073441350681498
49,4245,249.50047,883,3125.0,4.0031519,6,79.414711,1.0965412230247185,1.0379694184014028,2084.3189748781824,1.1165195,0.90918553,0.0,True,1.102534706117303,0.999334251880982
50,4611,237.80493,883,3278.6914,2.9386892,5,152.37794,1.0451712722502016,1.042032836017053,2006.2730825541098,1.040266,0.97146297,0.0,True,1.0436996905751412,1.020861876211937
51,3669,237.22441,883,3286.7148,1.990186,4,165.27466,1.0426213925264345,1.0135074432910276,1947.1900004006002,1.1010331,0.9970839,0.0,True,1.060144904768504,1.0085803803037194
52,1550,189.09932,883,4123.1719,3.118109,4,55.524799,0.8312100653061985,0.8824699327582104,1389.369377246736,0.98769379,0.86873114,0.0,True,0.8781551827143389,0.8783482949307473
53,0,154.32201,883,5052.3516,1.0554154,1,78.595932,0.6784024293834832,0.0,106.96786612984369,0.88849705,0.0,0.0,True,0.7414308155684383,0.0
54,928,237.10155,883,3288.418,4.0220509,6,211.31174,1.0420817064574455,0.8438136194877847,1620.6328599116337,1.0423577,0.92550492,0.0,True,1.0421645045202117,0.8683210096414493
55,0,198.03963,883,3937.0352,1.9930847,2,68.542458,0.8704883887298837,0.0,137.27061117363476,,,,False,0.8704883887298837,0.0
