segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,383.93616,1129,3319.9297,0.99599683,2,11.965432,1.386252341791973,0.0,266.124266819012,1.1588843,1.1986052,14.616464119863963,True,1.318041929254381,0.3595815600000001
1,0,330.20584,1129,3860.1406,1.0034156,2,32.769642,1.1923524549813922,0.0,228.88124700042843,,,,False,1.1923524549813922,0.0
2,0,318.21368,1129,4005.6133,2.0088139,3,41.94487,1.1490711506255624,0.0,220.56891510760465,,,,False,1.1490711506255624,0.0
3,2098,298.49493,1129,4270.2266,4.0132122,5,141.50064,1.0778999470424409,0.9149644065635554,2283.394464236285,1.0455892,0.89931065,0.0,True,1.0682067229297085,0.9102682795944887
4,3103,298.56866,1129,4269.1719,3.9843171,6,203.339,1.0781661178032442,0.9617900223107438,2400.7216240178755,1.0457056,0.94471645,0.0,True,1.068427962462271,0.9566679506175206
5,2035,318.78043,1129,3998.4922,4.0134964,6,124.31237,1.1511165615804242,0.9185380015249229,2428.86250469515,1.0959431,1.038882,0.0,True,1.134564523106297,0.9546412010674461
6,0,230.49435,1129,5530.0312,1.8445719,2,22.206213,0.8324307400676457,0.0,159.7665088374972,0.92363822,0.0,0.0,True,0.8597929840473519,0.0
7,3966,281.28964,1129,4531.418,2.0468359,4,15.597779,1.0157970930307567,0.9841216983807974,2330.7708707212873,1.0112135,0.90003812,0.0,True,1.0144220151215297,0.9588966248665582
8,3228,278.40942,1129,4578.2969,3.0008113,4,25.54306,1.0054005070923038,0.9585029028209171,2249.614212511191,1.0079739,0.88300532,0.0,True,1.0061725249646125,0.9358536279746419
9,28177,339.95279,1129,3749.4648,2.5237224,5,74.594208,1.2275292642738662,1.2449680957571112,3483.2692521974727,1.0596734,1.0420442,0.0,True,1.1771725049917063,1.1840909270299778
10,28254,339.99246,1129,3749.0273,3.0033875,5,110.53924,1.2276724367997287,1.245317311160674,3484.6034972365337,1.0594712,1.0326899,0.0,True,1.17721206575981,1.1815290878124718
11,0,337.25192,1129,3779.4922,2.0079565,3,58.504112,1.2177819184430174,0.0,233.7652174864282,,,,False,1.2177819184430174,0.0
12,2214,337.63437,1129,3775.2109,2.6949883,5,68.519524,1.2191622199049852,0.9351708380862046,2600.952542447433,1.0893778,1.0590639,0.0,True,1.1802268939334897,0.9723387566603432
13,2971,298.5676,1129,4269.1875,3.9965978,5,273.56482,1.0781621799308287,0.9565913853842114,2387.742675958167,1.0455896,0.95100409,0.0,True,1.06839040595158,0.954915196768948
14,2558,258.3436,1129,4933.8984,3.1769476,5,34.036697,0.9329675071701854,0.9227325183661644,2027.4192258760668,1.005603,0.93328631,0.0,True,0.9547581550191298,0.9258986558563151
15,415,258.00204,1129,4940.4297,5.1600847,5,29.249254,0.9317346134216754,0.7090073690903775,1556.5485527199835,1.0045228,0.82989949,0.0,True,0.9535710693951727,0.7452750053632642
16,8,233.14316,1129,5467.2031,5.3134661,5,14.454308,0.8419933839892154,0.25528133450685864,536.8319647495257,0.9679125,0.76001495,0.0,True,0.8797691187924508,0.40670141915480107
17,199,275.29276,1129,4630.1289,5.2685471,5,16.35005,0.9941504058518983,0.6276892646158346,1459.961445261129,0.96366686,0.66145247,0.0,True,0.9850053420963288,0.6378182262310842
18,489,269.39359,1129,4731.5195,3.4748981,4,18.748178,0.9728559956060826,0.7319711896979115,1669.2823288209847,0.95071095,0.38892692,0.0,True,0.9662124819242579,0.6290579087885381
19,1058,282.18338,1129,4517.0664,2.982372,4,11.087718,1.0190230499585726,0.827572124631153,1965.6962502793554,0.96659768,0.84087056,0.0,True,1.003295438971001,0.831561655241807
20,7959,341.97678,1129,3727.2734,4.8274822,6,55.493095,1.2348337952088217,1.0921602197306368,3071.7414162524374,1.0860074,1.0299495,0.0,True,1.1901858766461753,1.073497003811446
21,3653,303.41483,1129,4200.9844,4.6602325,6,35.233406,1.095657843958047,0.9831958477440405,2489.1701694364383,0.99560463,0.92303991,0.0,True,1.0656418797706328,0.9651490664208283
22,26647,339.62091,1129,3753.1289,4.6078196,6,57.988876,1.2263314918146502,1.2380380156223156,3460.909228586073,1.059049,1.0300204,0.0,True,1.1761467442702551,1.175632730935621
23,21640,339.82709,1129,3750.8516,4.4292111,6,269.07846,1.2270756525233524,1.212842383379852,3392.2869357909726,1.0592583,1.038029,0.0,True,1.1767304467663466,1.1603983683658965
24,18953,343.23724,1129,3713.5859,3.5417571,6,103.68185,1.239382684139615,1.198187150626204,3380.82607060215,1.0861213,1.0387955,0.0,True,1.1934042688977304,1.1503696554383427
25,32309,385.30255,1129,3308.1562,2.0155365,4,103.13209,1.3911829374980271,1.281069035218853,4000.659184244507,1.1594949,1.2147068,0.0,True,1.321676526248619,1.261160364653197
26,877,293.82513,1129,4338.0938,3.9331603,4,259.86981,1.0610445391510448,0.8091860533261901,1991.7773538043837,1.0331846,0.59557658,0.0,True,1.0526865574057314,0.745103211328333
27,19741,346.77881,1129,3675.6602,2.054652,4,87.464622,1.2521637605054723,1.20464525539534,3429.8346424615506,1.0825354,1.0336622,0.0,True,1.2012752523538306,1.1533503387767379
28,35819,386.06064,1129,3301.6602,2.0192075,4,87.920631,1.3939184259607895,1.2941066995825956,4048.343671340488,1.159918,1.2155612,0.0,True,1.3237182981725526,1.270543049707817
