segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,346.60971,1164,3908.9961,4.0044594,5,40.802605,1.2213951566397099,0.0,240.25154324120027,1.1196265,0.0,0.0,True,1.190864559647797,0.0
1,13715,304.56085,1164,4448.6875,8.0383797,9,198.65553,1.0732884962551952,1.1339453205193255,2901.3658069323196,1.0597694,0.95636678,0.0,True,1.0692327673786366,1.0806717583635277
2,16595,316.6879,1164,4278.332,5.9373479,8,196.506,1.1160049487228547,1.1620299418835616,3077.249114938187,1.0893917,1.1657543,0.0,True,1.1080209741059983,1.1631472493184931
3,0,24.466673,1164,55377.207,1.1053159,1,7.617312,0.08625749542019975,0.0,16.959005407632137,,,,False,0.08625749542019975,0.0
4,2084,25.047689,1164,54092.652,2.0501866,2,93.634659,0.08830580320910086,0.7012449198119832,191.4395780893942,0.34577212,0.91678113,0.0,True,0.1655456982463706,0.7659057828683883
5,4164,25.565962,1164,52996.09,1.0881817,2,35.829666,0.0901329027928515,0.7661747152107633,213.08492060443191,0.33407918,0.90907699,0.0,True,0.16331678595499605,0.8090453976475342
6,6240,25.644762,1164,52833.246,1.05413,2,24.318214,0.09041070224555772,0.8035801108112943,224.1110092456843,0.33240697,0.90275377,0.0,True,0.1630095825718904,0.833332208567906
7,8312,26.165838,1164,51781.105,1.8084458,2,106.50877,0.0922476876227641,0.8314795112200195,236.16490250824464,0.32197592,0.8942048,0.0,True,0.16116615733593487,0.8502970978540136
8,10380,26.700453,1164,50744.309,1.9981681,2,136.34006,0.09413239678528726,0.8535359544338507,246.9212186639914,0.31230175,0.88508427,0.0,True,0.1595832027497011,0.8630004491036954
9,12444,27.385296,1164,49475.309,2.1051292,2,133.67781,0.09654671587286193,0.8723121055755283,258.22018879581344,0.30120549,0.87480718,0.0,True,0.15794434811100336,0.8730606279028698
10,14504,28.039593,1164,48320.816,2.0014763,2,44.570122,0.09885333864187043,0.8884232493059818,268.68428650801314,0.29175821,0.86375409,0.0,True,0.1567248000493093,0.8810225015141873
11,16560,28.719234,1164,47177.301,1.8970838,2,140.71765,0.10124931045877077,0.9027177088064279,279.0035154925052,0.28295252,0.85140616,0.0,True,0.15576027332113954,0.8873242441644995
12,18612,29.359995,1164,46147.691,1.9425731,2,81.972412,0.10350820537838042,0.9154488072630068,288.65776045458614,0.27545378,0.83739603,0.0,True,0.15509187776486627,0.8920329740841048
13,20660,30.13925,1164,44954.535,1.9887593,2,66.691193,0.10625533516265864,0.9274305853299224,299.4651414797015,0.26723239,0.82044983,0.0,True,0.15454845161386105,0.8953363587309457
14,22704,30.880829,1164,43874.988,1.948117,2,41.734257,0.10886963558612535,0.9383649303930128,309.74658810791055,0.26019359,0.79935056,0.0,True,0.15426682191028773,0.896660619275109
15,24744,31.704607,1164,42734.988,1.9623348,2,62.882244,0.11177370979388615,0.9487505628795956,320.73709304210564,0.25314033,0.77020657,0.0,True,0.1541836958557203,0.8951873650157169
