segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,142.05443,712,3568.6602,2.0061045,2,1.1239351,0.7416986176844372,0.0,98.4646276405501,1.1089815,1.1155993,6.472390866515591,True,0.8518834823791062,0.33467979000000003
1,0,219.82205,712,2306.1562,2.007602,3,6.1888027,1.1473893034452505,0.0,152.36903418240732,,,,False,1.1473893034452505,0.0
2,0,176.76401,712,2867.9141,0.99803478,2,6.7740197,0.92279895574604,0.0,122.52347515596999,1.1089815,1.1155993,9.831737401219772,True,0.9786537190222281,0.33467979000000003
3,0,303.13031,712,1672.3633,2.0037839,3,19.620073,1.5817079450802798,0.0,210.1139197187622,,,,False,1.5817079450802798,0.0
4,0,169.14607,712,2997.0781,2.0279255,2,59.757675,0.8830559412776999,0.0,117.24312152329514,,,,False,0.8830559412776999,0.0
5,0,303.04184,712,1672.8516,1.9960088,3,92.043098,1.5812468009469234,0.0,210.05259698769802,,,,False,1.5812468009469234,0.0
6,0,222.40977,712,2279.3242,2.0094721,3,21.641623,1.1608844260543223,0.0,154.1627050044859,1.0069326,0.97180969,14.95267472747572,True,1.1146988782380256,0.291542907
7,439,220.82335,712,2295.6992,3.0434663,5,50.896935,1.1526111575269888,0.7863949777836037,1344.6032876965053,1.0094432,0.95358372,0.0,True,1.109660770268892,0.8365516004485225
8,1831,222.11667,712,2282.332,3.0405173,5,50.953819,1.1593558793383958,0.9714125391950378,1668.9200774783599,1.0090384,0.94491839,0.0,True,1.1142606355368772,0.9634642944365265
9,2887,303.56497,712,1669.9688,4.0101943,6,53.357719,1.583973178543066,1.0735567679707716,2419.007764302062,1.125744,1.1531352,0.0,True,1.4465044249801462,1.09743029757954
10,0,169.92989,712,2983.2539,2.0010965,2,120.42341,0.8871452222408406,0.0,117.78642414636164,,,,False,0.8871452222408406,0.0
11,0,214.18672,712,2366.832,0.99147618,2,160.7122,1.1179998136469096,0.0,148.46292108138246,,,,False,1.1179998136469096,0.0
12,0,272.62842,712,1859.4688,1.0114408,2,97.742615,1.4227226019371562,0.0,188.9716206635126,1.0194058,0.5616706,2.988496504408307,True,1.3017275613560093,0.16850118000000003
13,0,302.68277,712,1674.8359,2.0083389,3,143.63449,1.5793756172329303,0.0,209.8037086295744,1.1244466,1.1067563,13.775463196354165,True,1.442896912063051,0.3320268900000001
14,0,301.55115,712,1681.1211,1.0006297,2,176.48817,1.5734778291121394,0.0,209.01932941710916,1.256424,1.4014843,11.996757688454817,True,1.4783616803784976,0.42044529
