segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,231.83397,943,3835.7148,1.0033479,2,21.914541,0.9668104463716414,0.0,160.69506266351894,,,,False,0.9668104463716414,0.0
1,0,186.02016,943,4780.3906,2.0029953,2,19.737722,0.7758343199392904,0.0,128.93934943130992,,,,False,0.7758343199392904,0.0
2,0,-1.0,1,-1.0,0.0,0,16.621021,1.0,0.0,-0.6931471805599453,,,,False,1.0,0.0
3,0,228.1275,943,3898.0352,1.9795494,2,66.272842,0.9513613515167901,0.0,158.12593343318892,1.0778536,1.0231348,9.55946907247222,True,0.9893090260617531,0.30694044000000004
4,0,4.031496,2,0.9921875,0.99378955,1,38.382954,0.7677983782747805,0.0,2.794420085838697,,,,False,0.7677983782747805,0.0
5,0,4.031496,2,0.9921875,0.99378955,1,14.139186,0.7677983782747805,0.0,2.794420085838697,0.80137891,0.0,0.0,True,0.7778725377923463,0.0
6,8650,299.57315,943,2968.3867,2.0154567,4,94.384575,1.2491110193952373,1.1336344925191981,2715.7941079026727,1.2136242,1.3350133,0.0,True,1.238464973576666,1.1940481347634386
7,0,227.67233,943,3905.8281,2.0003102,2,93.559135,0.9494641688141437,0.0,157.81043363101344,,,,False,0.9494641688141437,0.0
8,0,192.5444,943,4618.4102,2.0026011,3,90.498428,0.8030331936404812,0.0,133.46160799260633,1.0393885,0.45741335,5.374074263492443,True,0.8739397855483368,0.137224005
9,1747,196.8287,943,4517.8828,2.0082822,4,100.21445,0.8208935768943068,0.8870980533559479,1469.680433828594,1.0662282,1.0046989,0.0,True,0.8944939638260148,0.9223783073491636
10,4730,192.69238,943,4614.8633,3.0002115,5,48.256641,0.8036501229817774,1.0028686163164353,1630.5828102498629,1.0385242,1.0049877,0.0,True,0.8741123460872442,1.0035043414215048
11,572,239.91862,943,3706.4609,4.0053349,5,49.625599,1.0005074500947426,0.7727415118170448,1524.1140781364236,1.0006833,0.76918745,0.0,True,1.0005602050663198,0.7716752932719313
12,5816,192.69141,943,4614.8867,3.0151556,5,52.314373,0.8036460498012773,1.0273590783207538,1670.3863071512294,1.0385242,0.97542626,0.0,True,0.8741094948608941,1.0117792328245276
13,2076,239.95934,943,3705.832,4.0622568,5,50.943985,1.0006771501068696,0.9294525262701739,1833.0880729049618,1.0005062,0.7878319,0.0,True,1.0006258650748088,0.8869663383891218
14,1918,192.48351,943,4619.8711,2.981473,5,46.837833,0.8027793676104585,0.8958128239139487,1455.1908237898335,1.0385165,0.95075226,0.0,True,0.873500507327321,0.9122946547397641
15,703,192.47325,943,4620.1172,3.0946734,5,53.663517,0.8027366244272333,0.7769776910812893,1262.2776452501366,1.0380721,0.86541373,0.0,True,0.8733372670990632,0.8035085027569026
16,0,160.63376,943,5535.8789,1.9927101,2,96.889641,0.6699934805065988,0.0,111.34283784674291,0.93706846,0.0,0.0,True,0.7501159743546191,0.0
17,0,160.01263,943,5557.3672,1.9979372,2,172.46538,0.6674037935171929,0.0,110.91230333848172,0.93559021,0.0,0.0,True,0.747859718462035,0.0
18,0,231.7516,943,3837.0781,2.0833845,3,203.57251,0.9664671210609272,0.0,160.6379681302562,,,,False,0.9664671210609272,0.0
19,0,231.74123,943,3837.25,2.0590189,3,279.18729,0.9664238481044617,0.0,160.63078019399381,,,,False,0.9664238481044617,0.0
20,0,231.5623,943,3840.2148,2.0067415,3,327.12921,0.965678118473505,0.0,160.5067553689762,1.0008829,0.85586554,2.5773910588460964,True,0.9762395529314535,0.25675966200000006
