segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,495.24698,1659,5557.3906,1.0247875,2,8.2457504,1.3145844016537958,0.0,343.2790478678276,,,,False,1.3145844016537958,0.0
1,0,383.5679,1659,7175.4727,1.9802134,2,148.10785,1.0182258395020765,0.0,265.86900843829903,,,,False,1.0182258395020765,0.0
2,8910,495.25534,1659,5557.2969,1.977427,4,23.933083,1.3146065585129545,1.054692417308685,4504.4235678853975,1.112645,1.087945,0.0,True,1.2540180909590681,1.0646681921160794
3,2974,383.67047,1659,7173.5547,3.00792,3,67.278038,1.018498007611974,0.9008201865898132,3068.725100582917,0.99654448,0.86921513,0.0,True,1.0119119493283817,0.8913386696128693
4,0,311.22079,1659,8843.5,1.0079113,1,20.377337,0.8262153824499164,0.0,215.72181312013882,0.89970112,0.0,0.0,True,0.8482611037149415,0.0
5,14830,498.14267,1659,5525.0859,3.0127156,5,39.465012,1.3222678817893416,1.1145189279899401,4784.4323393754075,1.1151915,1.0930483,0.0,True,1.260144967252539,1.1080777395929582
6,0,-1.0,1,-1.0,0.0,0,8.218545,1.0,0.0,-0.6931471805599453,,,,False,1.0,0.0
7,9401,615.44318,1659,4472.0312,3.017951,5,71.294502,1.6334906572535157,1.0883161297736035,5630.556758882895,1.217708,1.3112921,0.0,True,1.508755860077461,1.1552089208415224
8,2982,403.38998,1659,6822.8789,3.0036936,3,47.053341,1.0708304531910062,0.9062361876054332,3227.5312821779485,1.0895721,0.87505877,0.0,True,1.0764529472337045,0.8968829623238033
9,0,324.814,1659,8473.4062,0.99733198,1,43.742107,0.8622935577365881,0.0,225.1439083063981,0.97603983,0.0,0.0,True,0.8964174394156117,0.0
10,0,451.87189,1659,6090.8438,1.9897926,2,48.481937,1.199487202586867,0.0,313.21372652779377,1.0792612,0.0,0.0,True,1.163419401810807,0.0
11,13933,616.7879,1659,4462.2812,1.9680212,4,40.562756,1.6370582044564612,1.1354102643022874,5885.488174017046,1.2182193,1.3115586,0.0,True,1.5114065331195228,1.1882547650116013
12,5412,458.9642,1659,5996.7227,3.3916225,4,103.71371,1.2183073849139143,0.9881705665905892,3945.597489393747,1.0783539,0.99499309,0.0,True,1.17632133943974,0.9902173236134124
13,21081,616.6405,1659,4463.3477,2.1069241,4,35.05899,1.6366672108110945,1.184648779456096,6139.409901820282,1.2182164,1.3129344,0.0,True,1.511131967567766,1.223134465619267
14,0,399.65417,1659,6886.6562,1.9997454,2,72.977875,1.0609163751648305,0.0,277.01916113452506,0.98719394,0.0,0.0,True,1.0387996446153813,0.0
15,46713,626.47949,1659,4393.25,2.2389059,4,35.123245,1.6627696184428045,1.2817297463101156,6735.795080563425,1.2228466,1.3179976,0.0,True,1.5307927129099632,1.2926101024170809
16,27845,526.63422,1659,5226.1719,3.0634367,4,118.55885,1.397866846241367,1.1953322584885837,5389.827665557926,1.1039782,1.1197845,0.0,True,1.309700252368957,1.1726679309420085
17,7696,460.96069,1659,5970.75,3.0701833,4,67.821075,1.223605234684314,1.0291491636436387,4125.006225382514,1.0841892,0.93918478,0.0,True,1.1817804242790197,1.0021598485505472
18,0,382.63449,1659,7192.9766,2.0113568,3,105.68147,1.015748705209234,0.0,265.2220179284926,0.99531734,0.0,0.0,True,1.0096192956464638,0.0
19,0,383.32187,1659,7180.0781,2.0048819,3,71.42205,1.017572917434682,0.0,265.69847343746585,0.99613953,0.0,0.0,True,1.0111429012042774,0.0
20,23680,498.14124,1659,5525.1016,4.0196857,6,43.26506,1.3222641258233314,1.1688206248306603,5017.512967095429,1.1151915,1.1045886,0.0,True,1.260142338076332,1.1495510173814623
21,40352,532.1153,1659,5172.3398,3.0133367,5,63.487217,1.4124097851982462,1.24015929957967,5643.319974232199,1.2338258,1.3645256,0.0,True,1.3588345896387723,1.2774691897057688
22,47405,532.67041,1659,5166.9492,3.0026336,5,205.63481,1.4138827608251086,1.2591492104706998,5735.009379830929,1.2338275,1.3634109,0.0,True,1.359866182577576,1.29042771732949
23,26057,499.30301,1659,5512.2461,3.0431476,5,105.15892,1.3253467532870424,1.1802390716884892,5076.972161581323,1.1148474,1.0720346,0.0,True,1.2621969473009296,1.1477777301819425
24,0,313.50833,1659,8778.9727,0.98425293,1,29.1639,0.8322868564960618,0.0,217.30741502155692,0.90112025,0.0,0.0,True,0.8529368745472432,0.0
25,2963,385.04947,1659,7147.8633,2.9955039,3,38.812946,1.0221577474720023,0.9007668126920486,3078.3289343616993,0.99578875,0.86913472,0.0,True,1.0142470482304016,0.8912771848844341
26,6562,425.79272,1659,6463.8984,3.1625738,4,108.18727,1.1302819366077166,1.0016811538617478,3742.443565043318,1.0909443,1.0569446,0.0,True,1.1184806456254017,1.0182601877032234
27,33733,500.00882,1659,5504.4648,3.0266337,5,45.476513,1.3272196283649604,1.2104053105373436,5213.237536418733,1.114908,1.074996,0.0,True,1.2635261398554722,1.1697825173761407
28,0,401.12653,1659,6861.3789,1.9956764,3,33.124107,1.0648236491009897,0.0,278.0397233172943,0.9879958,0.0,0.0,True,1.0417752943706928,0.0
29,0,634.80035,1659,4335.6641,1.0099401,2,40.836929,1.6848441919374846,0.0,440.01007282096646,1.1350288,1.1789193,3.7259768386295034,True,1.5198995743562391,0.35367579000000005
30,5942,634.80719,1659,4335.6172,2.0194471,4,29.500948,1.6848624091265445,1.0375697544963332,5516.56182193444,1.135029,1.1796993,0.0,True,1.519912386388581,1.0802086181474333
