segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,120.20081,485,1956.9336,1.581746,2,14.528971,0.8528455170010202,0.0,83.31685255252168,0.87464231,1.0405304,12.614269201942355,True,0.8593845549007142,0.31215912
1,0,125.14777,485,1879.5781,1.4201571,2,131.39719,0.8879077296141307,0.0,86.7458239288645,0.88795269,0.0,0.0,True,0.8879212177298914,0.0
2,1686,140.20723,485,1677.6953,2.3643978,5,70.098152,0.9946254769318397,1.0005041396858851,1041.921942753509,0.92473572,1.0568973,0.0,True,0.9736585498522878,1.0174220877801194
3,93,107.32827,485,2191.6406,3.3782308,4,49.082687,0.7615959236269922,0.5905157900983207,488.7597285684636,0.82309341,0.43440154,0.0,True,0.7800451695388946,0.5436815150688245
4,45,109.84203,485,2141.4844,0.91767251,2,55.783329,0.7794167939186634,0.49912839010985127,422.90802837146424,0.8427909,0.4335345,0.0,True,0.7984290257430644,0.4794502230768959
5,332,117.03646,485,2009.8438,3.0595446,4,31.624851,0.8304162275732687,0.7634955329857532,680.115370378878,0.87006122,0.79120642,0.0,True,0.8423097253012881,0.7718087990900273
6,0,119.19509,485,1973.4453,2.7648454,3,16.704777,0.8457170334519866,0.0,82.61974057008892,0.87537545,0.0,0.0,True,0.8546145584163907,0.0
7,1842,139.36194,485,1687.8711,3.5036793,5,48.045082,0.988636197673698,1.0115903200556131,1047.958921640945,0.93432629,0.90082639,0.0,True,0.9723432253715886,0.9783611410389292
8,0,121.53657,485,1935.4258,1.2852539,2,54.373215,0.8623131470958371,0.0,84.24273083042642,,,,False,0.8623131470958371,0.0
9,2826,141.39603,485,1663.5898,4.1032376,5,48.814156,1.0030487331650744,1.0712319334693512,1123.7202079397705,0.93264002,1.0696721,0.0,True,0.981926119215552,1.0707639834285458
10,1517,121.16632,485,1941.3398,2.1796763,5,24.711843,0.8596889431599506,0.9673129091526901,887.6411361179203,0.88033712,0.88844997,0.0,True,0.8658833962119654,0.943654027406883
11,395,111.56821,485,2108.3516,4.2563272,5,53.153267,0.7916537409513513,0.7813649767298578,667.6170595903274,0.81927085,0.54201877,0.0,True,0.799938873665946,0.7095611147109004
12,4563,143.50883,485,1639.0977,1.4930879,4,60.211567,1.0180184512248538,1.1380689127350325,1209.2303424142638,0.93593752,1.0934739,0.0,True,0.9933941718573976,1.1246904089145229
13,684,124.25172,485,1893.1328,3.6963105,4,47.277084,0.8815570807822384,0.8651019265903491,811.472778354461,0.87404734,0.9611482,0.0,True,0.8793041585475668,0.8939158086132444
14,67,113.06877,485,2080.3711,3.4298005,4,11.515888,0.8022910704353656,0.5521656428432167,478.7452145238115,0.85484427,0.59096491,0.0,True,0.8180570303047559,0.5638054229902516
15,1374,137.9897,485,1704.6562,3.5456038,4,19.3664,0.978912881729003,0.9708892066860356,997.2427331110833,0.92726183,0.90107173,0.0,True,0.9634175662103022,0.9499439636802249
16,5147,143.24052,485,1642.168,3.0290687,4,20.747444,1.0161174155333699,1.1540410127705019,1224.2133834886654,0.93584508,1.0967501,0.0,True,0.992035714873359,1.1368537389393514
17,8012,148.94139,485,1579.3125,1.2072965,4,49.842209,1.0565070084898904,1.220205853910939,1338.8260063047005,0.94895971,1.1089772,0.0,True,1.0242428189429233,1.1868372577376574
18,1259,119.25671,485,1972.4258,1.4723703,4,83.636017,0.8461537216859046,0.940743239992287,851.452402184671,0.8445887,0.9379369,0.0,True,0.8456842151801333,0.9399013379946008
19,3142,171.11259,485,1374.6797,2.2088258,3,85.587212,1.213548611825009,1.1141061499127198,1378.0126628042738,1.0058756,1.1965985,0.0,True,1.1512467082775064,1.1388538549389038
20,3927,185.56699,485,1267.6016,2.7188613,4,96.508156,1.3158992071707138,1.157912563527031,1535.7784293614027,1.0314,1.1997772,0.0,True,1.2305494450194998,1.1704719544689217
21,0,100.31719,485,2344.8125,0.51204836,1,3.42011,0.7118880348824926,0.0,69.53457741019633,,,,False,0.7118880348824926,0.0
22,852,112.13727,485,2097.6523,1.0267911,2,57.954174,0.7956878092923622,0.8821904221320961,756.9188567592912,0.8466875,0.86762708,0.0,True,0.8109877165046535,0.8778214194924673
23,1700,127.17362,485,1849.6367,2.0946071,4,62.100868,0.9022654059852399,0.9886510619087957,946.1156885471834,0.88802457,0.89259267,0.0,True,0.8979931551896678,0.959833544336157
24,8647,154.44014,485,1523.082,2.7973654,4,46.838955,1.095460925289702,1.2366324436876661,1400.030600573036,0.96227157,1.112891,0.0,True,1.0555041187027914,1.1995100105813663
25,98,120.1224,485,1958.2109,2.8801317,3,27.171471,0.8522897912988188,0.6061109998880488,553.1840951493359,0.8733868,0.48165327,0.0,True,0.8586188939091732,0.5687736809216342
