segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,295.45496,1671,9450.6484,1.9993179,2,49.759338,0.7798628556263698,0.0,204.79377250645143,0.84544379,0.0,0.0,True,0.7995371359384589,0.0
1,3587,358.78296,1671,7782.5352,2.9837921,4,46.200634,0.9469761758487566,0.9135412240504915,2936.864163027456,0.92941552,0.85572267,0.0,True,0.9417079790941296,0.896195657835344
2,2706,448.4028,1671,6227.082,4.0976424,6,55.888226,1.1834439447828806,0.9045971532144449,3544.1603214037987,1.0252759,0.80307776,0.0,True,1.1359935313480165,0.8741413352501114
3,10780,450.4747,1671,6198.4414,3.0274508,5,41.39658,1.1889104176447882,1.0633267943656413,4182.942900359325,1.0275999,0.94431055,0.0,True,1.1405172623513518,1.0276219210559487
4,107278,558.64722,1671,4998.2188,1.4629478,3,205.11377,1.474289359988814,1.359938242334821,6470.921092116773,1.1541365,1.1380947,0.0,True,1.37824350199217,1.2933851796343747
5,1558,447.69647,1671,6236.9062,2.9589458,4,54.829563,1.1815804146015267,0.8412902013082795,3291.661926461968,1.024403,0.59037656,0.0,True,1.1344271902210687,0.7660161089157955
6,1297,403.16599,1671,6925.7852,1.6424552,2,154.20036,1.0640874625350734,0.8106099068671853,2890.438097127519,0.97286206,0.57321995,0.0,True,1.0367198417745513,0.7393929198070297
7,2283,449.70892,1671,6208.9961,2.654017,3,13.157482,1.1868900343466704,0.8854446104529952,3478.103338468764,1.0411123,0.80337936,0.0,True,1.1431567140426693,0.8608250353170966
8,21462,542.07294,1671,5151.043,2.9775422,5,112.80283,1.4305662449267424,1.1668959270405674,5406.70726973784,1.1023943,1.0179828,0.0,True,1.3321146614487198,1.122221988928397
9,2256,501.24622,1671,5570.5977,3.0671327,5,176.71123,1.3228604990552315,0.8951975851290886,3870.7409757383557,1.030948,0.79161334,0.0,True,1.2352867493386621,0.8641223115903621
10,217,439.84531,1671,6348.2344,3.1810741,4,99.607224,1.1608657114225633,0.6149207797868071,2370.357925613375,1.0130508,0.39196107,0.0,True,1.1165212379957943,0.548032866850765
11,112780,562.62085,1671,4962.918,1.6814549,4,29.574705,1.4847716265316035,1.3669471224083236,6545.0876410240435,1.1546406,1.1394706,0.0,True,1.3857323185721224,1.2987041656858265
