segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,159.41415,701,3082.543,2.0474463,2,32.945351,0.8426957287199053,0.0,110.4974686138602,0.96959996,0.86763757,8.19361522854999,True,0.8807669981039337,0.26029127100000005
1,672,205.73051,701,2388.5664,1.3236657,3,224.50964,1.0873285975879536,0.8370171247945528,1339.9701524653456,1.0811892,0.86545384,0.0,True,1.0854867783115676,0.845548139356187
2,171,192.59534,701,2551.4688,2.2665889,3,79.091972,1.017960826916265,0.6560995660860564,992.499946761442,1.058441,0.75002766,0.0,True,1.0301048788413856,0.6842779942602394
3,10489,228.91962,701,2146.6094,2.1806412,4,158.30301,1.2097737313970995,1.2065851312822988,2119.400342906702,1.1812226,1.2766417,0.0,True,1.2012083919779697,1.227602101897609
4,0,297.37454,701,1652.4648,1.0228152,2,24.556276,1.5711009452439744,0.0,206.1243239713107,,,,False,1.5711009452439744,0.0
5,0,162.62827,701,3021.6211,1.9501083,2,27.555061,0.8596749146752823,0.0,112.72532682984152,0.9822219,0.85773033,9.017932954982621,True,0.8964390102726976,0.25731909900000005
6,4867,211.22006,701,2326.4883,3.0559602,4,48.059082,1.1163170590777214,1.0950594802074611,1793.3943047415412,1.0926555,1.0063591,0.0,True,1.1092185913544048,1.0684493661452228
7,2394,208.39323,701,2358.0469,2.0905082,4,52.789482,1.1013896423638374,1.001838337211533,1621.6235807708008,1.0867019,0.9681955,0.0,True,1.096983319654686,0.991745486048073
8,7399,298.36905,701,1646.957,3.0257173,5,112.95582,1.5763486926298762,1.2025686522884884,2658.280383896883,1.2374163,1.3968005,0.0,True,1.4746689748409134,1.260838206601942
9,11459,229.0013,701,2145.8438,2.8451433,5,326.035,1.2102049558505525,1.2181677907582296,2140.4076521645643,1.1812241,1.2764785,0.0,True,1.2015106990953868,1.2356610035307607
10,0,228.38226,701,2151.6602,1.0192341,2,3.9647753,1.2069365497643887,0.0,158.30251960890837,,,,False,1.2069365497643887,0.0
11,0,197.00612,701,2494.3438,2.020561,3,160.77951,1.041255299511583,0.0,136.55423663105427,1.1519184,1.090526,12.977866766857687,True,1.074454229658108,0.32715780000000005
12,9916,216.46132,701,2270.1562,4.0067372,5,242.61523,1.1439931863631925,1.1905932948471694,1991.900134284112,1.0611204,0.9678427,0.0,True,1.1191313504542348,1.1237681163930184
13,20718,252.80217,701,1943.8164,4.0216222,6,134.37749,1.3358563588799452,1.3122354268863001,2512.5640345578913,1.1287558,1.1464216,0.0,True,1.2737261912159616,1.2624912788204101
14,21041,252.8042,701,1943.8008,3.0140929,5,92.386482,1.3358670687939296,1.3142792503526481,2516.4947237955416,1.1287552,1.1463686,0.0,True,1.2737335081557508,1.2639060552468537
