segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,158.33755,558,1966.457,2.0956323,3,151.12759,1.0042344287211393,0.0,109.75122635926937,,,,False,1.0042344287211393,0.0
1,0,121.07344,558,2571.6953,2.0033193,2,219.52235,0.7680754947398505,0.0,83.9217135766937,,,,False,0.7680754947398505,0.0
2,0,121.067,558,2571.832,1.996398,2,271.1615,0.768034701121568,0.0,83.91724970885089,,,,False,0.768034701121568,0.0
3,10169,154.30322,558,2017.8711,2.3836749,4,68.635857,0.9786724959118073,1.2123049892457445,1423.8014557806464,1.0643657,1.1533768,0.0,True,1.004380457138265,1.194626532472021
4,11813,154.30351,558,2017.8672,1.8008571,4,44.266834,0.9786743855522422,1.2319922637816745,1446.923330467937,1.0643657,1.1597877,0.0,True,1.0043817798865695,1.2103308946471723
5,0,120.82788,558,2576.9219,1.9992267,2,309.54196,0.7665188662196897,0.0,83.7515043550354,,,,False,0.7665188662196897,0.0
6,13531,154.21216,558,2019.0625,2.1977754,4,51.181236,0.9780955763897097,1.2497334287654256,1467.0027635999384,1.0643637,1.1654007,0.0,True,1.0039760134727966,1.224433610135798
7,0,138.94025,558,2240.9922,2.0045731,3,335.76974,0.8813192889645928,0.0,96.30604255379393,,,,False,0.8813192889645928,0.0
8,0,158.64734,558,1962.6172,0.83720618,2,27.120306,1.0061971822587767,0.0,109.96595642433503,1.0623653,0.0,0.0,True,1.0230476175811438,0.0
9,0,119.40342,558,2607.6641,1.9949853,2,54.526005,0.7574891691452275,0.0,82.76414392221498,0.93840671,0.0,0.0,True,0.8117644314016592,0.0
10,1902,158.79588,558,1960.7812,3.0721762,5,69.123085,1.0071383865186438,0.9958536520659748,1199.1807867434609,1.0628375,0.92566937,0.0,True,1.0238481205630507,0.9747983674461824
11,7045,154.17935,558,2019.4922,3.1235104,5,69.187912,0.9778876667726583,1.1639668286252942,1366.0841251693325,1.0634327,1.1408843,0.0,True,1.0035511767408607,1.157042070037706
12,8476,154.18085,558,2019.4727,1.6242292,4,29.581799,0.9778970999000519,1.188258198360476,1394.601227013256,1.0634328,1.1472396,0.0,True,1.0035578099300362,1.1759526188523333
13,7708,160.44716,558,1940.6016,2.1656992,4,239.14737,1.0176004646846413,1.1819587298371617,1436.0459589324857,0.92653549,1.1284102,0.0,True,0.9902809722792489,1.165894170886013
14,7386,157.29271,558,1979.5195,0.3522467,2,90.163246,0.9976143514394522,1.173252336825322,1401.102484795531,0.94356155,1.1319904,0.0,True,0.9813985110076165,1.1608737557777253
15,7067,154.83073,558,2010.9961,2.2709641,4,110.58614,0.9820149630976074,1.165020654125774,1372.338197160692,0.9586581,1.1353309,0.0,True,0.9750079041683252,1.1561137278880418
16,827,125.11252,558,2488.6719,2.361465,4,167.98483,0.7936783206399558,0.8591309271363888,840.7836785637677,0.90371293,0.8629145,0.0,True,0.8266887034479691,0.8602659989954722
17,592,123.86358,558,2513.7656,2.228291,3,157.44749,0.7857617143891019,0.8154022051383505,791.1017375242205,0.92435426,0.91532624,0.0,True,0.8273394780723713,0.8453794155968453
18,251,118.63957,558,2624.4531,2.4872625,3,91.231659,0.7526470930918688,0.7022593890718928,656.4789495851529,0.89246088,0.41121075,0.0,True,0.7945912291643082,0.6149447973503249
19,415,118.12058,558,2635.9844,0.50722748,2,74.873055,0.7493570814357841,0.76549516070419,712.6316437088831,0.90612543,0.86287022,0.0,True,0.7963875860050489,0.794707678492933
20,796,117.7858,558,2643.4766,2.3417044,3,57.04163,0.7472348426204668,0.8477182922630108,787.0575068375036,0.93719691,0.91649842,0.0,True,0.8042234628343268,0.8683523305841077
21,949,104.57133,558,2977.5273,2.8322997,3,40.93301,0.663458358262778,0.8570732278715519,717.0993660140747,0.81453574,0.85665792,0.0,True,0.7087815727839446,0.8569486355100864
22,0,89.94136,558,3461.8555,0.87027496,1,34.515614,0.5706913267187755,0.0,62.34260009972704,0.7569719,0.0,0.0,True,0.6265754987031429,0.0
23,4277,141.88431,558,2194.4922,4.2303944,6,90.113098,0.8999769226847824,1.0865708342489948,1186.362056532815,0.92061925,0.98360753,0.0,True,0.9061696208793477,1.0556818429742965
24,0,101.0389,558,3081.625,1.0095894,2,32.136681,0.6410611831390418,0.0,70.03482866187825,,,,False,0.6410611831390418,0.0
25,892,101.15122,558,3078.2031,3.0154214,5,95.914032,0.6417733593142373,0.845826315392589,687.3939299198466,0.90063184,0.93161255,0.0,True,0.7194309035199662,0.8715621857748124
26,0,121.6468,558,2559.5742,1.9907379,3,44.630642,0.7717099472883228,0.0,84.31913644413955,,,,False,0.7717099472883228,0.0
27,1568,101.28927,558,3074.0078,3.0135045,5,96.729172,0.6426486600122171,0.9161425258785798,745.3706097465413,0.90127552,0.92755461,0.0,True,0.720236718008552,0.9195661511150057
28,15133,154.21156,558,2019.0703,3.0012312,5,100.89301,0.9780918015850946,1.2644317474763405,1484.2500594344472,1.0643597,1.2332683,0.0,True,1.0039721711095662,1.2550827132334383
29,0,151.4425,558,2055.9883,2.0020456,3,382.62534,0.9605459325775213,0.0,104.97194189194951,,,,False,0.9605459325775213,0.0
30,3163,138.58707,558,2246.7031,3.6346238,5,144.29312,0.8790810538114736,1.0441842887510788,1116.9990805577831,0.95447552,1.0088449,0.0,True,0.9016993936680315,1.0335824721257552
31,18773,154.19188,558,2019.3281,4.0025277,6,92.042816,0.9779670558466622,1.292724934286087,1517.291500611116,1.0643594,1.2390844,0.0,True,1.0038847590926636,1.2766327740002608
32,2049,151.3071,558,2057.8281,3.0015948,5,106.493,0.9596879908848353,0.9993096326001757,1153.8804664839333,0.95566475,0.97101051,0.0,True,0.9584810186193846,0.9908198958201231
33,349,121.78265,558,2556.7188,3.9861834,4,412.64017,0.7725711363269491,0.7464567288600942,713.7420773771653,0.956581,0.76117939,0.0,True,0.8277740954288644,0.7508735272020659
34,20861,154.17935,558,2019.4922,3.0071604,5,91.919533,0.9778876667726583,1.306564964267829,1533.4265773859968,1.0643591,1.242687,0.0,True,1.0038290967408607,1.2874015749874803
35,925,121.73765,558,2557.6641,4.0382071,5,414.62079,0.772285820962652,0.8703943880522628,831.7059719811081,0.99270856,1.0537903,0.0,True,0.8384126426738563,0.9254131616365839
36,21685,154.43057,558,2016.207,2.0275714,4,96.268303,0.9794794542170985,1.311934099593727,1541.9071278849726,1.0652888,1.2437634,0.0,True,1.005222257951969,1.291482889715609
37,94,129.37996,558,2406.5859,3.971705,5,299.45102,0.8207273366738249,0.5847892612158607,590.535186438181,0.87376672,0.54213941,0.0,True,0.8366391516716774,0.5719943058511026
38,118,121.82025,558,2555.9297,3.9822383,4,411.49655,0.7728094680855098,0.6090115676542285,583.2134409786445,0.95695937,0.28639355,0.0,True,0.8280544386598568,0.5122261623579599
39,23762,154.93365,558,2009.6602,2.0271928,4,100.91107,0.982667097980627,1.3245173424927696,1561.1001642050094,1.0671325,1.2508047,0.0,True,1.008006718586439,1.3024035497449387
40,24657,154.92703,558,2009.7461,2.0500214,4,15.414775,0.9826251388568009,1.3293699617265098,1566.7611316708685,1.0671322,1.2515845,0.0,True,1.0079772571997605,1.3060343232085567
41,1439,143.81554,558,2165.0234,4.0395112,5,108.48308,0.9122154799330398,0.946733193641372,1045.9837391636731,0.96121955,0.98450381,0.0,True,0.9269167009531278,0.9580643785489604
42,26857,155.21877,558,2005.9688,1.99247,4,79.948997,0.9844736087817338,1.340935397279957,1582.9763114863233,1.0680603,1.2548951,0.0,True,1.0095496161472137,1.31512330809597
43,1598,144.02914,558,2161.8125,4.0272126,6,107.36777,0.9135691243382352,0.9605531501621091,1062.6122706793994,0.9589532,0.95547134,0.0,True,0.9271843470367647,0.9590286071134764
44,27672,155.21938,558,2005.9609,2.0035274,4,103.67802,0.9844774820351968,1.344866664540372,1587.6224097835102,1.0680603,1.2556331,0.0,True,1.0095523274246379,1.3180965951782604
45,272,129.25954,558,2408.8281,4.0187883,5,239.95718,0.8199640160396038,0.720258186001086,725.550356992793,0.87220746,0.49830765,0.0,True,0.8356370492277228,0.6536730252007602
46,28927,155.22058,558,2005.9453,2.0120232,4,54.432682,0.9844851305745866,1.3506998123284524,1594.518903903428,1.0680603,1.2565303,0.0,True,1.0095576814022107,1.3224489586299166
47,62807,163.73608,558,1901.6211,2.9982903,4,107.44997,1.0384378965210712,1.4628948095072938,1808.9322497671203,0.96082616,1.1781958,0.0,True,1.0151543755647499,1.3774851066551055
48,4705,135.65211,558,2295.3125,3.2970078,5,50.592033,0.8604803616648269,1.0925929681337514,1147.1835833768123,0.91290456,0.98319203,0.0,True,0.8762076211653789,1.059772686693626
49,3870,141.05374,558,2207.4141,3.6166029,5,94.700447,0.8947133499587641,1.0727616824391955,1165.3192036552389,0.92614371,0.99599087,0.0,True,0.9041424579711348,1.0497304387074369
50,1894,134.57797,558,2313.6328,1.3418357,4,84.141212,0.8536726077023644,0.9740708203988371,1015.727455044822,0.90977675,0.91504306,0.0,True,0.8705038503916551,0.956362492279186
51,0,134.40256,558,2316.6523,1.4287657,2,42.197735,0.8525608996472337,0.0,93.16075552403888,0.90942931,0.0,0.0,True,0.8696214227530636,0.0
52,13934,163.09418,558,1909.1055,3.2014875,5,147.26505,1.034371096131076,1.26286515532796,1556.2822912392828,0.91262996,1.122894,0.0,True,0.9978487552917532,1.2208738087295719
53,1223,126.34843,558,2464.3281,4.2603245,5,139.98318,0.8015122930550592,0.9102520274715576,898.4252913454617,0.88690788,0.54865485,0.0,True,0.8271309691385416,0.8017728742300902
54,0,118.31853,558,2631.5742,1.9938507,2,91.211662,0.7506119595404328,0.0,82.0121554774973,0.86184943,0.0,0.0,True,0.783983200678303,0.0
55,2347,151.3456,558,2057.3047,2.0114653,4,109.04325,0.959931908501509,1.017129696290408,1174.705951750194,0.95528966,0.94963813,5.00003807246685e-07,True,0.9585392339510563,0.9968822264032855
