segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,4.5714288,3,1.96875,1.9706351,2,50.74173,0.9416548834888949,0.0,3.168672983850534,0.97967952,0.74410397,1.13022252659653,True,0.9530622744422266,0.22323119100000002
1,0,122.25223,615,3093.8086,1.6565748,2,44.816109,0.7175894359381293,0.0,84.73878854166595,0.91243708,0.77022362,6.230049643676471,True,0.7760437291566906,0.23106708600000003
2,0,111.46804,615,3393.125,2.1423748,2,79.022804,0.6543262905037104,0.0,77.2637576485432,,,,False,0.6543262905037104,0.0
3,2240,125.78739,615,3006.8594,1.1602674,3,25.004992,0.7383261401467978,0.9631730198244928,970.4652616282771,0.908871,0.74977636,0.0,True,0.7894895981027585,0.899154021877145
4,3354,136.47693,615,2771.3477,2.4547315,3,80.864281,0.801024533291087,1.0239697296471468,1107.9886478137296,0.93798769,0.80531335,0.0,True,0.842113480303761,0.9583728157530028
5,0,157.41492,615,2402.7266,1.9917684,2,72.108971,0.9238137703664149,0.0,109.11170797606934,0.94980931,0.65281826,10.74887866593699,True,0.9316124322564904,0.19584547800000002
6,2067,210.21806,615,1799.2031,2.0372677,4,110.95047,1.2333531665842734,1.0183508610902663,1604.9771913235531,1.054148,0.8933745,0.0,True,1.1795916166089915,0.9808579527631863
7,0,303.04025,615,1248.1016,2.0193605,3,75.150909,1.777071197290212,0.0,210.05149488368096,,,,False,1.777071197290212,0.0
8,4202,210.21623,615,1799.2188,2.0183771,4,25.798439,1.2333424162830242,1.1129525847176538,1754.0004418055464,1.054148,0.94575429,0.0,True,1.179584091398117,1.0627930963023577
9,6374,210.76718,615,1794.5156,3.0088754,5,87.444931,1.2365712532896511,1.1689286687186373,1846.382930353131,1.055079,0.97081864,0.0,True,1.1821235773027559,1.1094956601030461
10,17,209.89771,615,1801.9492,2.0315647,3,115.95228,1.2314756685201609,0.38547090527721717,618.0309989617734,1.0305207,0.62891454,0.0,True,1.1711891779641126,0.45850399569405204
11,2,160.41777,615,2357.75,1.955987,2,145.60876,0.9414215688299225,0.14145098796397826,222.38624997442753,0.95218867,0.081689999,0.0,True,0.9446516991809457,0.12352269127478478
12,499,207.76733,615,1820.4258,2.010149,3,109.65377,1.218990395683824,0.827679431294988,1291.6076512841123,1.049978,0.79359585,0.0,True,1.1682866769786768,0.8174543569064916
13,0,159.22147,615,2375.4648,4.0417137,4,153.14037,0.9344069140566915,0.0,110.36391301510992,0.95022362,0.0,0.0,True,0.9391519258396841,0.0
14,9645,209.24091,615,1807.6055,3.0280733,5,92.380363,1.2276264340743934,1.2230088117241995,1919.660278670348,1.0555427,1.0355464,0.0,True,1.1760013138520753,1.1667700882069396
15,0,160.70879,615,2353.4805,2.1467779,3,36.30463,0.9431279719982438,0.0,111.39484467970033,,,,False,0.9431279719982438,0.0
16,8654,209.24226,615,1807.5938,2.0108957,4,94.45446,1.2276343713414632,1.2085584313258988,1896.992003325372,1.0555428,1.0422245,0.0,True,1.1760068999390243,1.1586582519281292
17,6650,208.99611,615,1809.7227,3.1871057,5,125.48428,1.2261918156936542,1.1732652421988783,1839.72438122803,1.0557971,1.0489061,0.0,True,1.175073400985558,1.1359574995392148
18,0,155.8541,615,2426.7891,1.993722,2,38.810921,0.9146613623415922,0.0,108.02982999370776,0.94947845,0.0,0.0,True,0.9251064886391146,0.0
19,4456,208.59,615,1813.2461,3.4451981,6,52.03196,1.2238117724348283,1.1196216759909512,1752.6681956539574,1.0562748,1.0910288,0.0,True,1.1735506807043798,1.1110438131936657
20,0,176.15512,615,2147.1133,2.4532528,3,21.595503,1.0336912190931997,0.0,122.10142476919884,,,,False,1.0336912190931997,0.0
21,0,207.13751,615,1825.9609,2.4532526,3,57.441708,1.215299269829245,0.0,143.57678104470747,,,,False,1.215299269829245,0.0
22,0,158.81433,615,2381.5547,4.0121231,4,151.47348,0.932019536638454,0.0,110.08170507201675,0.95171517,0.0,0.0,True,0.9379282266469178,0.0
23,1122,128.14891,615,2951.4492,1.8703425,3,23.413496,0.7521780117451858,0.8789512715556229,900.2011163851903,0.97976738,0.86834955,0.0,True,0.8204548222216301,0.875770755088936
24,0,105.826,615,3574.0273,1.0140566,1,40.761433,0.6212255558134049,0.0,73.35299352993677,0.88534713,0.0,0.0,True,0.7004620280693834,0.0
25,592,167.80896,615,2253.9023,3.0148757,5,92.200928,0.9847587579685563,0.8269104346829146,1071.7755762277534,1.0569302,1.0515325,0.0,True,1.0064101905779894,0.8942970542780402
26,3354,128.44572,615,2944.6289,1.8039882,4,25.851721,0.7539190113306801,1.0162041098870882,1042.7872287298733,0.98097396,0.95029747,0.0,True,0.8220354959314762,0.9964321179209616
27,0,103.27502,615,3662.3086,2.0139809,2,29.78021,0.6062588579592914,0.0,71.58478893527196,0.87336987,0.0,0.0,True,0.686392161571504,0.0
28,124,127.75022,615,2960.6602,3.3871512,4,62.382946,0.7498394675995613,0.6039785861061836,617.8360775950708,0.96589065,0.94459993,0.0,True,0.8146548223196929,0.7061649892743286
29,1120,155.33104,615,2434.9609,2.9322536,4,89.678177,0.9115942512850368,0.9003783702288524,1090.8694035940262,0.97439378,0.86800617,0.0,True,0.9304341098995258,0.8906667101601966
30,0,137.2455,615,2755.8281,0.52422971,1,91.736458,0.8055322763033742,0.0,95.13133136953996,0.92389107,0.0,0.0,True,0.841039914412362,0.0
31,4346,145.75824,615,2594.8789,5.1159544,5,76.878891,0.8554575059493184,1.0654745797338152,1221.0854647942258,0.9855606,0.88549089,0.0,True,0.8944884341645228,1.0114794728136707
32,1422,167.67093,615,2255.7578,4.3066411,5,66.255569,0.9839494506657932,0.9401691821000402,1217.4963641102675,1.056927,1.0155509,0.0,True,1.0058427154660552,0.9627836974700281
33,20354,210.27559,615,1798.7109,3.528662,5,176.54683,1.2336902870118738,1.323429928416567,2086.1716719077344,1.0321629,0.91062331,0.0,True,1.1732320709083117,1.199587942891597
34,0,159.07106,615,2377.7109,4.014677,4,153.54855,0.9335249702165123,0.0,110.25965674768189,0.95000011,0.0,0.0,True,0.9384675121515587,0.0
35,18648,303.64847,615,1245.6016,3.9824948,6,150.21423,1.7806321721985685,1.3792218716319968,2985.9580273129204,1.1432458,1.2200918,0.0,True,1.589416260538998,1.3314828501423979
36,574,209.89952,615,1801.9336,2.0191231,4,111.57587,1.231486318036545,0.8474437894524572,1334.1439470483904,1.0305207,0.85918868,0.0,True,1.1711966326255814,0.8509672566167201
37,1156,210.72682,615,1794.8594,3.0394971,5,113.66196,1.2363346553694794,0.941186871665421,1486.5617433084417,1.0318562,0.9199633,0.0,True,1.1749911187586357,0.9348198001657948
38,21814,211.03178,615,1792.2656,3.0269213,5,90.169212,1.238121907395655,1.3333078083298628,2108.2916679526857,1.0326639,0.91939408,0.0,True,1.1764845051769586,1.209133689830904
39,43473,304.06421,615,1243.8984,4.0381637,6,452.26807,1.7830663776808844,1.4982179258718111,3247.387926157027,1.1432297,1.2197908,0.0,True,1.5911153743766189,1.4146897881102678
40,5401,225.27745,615,1678.9297,3.6309936,6,15.377521,1.3216016987780095,1.157091421908396,1936.1942698028247,1.0712055,0.94787097,0.0,True,1.2464828391446066,1.0943252863358772
41,42295,301.34448,615,1255.125,3.7792957,5,42.538452,1.7671429229761635,1.4924875916330382,3210.0634669624096,1.1431942,1.2197206,0.0,True,1.5799583060833144,1.410657494143127
42,3967,265.42105,615,1425.0,4.3546128,5,38.828545,1.5567761366828379,1.1406915039448466,2199.3503387406063,1.0793345,0.88943428,0.0,True,1.4135436456779864,1.0653143367613926
43,7783,238.80844,615,1583.8008,2.823705,5,195.49886,1.4008818428180951,1.215802399690604,2139.712657335693,1.1103243,1.1145512,0.0,True,1.3137145799726666,1.1854270397834228
