segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,256.94809,741,2136.9336,1.0031749,2,136.22917,1.2989264093303539,0.0,178.10284413376306,1.2104219,1.3302102,12.9076141834076,True,1.2723750565312477,0.3990630600000001
1,0,250.25368,741,2194.0977,2.034595,3,21.291433,1.2651155460178514,0.0,173.46263271675076,,,,False,1.2651155460178514,0.0
2,0,191.08699,741,2873.4609,1.9654051,3,46.049206,0.9662163519052014,0.0,132.45140836018646,,,,False,0.9662163519052014,0.0
3,0,254.92151,741,2153.9219,1.9910862,3,22.769775,1.2886910888766645,0.0,176.69812592058392,1.1000906,0.97058201,12.05083212657619,True,1.2321109422136651,0.29117460300000003
4,0,251.98941,741,2178.9844,2.0089135,3,38.875782,1.2738822619932757,0.0,174.66574907246408,,,,False,1.2738822619932757,0.0
5,0,189.94414,741,2890.75,1.095261,2,7.3696928,0.9604415662757055,0.0,131.65924510488352,,,,False,0.9604415662757055,0.0
6,0,152.36296,741,3603.7695,2.0567524,2,11.062805,0.770519951661926,0.0,105.60995614576771,,,,False,0.770519951661926,0.0
7,4669,253.56859,741,2165.4141,4.0820713,6,48.323692,1.2818581095527832,1.0998682417417782,2142.43359045839,1.0751131,0.93170428,0.0,True,1.2198346066869483,1.049419053219245
8,10605,252.24174,741,2176.8047,4.0422668,6,94.845604,1.2751566677105326,1.2058262696934274,2338.096651949684,1.1943355,1.3424709,0.0,True,1.2509103173973728,1.2468196587853992
9,0,190.17207,741,2887.2852,2.0047865,3,51.292645,0.9615933175596675,0.0,131.81723414174854,,,,False,0.9615933175596675,0.0
10,1046,187.95319,741,2921.3711,4.0583744,6,86.488625,0.950381339147824,0.8712978589160688,1307.1465599523606,1.0725023,0.86332148,0.0,True,0.9870176274034768,0.8689049452412483
11,0,188.11316,741,2918.8867,1.9952135,3,46.01025,0.9511896989513654,0.0,130.39010648022187,1.0727572,0.0,0.0,True,0.9876599492659559,0.0
12,1730,190.36111,741,2884.418,3.9769156,5,48.007866,0.9625485085126433,0.9357861663447454,1419.5289057909552,1.0614684,1.0301702,0.0,True,0.9922244759588503,0.9641013764413218
13,20286,252.92982,741,2170.8828,1.9968364,4,13.945006,1.2786319358062235,1.2906542018907714,2508.5035387396683,1.1923987,1.339048,0.0,True,1.2527619650643564,1.30517234132354
14,22712,253.45338,741,2166.3984,2.0181437,4,89.358513,1.2812762363429373,1.3057048725967215,2542.324134052533,1.1911533,1.337483,0.0,True,1.2542393554400562,1.315238310817705
15,23019,253.5695,741,2165.4062,2.012013,4,81.91716,1.2818627818099104,1.3075304039994466,2546.8931671485566,1.1909217,1.3372045,0.0,True,1.2545804572669372,1.3164326327996125
16,3216,189.34669,741,2899.8711,3.0007458,4,49.634666,0.9574227266138896,1.0128863785294164,1529.2614440062991,1.0639865,1.0523704,0.0,True,0.9893918586297227,1.0247315849705916
17,0,188.96387,741,2905.7461,1.0050876,2,31.923277,0.9554882872490301,0.0,130.97977371819601,,,,False,0.9554882872490301,0.0
18,0,187.88635,741,2922.4102,1.0006557,2,24.260258,0.9500436501158583,0.0,130.23289376819906,,,,False,0.9500436501158583,0.0
19,1701,189.15178,741,2902.8594,2.0200107,4,51.795536,0.9564378024093171,0.932920409609837,1407.316988108439,1.0637388,1.0451204,0.0,True,0.988628101686522,0.9665804067268859
20,4,151.96878,741,3613.1172,3.9849746,4,183.82474,0.7685275987301454,0.1964368658924515,272.29150059203505,0.95920342,0.33957857,0.0,True,0.8257303451111018,0.23937937712471605
21,12,153.10495,741,3586.3047,3.9574139,4,184.30673,0.774270184146861,0.3133446177775169,404.05274049787766,0.96142328,0.2726087,0.0,True,0.8304161129028027,0.3011238424442618
22,1520,188.25525,741,2916.6836,2.0376008,4,49.266769,0.9519076822318278,0.9182744202900013,1379.4931572056987,1.0614347,1.0438222,0.0,True,0.9847657875622794,0.9559387542030009
23,0,193.26208,741,2841.1211,2.0169573,3,101.25079,0.9772068241637851,0.0,133.95906586115058,,,,False,0.9772068241637851,0.0
24,22803,253.64821,741,2164.7344,2.0122585,4,57.109173,1.2822602257314266,1.3063558463340987,2545.292593186023,1.1906931,1.3362986,0.0,True,1.2547900880119986,1.3153386724338691
25,24070,253.97681,741,2161.9336,2.0743074,4,18.573238,1.2839198674321834,1.3136162291891016,2562.3224136716112,1.1901509,1.3352498,0.0,True,1.2557891772025285,1.320106300432371
26,1204,192.5386,741,2851.7969,2.9893904,4,48.791134,0.9735511804796085,0.891598895665716,1366.073762112736,1.0573615,0.98370349,0.0,True,0.998694276335726,0.9192302739660012
27,12526,290.9502,741,1887.1992,3.0236168,4,49.099823,1.4706322873967166,1.2506752948365085,2745.325033778472,1.1201952,1.1340023,0.0,True,1.3655011611777015,1.215673396385556
28,0,209.71674,741,2618.2031,3.9945292,4,75.381157,1.0603442690545808,0.0,145.3645670472231,1.0023605,0.0,0.0,True,1.0429491383382066,0.0
29,127,191.77472,741,2863.1562,3.965168,4,263.93973,0.9696914049028277,0.6094958661595473,931.9891630989864,1.057606,0.83948928,0.0,True,0.9960657834319794,0.6784938903116832
30,1127,192.53676,741,2851.8242,2.9934731,4,213.22154,0.9735418673806351,0.8832987968769702,1353.357745357668,1.0573615,0.96248192,0.0,True,0.9986877571664446,0.9070537338138791
31,13982,290.95261,741,1887.1836,3.0079877,5,214.05315,1.4706444311945366,1.2652511241798647,2777.337338228988,1.1201952,1.1342459,0.0,True,1.3655096618361755,1.2259495569259053
32,0,213.48082,741,2572.0391,1.0003524,2,40.248993,1.0793609704079659,0.0,147.9736284866252,1.0035403,0.0,0.0,True,1.056614769285576,0.0
33,1635,214.97385,741,2554.1758,2.0399554,4,80.628288,1.0869038588206832,0.9430777833162048,1590.9398979066957,1.0038435,0.82477021,0.0,True,1.0619857511744784,0.9075855113213435
34,18299,251.91852,741,2179.5977,2.9953969,5,82.778351,1.2735241428078363,1.2765752238167494,2472.5074648497857,1.1943331,1.3399671,0.0,True,1.2497668299654854,1.2955927866717245
35,2636,192.63492,741,2850.3711,3.090847,5,341.52304,0.9740378244766423,0.9900884001367858,1517.5348137387582,1.0597039,1.0029,0.0,True,0.9997376471336497,0.99393188009575
36,10550,254.33525,741,2158.8867,4.0256748,6,383.84485,1.2857302240066761,1.206445332585215,2356.1797360771725,1.1002989,1.055287,0.0,True,1.2301008268046734,1.1610978328096504
37,11864,254.8688,741,2154.3672,3.0383267,5,381.91934,1.2884249680870896,1.2220637468360762,2391.0344300017173,1.0786049,1.0994232,0.0,True,1.2254789476609627,1.1852715827852534
38,2962,250.75993,741,2189.668,2.9937007,4,359.8988,1.2676725402041034,1.0391379330867738,2004.6488511930213,1.0827261,1.0591968,0.0,True,1.2121886081428723,1.0451555931607417
39,5081,219.6396,741,2499.918,4.030262,6,94.09642,1.1104749799330143,1.0905084214566798,1874.3289918852709,1.0725039,0.85334516,0.0,True,1.0990836559531099,1.0193594430196757
40,4791,219.81512,741,2497.9219,4.0027485,5,92.572525,1.1113616552757297,1.0831101701031782,1862.9137541216903,1.0725107,0.67353344,0.0,True,1.0997063686930109,0.9602371510722247
41,9878,255.34894,741,2150.3164,2.0287313,4,124.73042,1.2908498680045586,1.1984949685166248,2348.7679302020897,1.0778918,1.0966657,0.0,True,1.2269624476031908,1.1679461879616375
42,3566,251.16409,741,2186.1445,2.0425215,4,119.85545,1.2697138332701736,1.0634764252505495,2054.462100818086,1.0822573,1.0531561,0.0,True,1.2134768732891215,1.0603803276753847
43,11932,254.97144,741,2153.5,3.9851706,6,249.42879,1.2889433267659693,1.2228722303531674,2393.4543238497918,1.0997937,1.0527638,0.0,True,1.2321984387361784,1.171839701247217
44,0,153.91991,741,3567.3164,2.4153435,3,24.762398,0.77838920103694,0.0,106.68915164854052,0.85184854,0.0,0.0,True,0.800427002725858,0.0
45,1827,191.39401,741,2868.8516,1.9704857,4,86.514412,0.9677676619871425,0.9432687643481052,1437.660823669368,0.97041041,0.86681294,0.0,True,0.9685604863909998,0.9203320170436737
46,8319,214.23012,741,2563.043,3.9457397,6,84.435173,1.0831464972883678,1.1498444846489715,1933.7562587045654,1.0033114,0.99586421,0.0,True,1.0591959681018575,1.1036504022542801
47,3270,180.27014,741,3045.8789,3.7262657,6,17.970934,0.9115576543556395,1.0087655398040194,1458.9544909403976,0.91088963,0.92718303,0.0,True,0.9113572470489477,0.9842907868628136
48,165,148.75237,741,3691.2422,3.006886,4,24.117182,0.7522705499368677,0.6223103862983955,761.3137092423278,0.83700615,0.55205673,0.0,True,0.7776912299558074,0.6012342894088769
49,112,158.12392,741,3472.4727,2.6716981,3,22.71188,0.7996371192797247,0.5797996032253414,748.9062645580553,0.87610024,0.60583717,0.0,True,0.8225760554958073,0.587610873257739
50,4653,214.12373,741,2564.3164,3.4245555,5,37.758343,1.082609042612223,1.0757731471370602,1808.4241847114727,1.0033095,0.88590145,0.0,True,1.0588191798285562,1.0188116379959422
51,3572,214.24579,741,2562.8555,2.5618522,4,46.549473,1.0832256791246317,1.0421798261907498,1752.8392251925468,1.0033119,0.82567132,0.0,True,1.0592515453872422,0.9772272743335249
52,1707,191.6568,741,2864.918,2.1322746,4,11.108751,0.9690955028515106,0.9349025251019047,1426.628761782148,0.96783572,0.84005368,0.0,True,0.9687175679960573,0.9064478715713333
53,1571,252.7429,741,2172.4883,2.9915016,4,76.883804,1.277687877577473,0.9577223038473979,1860.374749244668,1.0453563,0.83907723,0.0,True,1.207988404304231,0.9221287816931785
54,862,199.56009,741,2751.457,2.8559816,3,52.371113,1.0090287739536326,0.8534825793411366,1349.3400702840866,0.95761389,0.51051277,0.0,True,0.9936043087675428,0.7505916365387956
55,1447,191.93341,741,2860.7891,1.9542047,3,68.65966,0.9704931952004593,0.914325275675177,1397.012073024302,0.96198344,0.62965232,0.0,True,0.9679402686403215,0.8289233889726239
56,1589,211.28499,741,2598.7695,2.9820831,4,48.852268,1.0682674265612724,0.9373777862589726,1557.617883896169,0.98410094,0.6021173,0.0,True,1.0430174805928907,0.8367996403812809
57,4307,215.67908,741,2545.8242,3.0024467,5,75.91906,1.090466658117168,1.0669151701267954,1804.9019991767375,1.0047789,0.97382587,0.0,True,1.0647603306820177,1.0389883800887567
58,9276,214.25558,741,2562.7383,4.0049038,6,83.161865,1.0832751789311397,1.163731425608143,1957.3107009172015,1.003184,0.99883497,0.0,True,1.0592478252517978,1.1142624889257
59,27571,291.26431,741,1885.1641,3.0143042,5,91.983116,1.4722182034111644,1.3554378541105556,2978.0588247936216,1.1201417,1.1441402,0.0,True,1.3665952523878149,1.292048557877389
60,0,213.12154,741,2576.375,4.0152664,4,251.10536,1.0775458732124097,0.0,147.7245945675936,1.0038573,0.0,0.0,True,1.0554393012486867,0.0
61,0,209.41086,741,2622.0273,2.0010223,2,204.00839,1.0587989465064052,0.0,145.15254718763344,1.0000387,0.0,0.0,True,1.0411708725544837,0.0
62,29216,291.59482,741,1883.0273,2.0091453,4,60.610115,1.4738870576803036,1.3633247489901086,2998.3354694610953,1.1200894,1.144485,0.0,True,1.3677477603762125,1.297672824293076
63,272,213.4445,741,2572.4766,3.9639318,4,250.49277,1.079177546552199,0.7142375691864473,1198.0913221039486,1.0040972,0.41875878,0.0,True,1.0566534425865393,0.6255939324305131
64,31105,291.59482,741,1883.0273,2.0017121,4,59.754997,1.4738870576803036,1.3716313124470614,3016.6032774061814,1.1200894,1.1438749,0.0,True,1.3677477603762125,1.303304388712943
65,1982,199.55357,741,2751.5469,4.0064659,5,424.18088,1.008995830375741,0.9585100652807259,1515.184372486361,1.0568529,0.8825568,0.0,True,1.0233529512630186,0.9357240856965081
66,32780,291.59482,741,1883.0273,2.0011213,4,161.29155,1.4738870576803036,1.3785852726116608,3031.896466374906,1.1200894,1.144143,0.0,True,1.3677477603762125,1.3082525908281624
67,1352,211.17517,741,2600.1211,4.030993,5,112.42095,1.0677125445253286,0.9167919648401678,1522.7458127511334,0.98652023,0.76687753,0.0,True,1.0433548501677299,0.8718176343881174
68,3443,253.14253,741,2169.0586,3.0953529,5,140.66359,1.2797062874507612,1.059993800359181,2061.7646945362994,1.0454952,0.91991818,0.0,True,1.2094429612155329,1.0179711142514267
69,1720,180.42215,741,3043.3125,4.1201882,5,423.33978,0.9123258584608467,0.9288146848812285,1344.369044975099,0.9094609,0.55716234,0.0,True,0.9114663709225926,0.8173189814168599
70,28715,268.40237,741,2045.7383,3.0206625,5,181.51653,1.3567736369652543,1.346260648493162,2755.215968770245,1.0829405,1.0942508,0.0,True,1.274623695875678,1.2706576939452134
71,0,207.2841,741,2648.9297,1.8003979,2,51.393826,1.048053949089652,0.0,143.67838948990575,0.97626543,0.0,0.0,True,1.0265173933627565,0.0
72,5574,269.39465,741,2038.2031,2.0097737,4,44.886864,1.3617846874382493,1.1318349404146073,2323.8593906732376,1.0688791,0.97284615,0.0,True,1.2739130112067745,1.0841383032902252
