segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,269.94547,1059,4154.4727,1.0331593,2,36.745831,1.0260067542310392,0.0,187.1119414354293,,,,False,1.0260067542310392,0.0
1,0,273.35562,1059,4102.6445,1.01353,2,72.661644,1.0389618550344428,0.0,189.4756772932158,,,,False,1.0389618550344428,0.0
2,0,191.10297,1059,5868.4648,2.0035188,3,53.951443,0.7264448743440083,0.0,132.4624848521318,0.96192896,0.0,6.216539930256317,True,0.7970901000408058,0.0
3,7646,199.08945,1059,5633.0508,1.3713717,3,47.949932,0.7567933662597902,1.0353284665542541,1780.297571232742,1.0401776,1.0228617,0.0,True,0.8418086363818531,1.031588436587978
4,9413,208.65582,1059,5374.7891,1.3306886,3,142.01872,0.7931441952924886,1.0651825931220715,1909.213155729637,1.0512601,1.028753,0.0,True,0.8705789667047421,1.05425371518545
5,0,182.79584,1059,6135.1562,1.9931924,2,40.963352,0.6948770611341004,0.0,126.70442111408687,,,,False,0.6948770611341004,0.0
6,0,181.2276,1059,6188.2461,1.9895085,2,22.779192,0.6889175317241303,0.0,125.61739997964554,0.86405957,0.0,0.0,True,0.7414601432068912,0.0
7,6,217.86063,1059,5147.6992,3.0300586,4,44.178185,0.8281200315499833,0.227674705184838,453.02844431854027,0.95072699,0.14467637,0.0,True,0.8649021190849884,0.2027752046293866
8,2716,218.2072,1059,5139.5234,3.0067446,4,43.162411,0.8294368676756239,0.9253372468796118,1725.5065130574415,0.9514842,0.89047903,0.0,True,0.8660510673729367,0.9148797818157282
9,1890,271.28973,1059,4133.8867,3.0428874,5,63.914104,1.03111360956211,0.9059959142136542,2046.9867479169593,1.0563865,0.87310952,0.0,True,1.038695476693477,0.896129995949558
10,3770,220.8438,1059,5078.1641,3.0118015,5,105.26279,0.8394549821681792,0.9650545132604724,1818.7283389369354,1.0852793,1.0719047,0.0,True,0.9132022775177254,0.9971095692823306
11,6477,273.35953,1059,4102.5859,2.9873097,5,63.195709,1.0389766879959617,1.0548146241797898,2399.091108464076,1.0585715,0.96459609,0.0,True,1.0448551315971732,1.0277490639258529
12,533,220.83835,1059,5078.2891,4.0122881,6,85.689575,0.8394343274631603,0.7359850142209298,1387.3654226443816,1.0848194,1.0654881,0.0,True,0.9130498492242123,0.8348359399546509
13,9112,271.25,1059,4134.4922,2.997386,5,69.967415,1.0309626750841991,1.094815897420934,2473.1400411072136,1.0564911,0.93286347,0.0,True,1.0386212025589394,1.0462301691946538
14,14833,220.8499,1059,5078.0234,4.0171995,6,82.867188,0.8394782323201353,1.125556720849689,2121.2068695778457,1.083901,1.0591892,0.0,True,0.9128050626240947,1.1056464645947823
15,0,183.62111,1059,6107.582,2.0200822,3,107.56757,0.6980132297065369,0.0,127.27645468778756,0.97083318,0.0,0.0,True,0.7798592147945758,0.0
16,11462,209.15227,1059,5362.0312,1.2273195,3,72.058273,0.79503062248723,1.088408540769458,1954.9393592876206,1.0519601,1.0364132,0.0,True,0.8721094657410611,1.0728099385386205
17,13217,220.35106,1059,5089.5195,2.3007121,4,123.48606,0.8375827813243027,1.1117454996712544,2091.0016553062164,1.0824546,1.0443498,0.0,True,0.911044326927012,1.091526789769878
18,1032,202.68921,1059,5533.0078,1.749907,3,98.218407,0.7704720965301843,0.8052209297131068,1406.9043287216653,0.98791981,0.71896189,0.0,True,0.835706410571129,0.7793432177991747
19,259,180.95723,1059,6197.4922,2.6596708,3,21.995348,0.6878900604112259,0.6367884943772976,1006.9401991875865,0.95250434,0.54275739,0.0,True,0.7672743442878581,0.6085791630641083
20,41958,255.2682,1059,4393.3438,1.0878183,3,46.593098,0.9702469836322983,1.2689291339618607,2717.195223347275,1.1241539,1.0842547,0.0,True,1.016419058542609,1.2135268037733025
21,43715,268.03888,1059,4184.0234,1.4728092,3,41.865551,1.0187637899914568,1.2812704695756045,2864.1273940913647,1.1124647,0.96628106,0.0,True,1.0468740629940196,1.1867736467029233
22,99836,360.93848,1059,3107.125,1.0862625,3,185.27028,1.3716299807749524,1.4313225018504332,4154.872623206439,1.2332679,1.3653519,0.0,True,1.3301213565424668,1.4115313212953033
23,45844,276.53549,1059,4055.4688,2.8591864,4,37.561253,1.0510417391199467,1.291802680466249,2968.067369594444,1.1068939,0.9872849,0.0,True,1.0677973873839628,1.2004473463263743
24,102389,362.7059,1059,3091.9844,1.9188975,4,60.088566,1.3783421351371143,1.4353330737409815,4184.37623668732,1.2333161,1.365411,0.0,True,1.33483432459598,1.414356451618687
25,20767,311.09583,1059,3604.9375,2.7255769,3,24.329157,1.1823240807407736,1.2136857811637556,3092.6710820696544,1.0919496,0.86402488,0.0,True,1.1552117365185415,1.1087875108146288
26,21063,332.43842,1059,3373.5,1.575902,3,279.34424,1.2633888502375719,1.2253313258876029,3309.5468664201812,1.0621234,0.86145747,5.00003807246685e-07,True,1.2030092151663003,1.116169169121322
