segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,128.23825,527,2165.7266,1.9829644,2,0.22461054,0.8514678049957687,0.0,88.8879814274414,1.1909419,1.3947381,6.2984618555058915,True,0.9533100334970381,0.4184214300000001
1,0,242.07825,527,1147.2695,1.9932264,3,3.3169937,1.606019658516075,0.0,167.7958564623856,,,,False,1.606019658516075,0.0
2,0,139.27144,527,1994.1562,1.9950819,3,7.238132,0.9246517932479135,0.0,96.5356059685236,,,,False,0.9246517932479135,0.0
3,0,110.06575,527,2523.3008,2.0081086,3,24.024372,0.7309027938109157,0.0,76.2917642887158,1.0174376,0.99794424,9.528854634623883,True,0.8168632356676411,0.29938327200000003
4,0,173.7796,527,1598.168,3.0571854,4,19.360106,1.1534722666200927,0.0,120.45483977883507,1.103629,1.1279378,13.323974927126839,True,1.138519286634065,0.33838134000000003
5,0,112.28498,527,2473.4297,1.0110312,2,19.491562,0.7456278842953773,0.0,77.83001730622985,,,,False,0.7456278842953773,0.0
6,0,110.42371,527,2515.1211,2.0049181,3,39.46146,0.7332779539025519,0.0,76.53988325346904,1.0168664,0.0,0.0,True,0.8183544877317863,0.0
7,0,119.99323,527,2314.5391,0.99265796,3,30.909983,0.7967702379523577,0.0,83.17296906078104,0.91700572,0.91439217,3.3750531934920875,True,0.8328408825666505,0.27431765100000005
8,0,181.9752,527,1526.1914,1.0101254,2,37.44146,1.207799893346436,0.0,126.13559681183216,1.1309705,1.2128713,6.405749663192944,True,1.1847510753425052,0.36386139000000006
9,0,137.80138,527,2015.4297,2.4667158,4,45.152031,0.9149014758397483,0.0,95.51663802426962,0.98294121,0.90348178,9.251708053342139,True,0.9353133960878238,0.27104453400000006
10,2622,146.24261,527,1899.0977,6.8400774,7,38.881474,0.9708861411662013,1.0425604029380582,1151.288388253298,0.99635732,0.62985194,0.0,True,0.9785274948163409,0.9187478640566408
11,890,137.77762,527,2015.7773,4.6128173,5,35.930008,0.9147438668940029,0.8925261099539934,935.9875952974783,1.0192366,0.90805542,0.0,True,0.946091686825802,0.8971849029677954
12,8,110.39233,527,2515.8359,4.166091,4,13.200042,0.7330697802557111,0.28056055058445795,254.1877334388794,0.92174828,0.83355254,0.0,True,0.7896733301789978,0.4464581474091206
13,0,168.74847,527,1645.8164,2.0024889,3,52.767593,1.120118363874119,0.0,116.9675262043045,,,,False,1.120118363874119,0.0
14,713,137.90643,527,2013.8945,3.0098047,4,51.807163,0.9155982170361299,0.8635315565511535,906.3600224142532,1.0103041,0.90126586,0.0,True,0.944009981925291,0.8748518475858075
15,2308,181.99571,527,1526.0195,2.0555983,4,35.389362,1.2079357691004209,1.0562147269962379,1409.5572841778558,1.1309706,1.2101187,0.0,True,1.1848462183702946,1.1023859188973666
16,0,168.42986,527,1648.9297,1.001248,2,2.2714691,1.1180060604233728,0.0,116.7466825811063,1.1909419,1.3947381,7.432631345167743,True,1.139886812296361,0.4184214300000001
17,1890,169.26874,527,1640.7578,2.0264425,4,12.594483,1.1235675824719509,1.0189231253133744,1277.1986157257088,1.1909419,1.3947381,0.0,True,1.1437798777303656,1.131667617719362
18,3260,170.45493,527,1629.3398,3.021915,5,103.28942,1.1314316060534664,1.0935443352405654,1378.9967104154057,1.1908398,1.3949381,0.0,True,1.1492540642374265,1.1839624646683957
19,0,128.77362,527,2156.7227,2.0205116,2,4.0513248,0.8550192249949198,0.0,89.25907163349778,,,,False,0.8550192249949198,0.0
20,675,134.21825,527,2069.2344,2.9715896,4,49.423981,0.8911349724265591,0.8533088651027511,874.7904323255581,1.0591979,1.0319335,0.0,True,0.9415538506985914,0.9068962555719258
21,1890,169.78087,527,1635.8086,3.0577309,5,43.217655,1.1269628269951326,1.0193382325407274,1281.0628361781776,1.1908008,1.3958131,0.0,True,1.146114218896593,1.1322806927785094
22,130,137.91098,527,2013.8281,2.9993954,4,51.017071,0.9156283762156806,0.6406909043567187,673.3919982897705,1.0103042,0.8842997,0.0,True,0.9440311233509764,0.7137735430497032
23,54,112.41013,527,2470.6758,3.9447079,5,31.230856,0.7464583144838238,0.5128755926331122,452.49030685125797,0.91230005,0.8627013,0.0,True,0.7962108351386767,0.6178233048431786
24,0,112.42418,527,2470.3672,2.0034497,3,87.742096,0.7465514871467881,0.0,77.9265033937638,0.89358413,0.86188626,4.981760919469554,True,0.7906612800027517,0.258565878
25,7079,188.81439,527,1470.9102,5.2291918,7,98.346893,1.2531309851292636,1.215107611245721,1673.8717450325937,1.0734477,1.1070343,0.0,True,1.1992259995904844,1.1826856178720049
26,3382,140.11154,527,1982.1992,4.0623446,5,52.154568,0.9302238454349445,1.07019759204964,1138.6603857040657,1.0046201,0.93773389,0.0,True,0.9525427218044611,1.030458481434748
27,1834,142.69354,527,1946.332,4.0002823,5,47.245659,0.947348506277647,0.9920210776040495,1072.3911211815184,0.98436898,0.81198311,0.0,True,0.9584546483943528,0.9380096873228346
28,899,113.42478,527,2448.5742,4.0450816,5,105.4838,0.7531905828164438,0.8716006522043351,771.686087073069,0.91171867,0.86348832,0.0,True,0.8007490089715107,0.8691669525430346
29,2791,142.73077,527,1945.8242,4.0088634,6,57.665119,0.9475954811183374,1.0474630820902902,1132.550328458461,0.98389065,0.88638669,0.0,True,0.9584840317828363,0.9991401644632031
30,2811,139.27034,527,1994.1719,3.0113325,5,185.91463,0.9246445208115296,1.0450245951724448,1106.0859885006973,1.0567137,0.85881889,0.0,True,0.9642652745680707,0.9891628836207114
