segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,17532,283.0766,1036,3791.5391,2.9203854,4,189.8318,1.0949319832152562,1.1857132344592127,2766.195415718357,1.034646,0.99730498,0.0,True,1.0768461882506792,1.1291907581214489
1,0,336.79419,1036,3186.8008,2.0097713,3,71.229126,1.3025797315930234,0.0,233.44794322747052,,,,False,1.3025797315930234,0.0
2,24819,341.49115,1036,3142.9688,1.9999166,4,38.421593,1.3207340213256227,1.2564637937625736,3455.701029262832,1.065744,1.0766416,0.0,True,1.2442370149279358,1.2025171356338016
3,0,223.80513,1036,4795.6719,1.9934959,2,72.785255,0.8657672672797025,0.0,155.12989485435202,0.9315424,0.94042271,8.36018449301676,True,0.8854998070957918,0.28212681300000003
4,5562,338.92999,1036,3166.7188,2.0357728,4,52.503338,1.3108349311928904,1.0697763145866708,2922.9568241622515,1.0629499,1.0392851,0.0,True,1.2364694218350234,1.0606289502106696
5,1858,255.37993,1036,4202.7422,3.0071607,3,88.551254,0.9878530222774701,0.9021582080662254,1922.584839598473,0.95386297,0.85884523,0.0,True,0.977656006594229,0.8891643146463577
6,0,205.11311,1036,5232.7031,0.9977572,1,20.954836,0.7934867003570114,0.0,142.1735738923819,,,,False,0.7934867003570114,0.0
7,56107,351.76337,1036,3051.1875,2.651783,5,71.892761,1.3604363604159975,1.3627451733015736,3846.550569032819,1.1542934,1.1557826,0.0,True,1.2985934722911983,1.3006564013111015
8,115,211.76219,1036,5068.4023,3.0859466,4,103.27995,0.8191987626243422,0.5571893748272867,1008.4483815936901,0.92591971,0.73446006,0.0,True,0.8512150468370395,0.6103705803791006
9,2257,267.32336,1036,4014.9727,3.0008297,4,49.819897,1.0340292554558856,0.9305542288601865,2064.452101898682,1.0294005,0.85187846,0.0,True,1.0326406288191199,0.9069514982021305
10,13352,265.17529,1036,4047.4961,2.0028977,4,73.49131,1.025724482156587,1.1436089952663377,2519.051559614155,1.027952,0.95899659,0.0,True,1.026392737509611,1.0882252736864364
11,52935,350.08444,1036,3065.8203,1.9977438,4,44.276398,1.353947390649843,1.3546859152976995,3807.818674060467,1.1541088,1.1542327,0.0,True,1.2939958134548901,1.2945499507083897
12,983,266.8511,1036,4022.0781,2.9940057,4,102.37498,1.0322034480810942,0.8302864034618118,1839.309003852577,1.0291829,0.82113713,0.0,True,1.031297283656766,0.8275416214232683
13,15081,265.17224,1036,4047.543,2.9990137,4,72.996269,1.0257126026733432,1.15826572223789,2551.3079203736934,1.0279518,0.98054373,0.0,True,1.0263843618713402,1.104949124566523
14,133,214.2132,1036,5010.4102,3.0472767,4,46.1618,0.8286766494425413,0.5748724870790648,1050.774607168587,0.92720848,0.61686796,0.0,True,0.858236198609779,0.5874711289553454
15,34574,349.61227,1036,3069.9609,2.0224805,4,45.949776,1.352122447316181,1.3014159034649277,3653.7681442578514,1.1540811,1.149105,0.0,True,1.2927100431213268,1.2557226324254493
16,0,179.27858,1036,5986.75,1.9702895,2,51.520214,0.6935783410841359,0.0,124.2664422617906,0.84795332,0.0,0.0,True,0.739890834758895,0.0
17,0,338.06927,1036,3174.7812,1.0145105,2,18.640518,1.307508143830497,0.0,234.33176133445892,,,,False,1.307508143830497,0.0
18,2678,213.04439,1036,5037.8984,2.9447155,4,41.31741,0.8241569493082674,0.9258515485216731,1681.681247320887,0.92941552,0.87185872,0.0,True,0.8557345205157872,0.9096536999651712
19,82,209.80597,1036,5115.6602,4.0681376,6,91.45504,0.8116340530322076,0.51738938376506,929.6118163736162,1.1023378,0.94107521,0.0,True,0.8988451771225452,0.6444951316355421
20,0,177.10858,1036,6060.1016,1.9993179,2,49.759338,0.685186023633721,0.0,122.76231287997551,0.84544379,0.0,0.0,True,0.7332633535436048,0.0
21,83,213.04356,1036,5037.918,2.9837921,4,46.200634,0.824153744201318,0.5197229654646517,946.4782395211703,0.92941552,0.85572267,0.0,True,0.8557322769409227,0.6205228768252562
22,5514,261.02673,1036,4111.8242,4.0976424,6,55.888226,1.0096851708363275,1.0351914413965801,2248.851840218569,1.0252759,0.80307776,0.0,True,1.0143623895854292,0.9655573369776062
23,10995,262.81088,1036,4083.9102,3.0274508,5,41.39658,1.0165831080104546,1.1190231543747906,2445.5545250156397,1.0275999,0.94431055,0.0,True,1.019888145607318,1.0666093730623534
24,0,325.67914,1036,3295.5625,2.1599975,3,62.558029,1.2596174568844771,0.0,225.74357765818772,,,,False,1.2596174568844771,0.0
25,1859,260.54605,1036,4119.4102,2.9589458,4,54.829563,1.0078267118782833,0.9043917556149617,1961.6171457845746,1.024403,0.59037656,0.0,True,1.0127995983147984,0.8101871969304733
26,0,207.94313,1036,5161.4883,1.0084113,1,20.044628,0.8044304642207901,0.0,144.13519427631016,,,,False,0.8044304642207901,0.0
27,0,211.77705,1036,5068.0469,1.970028,3,20.534496,0.8192561867953565,0.0,146.79266511480256,,,,False,0.8192561867953565,0.0
28,0,209.31528,1036,5127.6523,2.0658171,3,20.598633,0.8097366151245025,0.0,145.0862961801155,,,,False,0.8097366151245025,0.0
29,1825,214.9857,1036,4992.4062,2.992332,5,44.180866,0.8316638903274663,0.8818273171028108,1614.6351704643153,0.92909247,0.87445587,0.0,True,0.8608924642292264,0.8796158829719676
30,4267,265.53973,1036,4041.9414,4.0057011,5,47.781654,1.0271334026174608,1.006463194823958,2219.68242086329,1.0275753,0.94536781,0.0,True,1.0272659718322226,0.9881345793767706
31,10549,229.80939,1036,4670.375,2.0206556,4,71.320854,0.8889841440739706,1.0963644203467748,2128.9486554123523,1.0784798,1.048317,0.0,True,0.9458328408517795,1.0819501942427423
32,12832,264.31311,1036,4060.6992,2.0366931,4,106.66396,1.022391047352858,1.138381129490827,2500.3632137026225,1.0277666,0.87577182,0.0,True,1.0240037131470006,1.059598336643579
33,26876,349.61761,1036,3069.9141,2.948786,5,43.026115,1.3521430466325925,1.2700549834822057,3565.772165638858,1.1540812,1.1492784,0.0,True,1.2927244926428147,1.233822008437544
34,230,265.53537,1036,4042.0078,4.0108843,5,104.10434,1.0271165377494125,0.6552993681743632,1446.3014232782411,1.0275751,0.8768189,0.0,True,1.0272541064245888,0.7217552277220542
35,16404,264.56607,1036,4056.8164,3.0651293,5,55.794876,1.0233691009447035,1.1680667220617609,2567.720170885438,1.0278473,0.88581026,0.0,True,1.0247125606612923,1.0833897834432327
36,160,215.07271,1036,4990.3867,4.0866528,6,47.221928,0.8320003116280272,0.5966982316886896,1094.2031312044971,0.92874354,0.78598171,0.0,True,0.8610232801396192,0.6534832751820827
37,5422,267.90671,1036,4006.2305,4.0831566,6,45.178165,1.0362845375702865,1.0364075373508457,2303.6196439863065,1.0286191,0.92975008,0.0,True,1.0339849062992006,1.004410300145592
38,3754,160.91026,1036,6670.1523,1.7290525,3,122.25716,0.6225378413750565,0.9347020189839998,1324.4700244957617,0.91684473,0.92799032,0.0,True,0.7108299079625395,0.9326885092887999
