segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,294.5564,1369,6362.6562,1.0396639,2,28.587418,0.9118201566158971,0.0,204.17093817588747,,,,False,0.9118201566158971,0.0
1,0,261.17511,1369,7175.8789,2.3692086,3,24.604151,0.8085148682419734,0.0,181.03279112893358,,,,False,0.8085148682419734,0.0
2,0,5.0073352,4,3.1953125,1.8650701,2,11.367026,1.0159218801740177,0.0,3.4708202759985696,0.77322578,0.0,8.134262187366602,True,0.9431130501218125,0.0
3,0,6.7147541,4,2.3828125,1.4614149,2,27.471172,1.2042567741813224,0.0,4.654312872568333,0.86885065,0.92444134,0.3638891016603413,True,1.1036349369269256,0.27733240200000003
4,4,10.951872,4,1.4609375,1.462085,3,20.421297,1.525029458951968,1.0762886844145163,19.623120361773598,0.8582378,0.8595376,0.0,True,1.3249919612663774,1.0112633590901614
5,0,5.2647815,4,3.0390625,0.78857011,1,25.135534,1.0474233338228245,0.0,3.6492684529891593,0.80016237,0.0,0.0,True,0.9732450446759772,0.0
6,0,537.72748,1369,3485.3359,3.9506867,5,94.194893,1.6641419064594096,0.0,372.7242866716044,,,,False,1.6641419064594096,0.0
7,18911,538.79755,1369,3478.4141,5.0298867,7,43.931728,1.667451529141415,1.2075190501215034,5305.865337069671,1.2145451,1.2919447,0.0,True,1.5315796003989905,1.2328467450850524
8,7426,465.78693,1369,4023.6445,6.0956097,8,285.20578,1.441613091541079,1.0737515444308943,4151.564460421909,1.2444065,1.1438316,0.0,True,1.3824511140787552,1.094775561101626
9,7566,495.66791,1369,3781.082,4.4446011,5,222.3293,1.5340460008771528,1.0841158508669915,4427.1491959465975,1.1023206,1.0567178,0.0,True,1.404528380614007,1.075896435606894
10,25895,537.49561,1369,3486.8398,2.0625339,4,90.954063,1.6634245611077758,1.2456886773139733,5461.9671851750645,1.2149804,1.2950168,0.0,True,1.528891312775443,1.2604871141197813
11,2811,386.80316,1369,4845.2578,3.0072978,4,77.530563,1.1972587496976828,0.9358119964009967,3071.9933302653913,1.0750932,0.90930259,0.0,True,1.160609084788378,0.9278591744806977
12,31967,537.50098,1369,3486.8047,3.00108,5,43.734394,1.663441296410298,1.2715123739332803,5575.240719775691,1.2149805,1.2955883,0.0,True,1.5289030574872087,1.2787351517532963
13,10,252.08707,1369,7434.5781,4.447053,5,99.496216,0.7803887399623143,0.26899421431628306,626.4128365685732,0.89468706,0.11912195,0.0,True,0.81467823597362,0.22403253502139814
14,5107,387.96826,1369,4830.707,1.8155667,4,92.60128,1.2008635766849387,1.0065061734789011,3312.7674598906633,1.0062598,0.72845101,0.0,True,1.1424824436794572,0.9230896244352308
15,2629,297.5484,1369,6298.6758,2.0877552,3,14.183506,0.9210792615437127,0.9001172003838248,2343.2291418826894,0.96798408,0.67410314,0.0,True,0.9351507070805989,0.8323129822686773
16,2656,284.6351,1369,6584.4336,5.7589059,6,11.821658,0.8811174856587548,0.896738937813082,2244.441476553449,0.94185466,0.67433864,0.0,True,0.8993386379611283,0.8300188484691573
17,0,310.08902,1369,6043.9453,1.0277075,2,8.5760517,0.9598865892965225,0.0,214.9373299355965,0.94897765,0.45415393,9.525614008513774,True,0.9566139075075658,0.13624617900000002
18,8875,461.7644,1369,4058.6953,2.152297,4,122.04238,1.4291694856027097,1.0940807666343002,4198.001259591048,1.260514,1.4151298,0.0,True,1.3785728399218968,1.1903954766440101
19,8676,463.51895,1369,4043.332,4.0649648,6,166.92227,1.4345971636173103,1.0918498569014186,4203.443089760713,1.2628589,1.4153411,0.0,True,1.383075684532117,1.188897229830993
20,2251,288.85287,1369,6488.2891,4.3936634,4,71.560623,0.8941700013163267,0.8794011928064582,2229.949338545343,1.0063809,0.82187611,0.0,True,0.9278332709214288,0.8621436679645208
21,3578,356.34302,1369,5259.4297,2.8950667,4,18.932669,1.1030123263055935,0.9550077327506946,2915.9970094281234,1.1168281,0.88419098,0.0,True,1.1071570584139154,0.9337627069254861
22,1066,255.77209,1369,7327.4648,3.6307461,5,200.86729,0.7917933943949551,0.7834570206747727,1783.637672807577,0.89294076,0.57229054,0.0,True,0.8221376040764686,0.7201070764723408
23,10498,396.48166,1369,4726.9805,4.5250301,5,208.33723,1.2272035829055208,1.094231792950166,3671.075445127703,1.0013341,0.7017926,0.0,True,1.1594427380338646,0.9765000350651161
24,1898,355.70633,1369,5268.8438,4.031332,6,37.106194,1.1010422682399241,0.8808592066065701,2685.443769071482,1.1130135,0.82817036,0.0,True,1.1046336377679469,0.8650525526245991
25,0,311.83072,1369,6010.1875,2.0467615,2,13.052643,0.9652762514626068,0.0,216.14458437997774,,,,False,0.9652762514626068,0.0
26,19640,399.1521,1369,4695.3555,2.1081188,4,107.86588,1.2354657451603017,1.169179433030708,3945.788311682188,1.0038552,0.86438894,0.0,True,1.1659825816122111,1.0777422851214955
27,8384,462.96121,1369,4048.2031,4.0518055,6,358.13095,1.4328718016857822,1.0875708089366387,4182.539222308111,1.2595928,1.4150765,0.0,True,1.3808881011800476,1.185822516255647
28,0,4.5,3,2.0,2.0003557,2,0.038911246,0.9342982047116379,0.0,3.119162312519754,,,,False,0.9342982047116379,0.0
29,24497,404.09601,1369,4637.9102,3.0887048,5,113.70626,1.2507616662689593,1.1970563578137334,4083.9508963382996,1.0085092,0.92455226,0.0,True,1.1780859263882715,1.1153051284696134
30,4457,310.11987,1369,6043.3438,2.997076,4,10.475174,0.9599820961531321,0.9649998613221009,2605.8379686626986,0.94897765,0.45415393,0.0,True,0.9566807623071926,0.8117460819254706
31,232,352.84265,1369,5311.6055,3.0622406,4,49.57008,1.0921815353229256,0.6354514369560271,1924.8699589437672,1.1109599,0.79096204,0.0,True,1.097815044726048,0.6821046178692189
32,96,325.79385,1369,5752.5977,2.4863482,2,69.633064,1.0084843660036114,0.528384029867869,1493.7542070008788,0.99511814,0.39563748,0.0,True,1.004474498202528,0.4885600649075083
33,1055,480.81705,1369,3897.8672,3.8749561,4,12.594248,1.488107547121179,0.8419738849900049,3348.0204675956693,1.077585,0.669716,0.0,True,1.3649507829848253,0.7902965194930035
34,17506,493.01175,1369,3801.4531,2.5636148,5,109.81206,1.5258297290665528,1.1851579294830745,4816.928509122297,1.1019387,1.0616852,0.0,True,1.398662420346587,1.1481161106381523
35,10373,467.86768,1369,4005.75,4.1252556,6,358.491,1.4480498566752769,1.1146090042580494,4326.444650043341,1.2435896,1.1411177,0.0,True,1.386711779672694,1.1225616129806346
36,11211,496.27545,1369,3776.4531,3.907475,6,120.47547,1.5359253269784772,1.1320093659007429,4627.683757011768,1.1116288,0.88319266,0.0,True,1.4086363688849342,1.05736435413052
