segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,191.89923,840,3676.9297,1.0998673,2,63.490299,0.8778365395927938,0.0,133.01441022612445,1.1807983,1.2303926,5.912455035737079,True,0.9687250677149557,0.36911778000000006
1,0,125.38958,840,5627.2617,0.88836336,2,20.722973,0.5736984864734846,0.0,86.9134338485957,0.88817805,0.0,0.0,True,0.6680423555314393,0.0
2,655,122.10336,840,5778.7109,2.7069135,3,43.597843,0.5586681245819014,0.7487670467381823,792.168017275273,0.87324053,0.79057711,0.0,True,0.653039846207331,0.7613100657167275
3,2,111.19568,840,6345.5703,1.7055222,2,17.407049,0.5087771800263725,0.12546986993363216,154.1499441648918,0.82101709,0.08079949,0.0,True,0.6024491530184608,0.11206875595354251
4,2,117.16574,840,6022.2383,2.3821216,3,56.727249,0.536084191299862,0.12622341474637963,162.4262046784392,0.84993839,0.081005745,0.0,True,0.6302404509099033,0.11265811382246574
5,2145,142.36223,840,4956.3711,3.1261048,4,40.60503,0.6513225517253348,0.9015548330468763,1092.1783711197827,0.96185029,0.89143819,0.0,True,0.7444808732077344,0.8985198401328134
6,10897,170.36357,840,4141.7305,2.7400181,4,44.545002,0.7793699221638946,1.1160610743267618,1583.772376268669,1.0763907,1.0688955,0.0,True,0.8684761555147262,1.1019114020287333
7,4938,142.92522,840,4936.8477,1.9588789,4,24.792725,0.6538972475812841,0.9999798215878937,1215.5962343367921,0.96417969,0.95288241,0.0,True,0.7469819803068989,0.9858505981115255
8,36,166.93446,840,4226.8086,3.0313239,4,31.292463,0.7636900183312045,0.43244981537396415,607.2384812773979,1.0634573,1.0002016,0.0,True,0.8536202028318433,0.602775350761775
9,13766,206.10063,840,3423.5703,2.6251025,4,155.82211,0.9427624116349782,1.1708638323889946,1964.1600958038853,1.1475403,1.2172081,0.0,True,1.0041957781444848,1.1847671126722963
10,8790,143.41873,840,4919.8594,4.4937778,5,150.4617,0.656154240662209,1.068203146876957,1302.4711792594696,0.97017932,1.0011185,0.0,True,0.7503617644635463,1.04807775281387
11,6398,143.27518,840,4924.7891,2.0690367,4,153.00522,0.6554976987452448,1.0307258832226014,1255.6713096953893,0.94989407,0.90737104,0.0,True,0.7438166101216714,0.993719430255821
12,11786,171.26993,840,4119.8125,4.8786144,5,80.92556,0.7835142712709895,1.1261923293451066,1605.6277356438745,1.013613,0.88366753,0.0,True,0.8525438898896927,1.0534348895415746
13,7365,131.0974,840,5382.2578,3.8158062,5,24.402002,0.5998039167539777,1.0364560943346142,1167.3916501089154,0.91554058,0.98330367,0.0,True,0.6945249157277844,1.02051036703423
14,10373,170.77057,840,4131.8594,3.4504941,5,26.737513,0.7812309526669328,1.1104631088450478,1579.1418183905157,1.0110506,0.84823692,0.0,True,0.8501768468668529,1.0317952521915335
15,0,249.35651,840,2829.6836,1.0251827,2,87.474815,1.1404872060046383,0.0,172.8407618607678,,,,False,1.1404872060046383,0.0
16,1492,193.52487,840,3646.043,2.9108417,3,64.122734,0.8852688735448445,0.891044449080548,1414.5143728730843,1.0626675,0.93204534,0.0,True,0.9384884614813911,0.9033447163563837
17,0,160.04523,840,4408.7539,0.90946567,1,42.304798,0.7321875104510265,0.0,110.93489993656797,,,,False,0.7321875104510265,0.0
18,0,160.22424,840,4403.8281,1.2629141,2,5.9062643,0.7330061100779569,0.0,111.05898021336002,,,,False,0.7330061100779569,0.0
19,0,139.75888,840,5048.6953,2.0298886,2,16.465113,0.6394166991727169,0.0,96.87347363021573,,,,False,0.6394166991727169,0.0
20,0,174.21281,840,4050.2188,2.1312823,3,22.371006,0.796970518288192,0.0,120.75511806892544,,,,False,0.796970518288192,0.0
21,2974,161.07736,840,4380.5039,2.6742487,4,51.708595,0.7369072546069282,0.9537774072767393,1288.350749974661,1.0616889,0.77727884,0.0,True,0.8343417482248499,0.9008278370937175
22,4464,249.36476,840,2829.5898,2.0319629,4,57.530025,1.1405249860884352,1.057250075372483,2095.7233933258276,1.2012571,1.2478094,0.0,True,1.1587446202619047,1.1144178727607381
23,0,178.01044,840,3963.8125,2.1257796,3,48.621185,0.8143347466006412,0.0,123.3874345962353,,,,False,0.8143347466006412,0.0
24,1425,180.37782,840,3911.7891,3.4279513,5,129.92719,0.8251591577208786,0.8779225031094328,1310.1435623419059,1.0313833,0.8835007,0.0,True,0.8870264004046149,0.879595962176603
25,0,156.75877,840,4501.1836,2.0002601,2,39.015442,0.7171590599266606,0.0,108.65689945354494,,,,False,0.7171590599266606,0.0
