segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,220.51404,864,3385.2539,2.0128882,3,20.307659,0.9862084958089752,0.0,152.848685099883,,,,False,0.9862084958089752,0.0
1,0,175.98222,864,4241.8828,2.0008395,3,62.355045,0.7871420421040102,0.0,121.98157962168003,0.96969098,0.0,0.0,True,0.8419067234728072,0.0
2,0,176.26109,864,4235.1719,2.0128882,3,62.123405,0.7883887301438218,0.0,122.17487757592276,0.97044057,0.0,0.0,True,0.8430042821006754,0.0
3,0,218.51028,864,3416.2969,1.0065013,2,73.224342,0.9772523193178699,0.0,151.45978450536418,1.0762138,0.74342251,6.055896989953832,True,1.006940763522509,0.22302675300000005
4,0,234.5029,864,3183.3125,2.0087171,3,141.59785,1.0487318194500805,0.0,162.5450239681308,,,,False,1.0487318194500805,0.0
5,4482,220.7341,864,3381.8789,3.9740274,5,83.005844,0.9871921166097536,1.0345726340566952,1855.9920841049266,1.0821357,0.97456765,0.0,True,1.0156751916268276,1.0165711388396867
6,25441,293.21021,864,2545.9414,2.0086536,4,34.881721,1.31107354888228,1.2933311337479705,2974.381820391237,1.2200226,1.3954525,0.0,True,1.283758264217596,1.3239675436235794
7,2129,218.94087,864,3409.5781,2.0278492,4,39.954628,0.9791769309464393,0.9420610783373368,1678.038719613241,1.0770044,0.89020044,0.0,True,1.0085251716625077,0.9265028868361358
8,0,174.56535,864,4276.3125,3.0143104,3,55.519753,0.7808075201711153,0.0,120.99948017596004,0.96491963,0.0,0.0,True,0.8360411531197807,0.0
9,0,146.39005,864,5099.3633,1.9971514,2,39.708408,0.6548325177393433,0.0,101.46985041952942,0.87780935,0.0,0.0,True,0.7217255674175402,0.0
10,636,175.8082,864,4246.082,2.973588,3,54.538559,0.786363957579464,0.772853184632607,1135.4288285859375,0.96818125,0.79639632,0.0,True,0.8409091453056248,0.7799161252428249
11,0,-1.0,1,-1.0,0.0,0,43.48629,1.0,0.0,-0.6931471805599453,0.97772008,0.0,4.8875792153375075,True,0.9933160240000001,0.0
12,0,340.71808,864,2190.9492,1.0225297,2,76.153763,1.5233086902524167,0.0,236.16777651779788,1.2268026,1.3826518,2.6047374216898826,True,1.4343568631766916,0.4147955400000001
13,0,225.94827,864,3303.8359,2.0013199,3,37.471333,1.0104973975393288,0.0,156.61540630289727,,,,False,1.0104973975393288,0.0
14,0,249.35213,864,2993.7422,1.9986801,3,92.713951,1.1150954757195344,0.0,172.83772587611693,1.0910418,0.0,10.044030301102659,True,1.107879373003674,0.0
15,25859,293.68332,864,2541.8398,3.0235984,5,91.94725,1.3131874788821547,1.2956748294594786,2983.96682408186,1.2189,1.3951195,0.0,True,1.2849012352175084,1.325508230621635
16,570,225.90419,864,3304.4805,3.973541,5,64.877167,1.0103004005745944,0.7832471171976066,1434.2971010450701,1.0829098,0.96010602,0.0,True,1.0320832204022161,0.8363047880383248
17,4881,219.80362,864,3396.1953,3.0314589,4,49.933281,0.983033133393506,1.044521357186077,1866.9053576052845,1.0787574,0.94939339,0.0,True,1.0117504133754542,1.0159829670302538
18,26476,293.79758,864,2540.8516,3.0125146,5,123.34077,1.3136978082567166,1.298745987668556,2992.054967334457,1.2187505,1.3943055,0.0,True,1.2852136157797016,1.3274138413679892
19,2605,234.54262,864,3182.7734,4.0111585,6,65.793198,1.0489093426998872,0.97509702564099,1844.9017915871482,1.1104876,1.0452614,0.0,True,1.0673828198899211,0.996146337948693
20,27075,294.21915,864,2537.2109,2.1485512,4,51.142921,1.3155813775224756,1.3018367215257725,3002.9300830914012,1.2181319,1.3941507,0.0,True,1.286346534265733,1.3295309150680406
21,952,185.61815,864,4021.6758,4.024581,6,92.314049,0.8302206091360752,0.826439748578594,1273.463698466439,0.99520689,0.84167469,0.0,True,0.8797164933952526,0.8310102310050158
22,1972,226.23152,864,3299.6992,4.0243764,6,32.374134,1.0117634500568935,0.936416520580214,1716.6034231612873,1.082144,0.91061813,0.0,True,1.0328776150398253,0.9286770034061498
23,29807,295.24051,864,2528.4336,3.0084429,5,50.305161,1.3201447268334112,1.3146785057224477,3041.734733956388,1.217585,1.3941458,0.0,True,1.289376808783388,1.3385186940057134
24,5576,234.98993,864,3176.7148,4.0164852,6,32.36079,1.0509085538728056,1.069670311930254,2027.160738807375,1.1095686,1.033828,0.0,True,1.0685065677109638,1.0589176183511777
25,0,305.13544,864,2446.4414,2.010915,3,26.778555,1.3643530834113835,0.0,211.50376992491837,,,,False,1.3643530834113835,0.0
26,23991,292.80588,864,2549.457,3.0354533,5,264.57895,1.3092670476680912,1.2856236837033983,2953.0987975975722,1.2210374,1.3957428,0.0,True,1.2827981533676638,1.3186594185923788
27,25425,305.97626,864,2439.7188,3.0254657,5,99.192162,1.3681094537348382,1.3003077226151374,3103.690657172557,1.1580663,1.1965187,0.0,True,1.3050965076143868,1.2691710158305962
28,35689,307.32449,864,2429.0156,1.996742,4,41.19836,1.37413292355758,1.3445338992814704,3221.576243732369,1.1588843,1.1986052,0.0,True,1.309558336490306,1.3007552894970291
29,0,185.52553,864,4023.6836,1.9960134,3,97.481804,0.829806538606781,0.0,128.59649804138954,0.99520117,0.0,0.0,True,0.8794249280247468,0.0
30,0,230.62494,864,3236.8398,1.0086635,2,28.995352,1.0313997542089253,0.0,159.85702692780654,,,,False,1.0313997542089253,0.0
31,0,292.97241,864,2548.0078,1.9919705,3,50.251198,1.3100111198256277,0.0,203.07299997335232,,,,False,1.3100111198256277,0.0
32,0,229.36935,864,3254.5586,0.68752515,2,58.629208,1.0257879510112562,0.0,158.98671825936728,1.0893778,1.0590639,4.945155896570877,True,1.0448649057078794,0.31771917000000005
33,0,227.17496,864,3285.9961,1.9886415,2,260.18658,1.0159800900135145,0.0,157.46568301781835,1.0455896,0.95100409,6.689129548624527,True,1.02486294300946,0.28530122700000005
34,1728,180.00427,864,4147.1016,3.1769476,5,34.036697,0.8051233485441969,0.8948984070845378,1342.0896403419838,1.005603,0.93328631,0.0,True,0.8652672439809378,0.9064147779591765
35,7,179.71109,864,4153.8672,5.1600847,5,29.249254,0.8038126371415538,0.24955743186839366,394.86562376788135,1.0045228,0.82989949,0.0,True,0.8640256859990876,0.4236600493078756
36,3,169.19629,864,4412.0117,5.3134661,5,14.454308,0.7568032893166289,0.1651772967638857,272.31092376919463,0.9679125,0.76001495,0.0,True,0.8201360525216401,0.34362859273472
37,241,203.98047,864,3659.6445,5.2685471,5,16.35005,0.9123055429444571,0.6688980486816839,1120.4772549514835,0.96366686,0.66145247,0.0,True,0.92771393806112,0.6666643750771787
38,118,197.99026,864,3770.3672,3.4748981,4,18.748178,0.8855284749697974,0.5802919149755691,947.8767349012704,0.95071095,0.38892692,0.0,True,0.9050832174788581,0.5228824164828983
39,1402,208.98109,864,3572.0742,2.982372,4,11.087718,0.9346584280880584,0.8856755419135273,1514.5027998845685,0.96659768,0.84087056,0.0,True,0.944240203661641,0.8722340473394692
40,4210,231.98557,864,3217.8555,4.8274822,6,55.493095,1.0374808974011676,1.0331855629042823,1936.0803182467357,1.0860074,1.0299495,0.0,True,1.0520388481808172,1.0322147440329976
41,3337,224.13774,864,3330.5234,4.6602325,6,35.233406,1.0024051364926905,1.00016543862078,1818.5251107327645,0.99560463,0.92303991,0.0,True,1.0003649845448832,0.9770277800345459
42,4857,231.31837,864,3227.1367,4.6078196,6,57.988876,1.0344989648911689,1.050505970774197,1963.5663245884402,1.059049,1.0300204,0.0,True,1.0418639754238181,1.044360299541938
43,8275,231.43266,864,3225.543,4.4292111,6,269.07846,1.0350097810136332,1.1165041724017342,2087.8086122349623,1.0592583,1.038029,0.0,True,1.0422843367095431,1.0929616206812138
44,8094,232.27542,864,3213.8398,3.5417571,6,103.68185,1.0387764258785792,1.1142681349152177,2090.275629949656,1.0861213,1.0387955,0.0,True,1.0529798881150056,1.0916263444406522
45,51964,308.20724,864,2422.0586,2.0155365,4,103.13209,1.3780766577351244,1.3932342451486108,3346.6205241730627,1.1594949,1.2147068,0.0,True,1.312502130414587,1.3396760116040276
46,1799,231.34554,864,3226.7578,3.9331603,4,259.86981,1.0346203650339103,0.9276474340526952,1734.1886882122978,1.0331846,0.59557658,0.0,True,1.0341896355237372,0.8280261778368867
47,8264,233.51773,864,3196.7422,2.054652,4,87.464622,1.044328790748465,1.1175789867471833,2106.3079727825293,1.0825354,1.0336622,0.0,True,1.0557907735239256,1.0924039507230283
48,54311,308.73105,864,2417.9492,2.0192075,4,87.920631,1.380416817692737,1.3992068076777402,3365.946103921408,1.159918,1.2155612,0.0,True,1.3142671723849157,1.344113125374418
49,201,230.97839,864,3231.8867,4.0070195,4,261.2771,1.03297947130989,0.6568216331777156,1227.2357627774456,1.0318193,0.42150578,0.0,True,1.032631419916923,0.5862268772244009
50,8943,285.98553,864,2610.2578,3.9982677,5,299.12277,1.2787936066808128,1.1563713888433744,2602.1394384802047,1.0906749,0.93538183,0.0,True,1.2223579946765688,1.090074521190362
51,37716,307.89987,864,2424.4766,2.0271406,4,52.578339,1.3767033952200838,1.3519431373921393,3244.615796428912,1.1592878,1.2024856,0.0,True,1.3114787166540587,1.3071058761744976
52,7096,287.89673,864,2592.9297,3.0163689,4,149.35808,1.2873329761658223,1.1279274764404634,2552.943926181685,1.0906577,0.95791292,0.0,True,1.2283303933160756,1.0769231095083245
53,46118,307.94699,864,2424.1055,1.998722,4,71.386215,1.3769139774185768,1.3777718571236255,3307.043333615301,1.1592885,1.2061288,0.0,True,1.3116263341930037,1.3262789399865378
54,7754,287.99957,864,2592.0039,2.0043447,4,149.90198,1.287792425309031,1.1392573426137005,2579.3880895369452,1.0907487,0.96715194,0.0,True,1.2286793077163216,1.0876257218295904
55,695,230.06882,864,3244.6641,3.0100646,4,90.474442,1.0289141317828614,0.8094978443936384,1506.211194246889,0.99120623,0.69603676,0.0,True,1.0176017612480028,0.7754595190755469
56,0,198.99927,864,3751.25,2.0052049,2,51.677948,0.8900389192412136,0.0,137.9357829339873,0.97275716,0.0,0.0,True,0.9148543914688496,0.0
57,4116,258.73676,864,2885.1562,2.9978352,4,39.40284,1.1570342379266092,1.0444891838455241,2153.497849016295,1.0869576,0.91851038,0.0,True,1.1360112465486265,1.006695542691867
58,5740,258.92538,864,2883.0547,3.0358844,5,200.45166,1.1578770321554335,1.086316965383212,2241.1449028157176,1.0874488,0.97425693,0.0,True,1.1367485625088034,1.0526989547682484
59,4201,230.27008,864,3241.8281,2.0054073,4,194.23595,1.0298136863793999,1.0319732909931671,1921.2708090709352,0.99144453,0.90236884,0.0,True,1.0183029394655798,0.9930919556952169
60,282,182.42554,864,4092.0586,3.4759324,4,21.191572,0.8159479137993005,0.6787402771364179,1030.5171758426468,0.97484392,0.72005862,0.0,True,0.8636167156595105,0.6911357799954926
61,2558,231.10577,864,3230.1055,1.9744053,4,39.723862,1.0335487420327352,0.9710653591934216,1813.6632039999922,1.05917,1.031938,0.0,True,1.0412351194229146,0.9893271514353952
62,0,182.77414,864,4084.2539,2.0859396,3,258.35001,0.8175063653391887,0.0,126.68937982026871,,,,False,0.8175063653391887,0.0
63,44,183.91661,864,4058.8828,4.1059303,4,369.7088,0.8226138842623296,0.4581151015015973,704.1507465479402,0.9639734,0.29688218,0.0,True,0.8650217389836308,0.4097452250511181
64,9215,233.51831,864,3196.7344,2.0078094,4,81.26474,1.0443313373070566,1.131073781001801,2131.743088829947,1.0825354,1.0315754,0.0,True,1.0557925561149397,1.1012242667012606
65,10654,233.52087,864,3196.6992,2.8731053,5,77.117355,1.0443428296233934,1.149052220221176,2165.644150556227,1.0825354,1.0295132,0.0,True,1.0558006007363754,1.113190514154823
66,2184,218.70009,864,3413.332,2.9611547,5,95.731239,0.9781006864463206,0.9450671210274258,1681.7662219372492,1.0650744,0.99553221,0.0,True,1.0041928005124245,0.9602066477191982
67,4994,219.12439,864,3406.7227,2.0635328,4,21.466997,0.9799971624685355,1.046937338866281,1866.1493929120118,1.0646603,0.98382854,0.0,True,1.0053961037279748,1.0280046992063967
68,6384,225.22926,864,3314.3828,3.3728175,5,107.3507,1.0072837712347575,1.080767345291758,1973.4280037837705,1.0611115,0.96698058,0.0,True,1.0234320898643303,1.0466313157042306
69,12508,233.42447,864,3198.0195,4.0186129,6,118.20216,1.0439119429247494,1.1688689256705245,2202.192649967564,1.0821224,1.0255727,0.0,True,1.0553750800473245,1.125880057969367
70,756,230.79178,864,3234.5,4.0007868,4,261.69492,1.0321453958418307,0.8202062162471213,1530.3072211888293,1.0314842,0.53103703,0.0,True,1.0319470370892816,0.7334554603729849
71,55688,308.99762,864,2415.8633,2.0029993,4,78.912239,1.3816077086087062,1.4025752260446358,3376.588758281381,1.1601321,1.2161283,0.0,True,1.3151650260260943,1.346641148231245
72,57716,308.99463,864,2415.8867,2.0176361,4,32.706631,1.3815943375850013,1.40716452916213,3387.608354884299,1.1601319,1.2166829,0.0,True,1.315155606309501,1.350020040413491
73,7168,232.12645,864,3215.9023,3.1287198,5,215.61026,1.0381106268024622,1.0991390405056571,2060.7399168187835,1.0568868,0.95787686,0.0,True,1.0437434787617237,1.05676038635396
74,0,183.16533,864,4075.5312,2.0058718,2,34.47768,0.819255184029514,0.0,126.96053206583197,0.94934165,0.0,0.0,True,0.8582811238206598,0.0
75,62059,309.02109,864,2415.6797,1.9837525,4,44.98008,1.381712628700189,1.4164920276404884,3410.3175194178,1.1601324,1.2177896,0.0,True,1.3152385600901324,1.356881299348342
76,2950,230.01067,864,3245.4844,3.9983907,4,148.20607,1.0286542326861017,0.9881220479400283,1837.8400385571251,1.0322598,0.84865421,0.0,True,1.029735902880271,0.9462816965580199
77,9282,232.29773,864,3213.5312,3.0095048,4,46.345402,1.0388761190194904,1.1312374372287093,2122.28315753727,1.0568745,0.95539188,0.0,True,1.0442756333136431,1.0784837700600964
78,1515,205.27077,864,3636.6406,2.7991509,3,39.47052,0.9180732424197335,0.8931892583277008,1503.5036979181573,0.97386169,0.86799347,0.0,True,0.9348097766938135,0.8856305218293905
79,0,168.0768,864,4441.3984,0.93245292,1,13.170248,0.7517981222755279,0.0,116.5019600375378,0.88739163,0.0,0.0,True,0.7924761745928695,0.0
80,67771,308.97964,864,2416.0039,2.9867406,5,80.689796,1.3815273720783017,1.4277686755949806,3437.0645388441385,1.1601306,1.2201402,0.0,True,1.3151083404548112,1.3654801329164863
81,1277,203.01941,864,3676.9688,3.0159068,4,185.3992,0.9080094872351417,0.8711908694887369,1452.3671176345938,0.93871623,0.70728809,0.0,True,0.9172215100645993,0.8220200356421158
82,0,164.68602,864,4532.8438,1.9996438,2,38.169685,0.736638067587264,0.0,114.15165044063878,0.85398465,0.0,0.0,True,0.7718420423110848,0.0
83,5109,230.34723,864,3240.7422,1.9865873,4,89.64724,1.0301585410157135,1.0562153132309229,1966.9696316957795,0.99144584,0.90841949,0.0,True,1.0185447307109994,1.011876566261646
