segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,232.47966,802,2766.7109,1.0009077,2,408.535,1.1033965748156498,0.0,161.14262086653468,,,,False,1.1033965748156498,0.0
1,0,180.49347,802,3563.5859,1.9928358,2,189.9048,0.8567977912731692,0.0,125.10853983998106,1.0764399,0.0,0.0,True,0.9226904238912185,0.0
2,373,161.05737,802,3993.6328,1.9579587,3,122.48387,0.7645813007928945,0.7143503653693363,954.575117927346,0.9711923,0.79541469,0.0,True,0.8265646005550262,0.7386696627585354
3,16,138.85652,802,4632.1484,1.714839,2,326.53366,0.6592335549104891,0.3356321769449383,401.3469638077439,0.88360131,0.23802425,0.0,True,0.7265438814373424,0.3063497988614568
4,116,154.10034,802,4173.9297,1.724914,3,24.79484,0.7315702952841269,0.5711868121216018,735.1641226629313,0.90712547,0.50266272,0.0,True,0.7842368476988888,0.5506295844851213
5,2494,232.74155,802,2763.5977,2.0102439,4,34.618397,1.1046386550418217,0.9869621831823743,1820.6079111306747,1.2159441,1.312786,0.0,True,1.1380302885292752,1.084709328227662
6,726,182.28883,802,3528.4883,3.9548457,4,69.323654,0.8653154646383491,0.8065300082327886,1201.3382674235474,1.0760657,0.8536737,0.0,True,0.9285405352468443,0.8206731157629521
7,0,235.60924,802,2729.9609,0.94566697,2,320.36224,1.1182393290162957,0.0,163.31188041987147,,,,False,1.1182393290162957,0.0
8,558,137.25917,802,4686.0547,2.7658727,4,137.50333,0.6516532590190885,0.7483922557243423,868.5673507471388,0.85076469,0.80045295,0.0,True,0.7113866883133619,0.7640104640070396
9,6621,167.13245,802,3848.4688,3.004962,4,238.65654,0.7934062791820973,1.0656406348929681,1470.482056314505,1.0682502,1.0003064,0.0,True,0.8758594554274681,1.0460403644250778
10,2123,167.13278,802,3848.4609,2.0186739,4,104.94201,0.7934079070156913,0.9279146744852332,1280.4923201527351,1.0682502,0.91692722,0.0,True,0.8758605949109839,0.9246184381396634
11,0,167.00006,802,3851.5195,0.99563348,2,67.915985,0.7927781664825506,0.0,115.75562074234169,1.0677727,0.0,0.0,True,0.8752765265377854,0.0
12,2036,138.48888,802,4644.4453,3.0044084,3,155.42052,0.6574888816004688,0.9023173368540699,1055.2470722756425,0.95851576,0.90259582,0.0,True,0.7477969451203281,0.9024008817978489
13,1241,118.29489,802,5437.293,1.9975491,3,102.27498,0.5616513255885931,0.8282747439101311,842.8845795291195,0.8695423,0.86074197,0.0,True,0.6540186179120151,0.8380149117370917
14,446,138.11958,802,4656.8633,3.9962106,4,154.7413,0.6557363732296578,0.7224748943358458,843.1914772480002,0.95697975,0.79605925,0.0,True,0.7461093862607604,0.7445502010350921
15,0,117.95576,802,5452.9258,1.0183258,2,62.756386,0.5600417376373397,0.0,81.76070247480557,0.86796248,0.0,0.0,True,0.6524179603461377,0.0
16,0,179.75536,802,3578.2188,2.2431793,3,194.36285,0.8532959280909745,0.0,124.59692097453797,1.0754952,0.0,0.0,True,0.9199557096636821,0.0
17,4920,232.74254,802,2763.5859,2.004097,4,160.24071,1.1046433682333843,1.0726650968908764,1978.6537752859226,1.2159441,1.3127846,0.0,True,1.138033587763369,1.1447009478236136
18,318,157.45569,802,4084.9844,1.9554858,3,122.29781,0.7474915058924021,0.6932809868995757,908.2549625341954,0.94991469,0.84922844,0.0,True,0.8082184611246814,0.7400652228297031
19,14,135.67346,802,4740.8242,2.9329915,3,248.59396,0.6441280542750784,0.31992658348539443,376.1667051032501,0.86804199,0.19998781,0.0,True,0.7113022349925548,0.2839449514397761
20,118,160.29741,802,4012.5664,2.9356518,4,160.36943,0.7609753630466182,0.5759413937423598,767.4225267643482,0.96684974,0.49300987,0.0,True,0.8227376761326327,0.5510619366196519
21,1266,119.3568,802,5388.918,2.587647,3,68.139603,0.5666912618063854,0.8314550018669515,852.8277460456304,0.8126002,0.85643542,0.0,True,0.6404639432644698,0.8389491273068661
22,0,107.39903,802,5988.918,0.75102639,1,72.630684,0.5099362274220337,0.0,74.44333483937298,0.76277709,0.0,0.0,True,0.5857884861954237,0.0
23,3085,135.79048,802,4736.7383,2.8415534,4,56.053604,0.6446834432099269,0.949300627013784,1091.0703995555598,0.87479866,0.93928844,0.0,True,0.7137180082469488,0.9462969709096488
24,14029,196.50317,802,3273.25,3.1054056,4,68.941742,0.9327489882344112,1.1796907219260884,1876.4135741239156,1.0776013,1.077783,0.0,True,0.9762046817640879,1.149118405348262
25,5241,161.61427,802,3979.8711,2.8792193,4,74.320396,0.7672237616417958,1.0331372950177915,1384.1695173668434,0.96331716,0.9947114,0.0,True,0.826051781149257,1.021609526512454
26,1925,161.09393,802,3992.7266,2.0251024,4,192.37581,0.7647547453472173,0.9120002624655226,1218.4693268031672,0.92862606,0.8989023,0.0,True,0.8139161397430521,0.9080708737258658
27,13105,193.94791,802,3316.375,2.1754436,4,69.593445,0.920627151456588,1.16938492056452,1838.801073047721,1.0646703,1.0698478,0.0,True,0.9638400960196116,1.139523784395164
28,230,132.58595,802,4851.2227,1.5092652,3,98.141273,0.6294757756974052,0.6412195409504609,722.1608488228808,0.86195779,0.77388841,0.0,True,0.6992203799881836,0.6810202016653226
29,182,135.06715,802,4762.1055,2.3246381,3,117.47269,0.6412507287495534,0.6151186734830815,704.3665102133365,0.84902525,0.50363189,0.0,True,0.7035830851246874,0.581672638438157
30,1139,161.09912,802,3992.5977,2.2453883,4,64.396034,0.764779422897769,0.8487673082941602,1134.0830874616724,0.92862618,0.86360502,0.0,True,0.8139334500284383,0.8532186218059121
31,512,135.28621,802,4754.3945,1.4952244,3,45.580776,0.64229031543005,0.7369717976804141,844.4867275572533,0.84437591,0.7501027,0.0,True,0.702915993801035,0.7409110683762898
32,315,127.3623,802,5050.1914,2.0193455,3,89.801521,0.6046853497503589,0.6749406524605165,733.4669753950903,0.81713969,0.50052804,0.0,True,0.6684216518252513,0.6226168687223615
33,439,131.73366,802,4882.6094,2.1068273,4,49.249405,0.6254309963279264,0.7165928178288122,802.132167346857,0.84862566,0.7715627,0.0,True,0.6923893954295485,0.7330837824801686
34,20,147.68541,802,4355.2305,2.6948843,3,16.959524,0.7011302531997688,0.3633159097857594,456.50187205162877,0.92756611,0.79404777,0.0,True,0.7690610102398382,0.4925354678500316
35,542,178.51669,802,3603.0469,1.9870435,3,87.386833,0.8474192454236186,0.768843325931256,1124.4675700267157,1.0281265,0.85213703,0.0,True,0.9016314217965329,0.7938314371518792
36,1493,162.72638,802,3952.6719,3.0375814,4,227.08681,0.7725005262041473,0.8824454345546929,1189.5105524172889,0.93314052,0.88408267,0.0,True,0.8206925243429032,0.882936605188285
37,0,144.47668,802,4451.957,2.0623174,2,13.469652,0.685903820740693,0.0,100.14360339866143,0.92037362,0.0,0.0,True,0.7562447605184851,0.0
38,2287,180.80403,802,3557.4648,3.1807702,4,38.666954,0.8582711995676302,0.9459241688587965,1398.6765294048137,1.0348055,0.92949629,0.0,True,0.9112314896973412,0.9409958052011576
39,4715,235.56676,802,2730.4531,1.848495,4,13.285372,1.1180378992469275,1.0689211651680215,1992.6423287656357,1.1625168,1.2980036,0.0,True,1.1313815694728493,1.137645895617615
40,6346,235.49568,802,2731.2773,2.3870258,4,53.848396,1.117700763005186,1.1064133533304115,2061.9754662609507,1.1625152,1.2979015,0.0,True,1.1311450941036303,1.163859797331288
41,4,174.00517,802,3696.4648,2.8029168,3,31.898026,0.8260146544357418,0.19589203897050247,311.7754110421375,1.0397686,0.76770657,0.0,True,0.8901408381050193,0.36743639827935176
42,0,159.10953,802,4042.5234,1.6200268,2,35.499748,0.7553389661967972,0.0,110.28632211971804,0.96766293,0.0,0.0,True,0.8190361553377581,0.0
43,427,189.71864,802,3390.3047,2.8151541,3,30.399275,0.9005635972838039,0.7453199830092688,1149.9713630776137,1.0374751,0.72422028,0.0,True,0.9416370480986627,0.7389900721064881
44,0,210.37839,802,3057.3672,1.000265,2,49.104713,0.9985679795856983,0.0,145.82318787924058,,,,False,0.9985679795856983,0.0
45,9063,210.37651,802,3057.3945,1.0150155,3,141.19427,0.9985590690297558,1.1352761316099556,1916.9878113018217,1.2066427,1.2792919,0.0,True,1.060984158320829,1.178480862126969
46,0,128.12978,802,5019.9414,0.76091534,1,43.420124,0.6083277124091403,0.0,88.81279575276608,,,,False,0.6083277124091403,0.0
47,1245,145.83252,802,4410.5664,1.7683859,3,70.88385,0.6923377116126243,0.8492995006767028,1039.5665275683027,0.97390419,0.87294048,0.0,True,0.776807655128837,0.8563917944736918
48,10278,210.79881,802,3051.2695,1.1945554,3,164.03484,1.0005622247609507,1.1512360177789043,1947.3500344560389,1.2141542,1.2808034,0.0,True,1.0646398173326654,1.190106232445233
49,2476,174.91794,802,3677.1758,4.0549483,4,99.907318,0.8303452430065329,0.9517810161951047,1367.019919991567,1.0776007,0.90357929,0.0,True,0.904521880104573,0.9373204983365733
50,15085,212.35657,802,3028.8867,1.885389,4,72.954414,1.0079512783222002,1.2001489329805468,2043.2075795577123,1.21375,1.2808238,0.0,True,1.0696908948255401,1.2243513930863827
51,6,140.64713,802,4573.1758,3.2378588,4,226.1691,0.6677308713940031,0.2308693939734685,292.4674848400443,0.96505636,0.35509032,0.0,True,0.7569285179758022,0.26813567178142794
52,1245,170.52916,802,3771.8125,2.1497631,3,148.45853,0.8095224984587218,0.8654203462944997,1215.6164256802222,1.0773661,0.87460035,0.0,True,0.8898755789211052,0.8681743474061498
53,0,164.2686,802,3915.5625,0.18021855,1,55.354698,0.779818094469394,0.0,113.86231694452943,1.0554672,0.0,0.0,True,0.8625128261285758,0.0
54,18658,213.8511,802,3007.7188,2.0003715,4,128.95934,1.0150403830798926,1.2277359237713639,2103.0411164519473,1.2134598,1.2807132,0.0,True,1.0745662081559249,1.2436291066399547
55,0,169.92921,802,3785.1289,1.0028841,2,96.291153,0.806676034637943,0.0,117.78595280627887,1.0749691,0.98550749,0.30529562788223785,True,0.8871639542465601,0.29565224700000003
