segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,1345,186.03156,806,3492.0742,1.0171283,3,157.72945,0.8795690249350522,0.8830488388999518,1340.4755526584952,0.90041095,0.94987285,0.0,True,0.8858216024545366,0.9030960422299662
1,0,179.72762,806,3614.5586,0.15402654,1,7.1396079,0.8497800746667626,0.0,124.57769307174924,,,,False,0.8497800746667626,0.0
2,2686,148.00708,806,4389.2227,2.3751066,3,140.06082,0.6998687261169246,0.9414122484737036,1168.7457074362976,0.82576448,0.90859318,0.0,True,0.7376374522818473,0.9315665279315926
3,1345,138.14684,806,4702.5039,0.85655206,2,47.857922,0.6532632350766513,0.8519958151145707,995.4357298139342,0.79817164,0.85545516,0.0,True,0.6967357565536559,0.8530336185801994
4,0,127.97587,806,5076.2383,0.46445394,1,38.144066,0.6051861404662169,0.0,88.70611347020609,0.76764637,0.0,0.0,True,0.6539242093263519,0.0
5,6685,186.6525,806,3480.457,2.4635546,4,118.54707,0.8825031973531109,1.0799421464141143,1644.0204039079304,0.90021747,0.73218071,0.0,True,0.8878174791471776,0.97561371548988
6,0,156.38011,806,4154.2109,2.1427772,2,345.19205,0.7394426103701144,0.0,108.3944323421541,0.82848436,0.0,0.0,True,0.7661551352590801,0.0
7,9331,192.84186,806,3368.75,3.1247799,4,218.46652,0.9117494436385738,1.1253224177453822,1762.82756756842,0.90716118,0.88435566,0.0,True,0.9103729645470017,1.0530323904217676
8,20594,252.00676,806,2577.8516,2.0683734,4,294.2616,1.1912621009459314,1.264379077436394,2503.14589069445,1.003693,1.0832214,0.0,True,1.134991370662152,1.2100317742054758
9,2682,194.39426,806,3341.8477,3.9571865,4,185.97064,0.919084752916445,0.9728304625212298,1534.7550263645228,0.90703619,0.91484946,0.0,True,0.9154701840415115,0.9554361617648609
10,0,156.77121,806,4143.8477,1.0059036,2,96.497215,0.7412909637623019,0.0,108.6655222044711,0.82667571,0.0,0.0,True,0.7669063876336113,0.0
11,0,248.97348,806,2609.2578,1.0713662,2,281.53046,1.1769345168235488,0.0,172.57526569619793,1.0911865,1.3423316,8.54867082068509,True,1.1512101117764841,0.40269948000000005
12,4005,253.22543,806,2565.4453,3.0784585,5,209.06891,1.197018467012607,1.0566156272493252,2100.7070437590255,1.09642,1.3432482,0.0,True,1.1668389269088248,1.1426053990745277
13,22164,252.2774,806,2575.0859,3.0957947,5,295.91672,1.192540550217873,1.273904689890655,2524.3670970513826,1.0074911,1.0993575,0.0,True,1.137025715152511,1.2215405329234585
14,21906,252.04112,806,2577.5,2.043556,4,187.22028,1.191424476505029,1.2722625063695416,2519.0519790135495,1.0040132,1.0934373,0.0,True,1.1352010935535204,1.2186149444586791
15,0,192.11475,806,3381.5,2.041219,2,203.1897,0.9083137098107648,0.0,133.16379730647873,0.90647179,0.0,0.0,True,0.9077611338675353,0.0
16,0,241.44077,806,2690.6641,0.93939471,2,113.37646,1.1413526986692186,0.0,167.3539889977222,0.93141025,0.0,0.0,True,1.078369964068453,0.0
17,0,245.07233,806,2650.793,1.0712821,2,119.81451,1.15850706675746,0.0,169.87119457275648,0.93207341,0.0,0.0,True,1.090576969730222,0.0
18,0,264.99615,806,2451.4922,0.054675501,1,164.24916,1.2526143091650026,0.0,183.68133423174035,,,,False,1.2526143091650026,0.0
19,1333,269.83578,806,2407.5234,2.0403514,4,310.72409,1.275471919942642,0.9240251146629191,1941.9235342566121,1.0746443,1.1817051,0.0,True,1.2152236339598494,1.0013291102640434
20,4772,200.69948,806,3236.8594,2.0333271,4,111.11933,0.9488770760301366,1.0479316384395456,1700.1132143558846,0.89809364,0.91111577,0.0,True,0.9336420452210956,1.0068868779076818
21,20568,251.85219,806,2579.4336,3.2379799,5,332.49957,1.1905320505414987,1.2641196693436096,2501.2924354595198,0.99995279,1.0709622,0.0,True,1.133358272379049,1.2061724285405266
22,35541,259.15952,806,2506.7031,2.9581687,5,112.05839,1.2250470919196148,1.338602173385609,2715.6026441921085,0.99637854,1.1212581,0.0,True,1.1564465263437302,1.2733989513699262
23,5853,201.67642,806,3221.1797,3.1393893,4,95.716774,0.953493048229586,1.0738319628231392,1749.553284666529,0.89977515,0.92698193,0.0,True,0.9373776787607102,1.0297769529761975
24,34609,259.45752,806,2503.8242,2.3263116,4,64.990921,1.2264545282724633,1.3354034043612866,2711.8310144282846,0.99601191,1.1158297,0.0,True,1.1573217427907243,1.2695312930529006
25,1804,197.22125,806,3293.9453,2.9905429,3,69.668686,0.9324424883946717,0.9256321132655337,1478.9364625220978,0.90545243,0.89459503,0.0,True,0.9243454708762702,0.9163209882858736
26,1304,161.09303,806,4032.6758,1.8054423,2,69.393997,0.7617165763714454,0.8640274143650629,1155.7980784862007,0.82740396,0.86710912,0.0,True,0.7814227914600118,0.864951926055544
27,835,141.13676,806,4602.8828,1.8275265,3,21.234299,0.6673957993338554,0.7976949747133855,949.8255646788963,0.77064204,0.83218938,0.0,True,0.6983696715336988,0.8080432962993699
28,0,200.14011,806,3245.9062,0.99823964,2,75.764839,0.9462340498456275,0.0,138.7265529634573,0.89718026,0.847574,10.268998930290957,True,0.9315179128919393,0.25427220000000006
29,0,160.53215,806,4046.7656,1.9936278,2,197.92343,0.7590657846788469,0.0,111.27240716172622,,,,False,0.7590657846788469,0.0
30,2656,200.33321,806,3242.7773,2.0082827,4,93.795547,0.9471464920395992,0.9752437271697281,1579.6933184104564,0.89745575,0.87116164,0.0,True,0.9322392694277195,0.9440191010188097
31,0,180.46443,806,3599.8008,2.0030184,3,62.275597,0.8532619119704573,0.0,125.0884108458576,,,,False,0.8532619119704573,0.0
32,318,164.61343,806,3946.4336,4.0019007,5,253.01115,0.7783540888581038,0.6961675086472887,949.5431044586284,0.95227998,0.49742502,0.0,True,0.8305318562006727,0.6365447620531021
33,4072,200.32838,806,3242.8555,2.0118654,4,98.718468,0.9471236661061556,1.0280763275430893,1665.205738897723,0.89745522,0.8924917,0.0,True,0.9322231322743089,0.9874009392801626
