segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,169.6393,902,4796.082,1.9613726,3,14.170984,0.7331286289349093,0.0,117.58500250716273,,,,False,0.7331286289349093,0.0
1,0,213.88777,902,3803.8828,2.0386274,3,69.538437,0.9242563323750452,0.0,148.25570473175404,,,,False,0.9242563323750452,0.0
2,3895,215.73676,902,3771.2812,4.0514517,6,108.71188,0.9322420174190219,1.003853881227997,1783.703399555904,1.039332,0.90305316,0.0,True,0.9643690121933153,0.9736136648595979
3,0,291.99985,902,2786.3164,2.0127876,3,28.737846,1.261553845961408,0.0,202.39887275142692,,,,False,1.261553845961408,0.0
4,0,190.57602,902,4269.1836,2.1584268,3,17.365234,0.82356826762897,0.0,132.09723094533575,1.0756121,1.0637655,14.970126718070427,True,0.899181417340279,0.31912965000000004
5,0,186.6111,902,4359.8906,1.9938033,2,22.665174,0.8064418851259745,0.0,129.34895782619,0.94246012,0.0,0.9587509953405986,True,0.8472473555881821,0.0
6,0,226.74167,902,3588.2422,2.1584265,3,40.519489,0.9797699102799436,0.0,157.16534927595353,1.0310947,1.0266715,0.5909102988146255,True,0.9951673471959606,0.30800145
7,30619,235.56293,902,3453.8711,3.0262101,5,124.61331,1.017865301219501,1.2677046660472766,2433.233464268076,1.0490323,1.0532227,0.0,True,1.0272154008536507,1.2033600762330936
8,27653,235.34441,902,3457.0781,3.1488209,5,42.210171,1.0169216121998712,1.2550579674797029,2406.999502838026,1.0486404,1.0409822,0.0,True,1.0264372485399098,1.190835237235792
9,0,181.11533,902,4492.1875,2.6414092,3,18.153746,0.7827023857320745,0.0,125.53958034568407,1.0259228,1.0388161,13.60354616620663,True,0.8556685100124521,0.31164483000000004
10,0,225.58206,902,3606.6875,2.6414092,3,24.456934,0.9747619538065482,0.0,156.36156887390442,1.1495265,1.2636384,7.671040603244783,True,1.0271913176645837,0.37909152000000007
11,38705,292.83365,902,2778.3828,3.9887886,6,48.79023,1.265153588986836,1.33200666434768,3093.429008081236,1.1652972,1.313162,0.0,True,1.235196672290785,1.326353265043376
12,0,135.0099,902,6026.2539,2.0770216,3,7.789906,0.5835207568442444,0.0,93.58173153268015,,,,False,0.5835207568442444,0.0
13,26268,190.75055,902,4265.2773,4.1373506,6,44.032993,0.8243221686524257,1.2173928359503792,1941.1124817717164,1.0756683,1.0648581,0.0,True,0.899726008056698,1.1716324151652655
14,1617,210.54556,902,3864.2656,3.5291955,4,32.285503,0.9098214251440117,0.894512722086058,1555.8398807828717,1.0748698,0.78825361,0.0,True,0.9593359376008082,0.8626349884602407
15,0,169.026,902,4813.4844,1.054215,1,16.944399,0.7304792178700169,0.0,117.15989534132532,1.0282869,0.0,4.617833952941236,True,0.8198215225090117,0.0
16,6444,230.42969,902,3530.8125,3.4824839,6,101.32756,0.9956971331417299,1.0735517218243633,2021.14836774649,1.1538775,1.2674444,0.0,True,1.043151243199211,1.1317195252770542
17,12532,237.52721,902,3425.3086,3.1968236,5,101.86468,1.0263479857568905,1.1592538630440687,2241.3543138196274,1.1625096,1.2721348,0.0,True,1.0671964700298233,1.193118144130848
