segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,335.42822,1404,5876.7148,1.9932421,3,57.913296,1.0175555749199818,0.0,232.50112497324105,0.96458483,0.0,0.0,True,1.0016643514439871,0.0
1,0,249.96745,1404,7885.8906,2.0106816,2,85.221832,0.7583673914169912,0.0,173.2642331992591,0.84533828,0.0,0.0,True,0.7844586579918938,0.0
2,9344,435.29828,1404,4528.4258,2.9596956,5,16.825003,1.320387813901423,1.0859749013989026,3979.8032052848357,1.0674539,0.92929596,0.0,True,1.244507639730996,1.0389712189792317
3,681,336.53238,1404,5857.4336,3.1470335,5,45.787136,1.0209039689611987,0.7520799385696737,2196.376848149124,0.96269625,0.68537945,0.0,True,1.0034416532728392,0.7320697919987715
4,23128,438.88806,1404,4491.3867,4.0036254,6,66.393585,1.331271803983531,1.1947852760829512,4410.335974272548,1.0677731,1.012702,0.0,True,1.2522221927884716,1.1401602932580657
5,8258,432.79138,1404,4554.6562,3.8755493,5,63.682308,1.3127869989631002,1.0705668602261686,3903.4233008972533,1.0684661,0.9737342,0.0,True,1.2394907292741701,1.041517062158318
6,743,336.54269,1404,5857.2539,4.0060501,6,115.89763,1.02093527950796,0.7621116303763322,2225.686114857004,0.96215552,0.84578878,0.0,True,1.003301351655572,0.7872147752634325
7,0,250.14166,1404,7880.3984,0.98839432,1,85.359024,0.7588957972619863,0.0,173.38498636958445,0.84563762,0.0,0.0,True,0.7849183440833903,0.0
8,2483,303.50549,1404,6494.8281,2.0078399,3,44.418747,0.9207445427261044,0.8904689185044753,2372.814400317459,0.92883265,0.86478424,0.0,True,0.923170974908273,0.8827635149531328
9,12569,435.30392,1404,4528.3672,4.0099273,5,63.896847,1.3204048930304382,1.1211920779173359,4108.898061833409,1.0674546,0.98718041,0.0,True,1.2445198051213067,1.080988577542135
10,0,616.08246,1404,3199.5977,1.9928191,3,34.44458,1.8684168276684499,0.0,427.03582014143524,,,,False,1.8684168276684499,0.0
11,22455,616.08398,1404,3199.5898,3.0239749,5,45.159801,1.8684214380320068,1.2412867682050766,6172.7657371797095,1.2055757,1.41441,0.0,True,1.6695677166224048,1.2932237377435536
12,0,335.9928,1404,5866.8398,2.0031323,3,156.78795,1.0192677295612338,0.0,232.89246200844158,0.96166676,0.0,0.0,True,1.0019874386928636,0.0
13,29056,438.89188,1404,4491.3477,4.0135827,5,63.498112,1.3312833587537873,1.2219157067919995,4510.513405456184,1.0677733,1.0322503,0.0,True,1.2522303411276512,1.1650160847543996
14,7386,427.71887,1404,4608.6719,4.116775,6,43.789646,1.2974072212999161,1.0558454162246411,3809.9538850270724,1.0707682,1.1018474,0.0,True,1.2294155149099413,1.0696460113572488
15,0,326.87207,1404,6030.543,2.1080325,3,35.108212,0.9916081854873816,0.0,226.5704537242931,,,,False,0.9916081854873816,0.0
16,39670,617.138,1404,3194.125,2.0065184,4,96.015839,1.871616103282758,1.3120652059514446,6534.504572008342,1.2052864,1.4141613,0.0,True,1.6717171922979306,1.3426940341660112
17,0,322.48746,1404,6112.5352,2.0685484,3,17.364998,0.9783113225195931,0.0,223.53127366493814,0.95450348,0.0,0.0,True,0.9711689697637151,0.0
18,43579,618.12451,1404,3189.0273,2.0274215,4,19.278263,1.8746060298840455,1.3239723325609818,6603.038773411139,1.2050074,1.4140024,0.0,True,1.6737264409188317,1.3509813527926873
19,77015,619.14685,1404,3183.7617,2.0067148,4,58.095154,1.877704480565701,1.3948310994119875,6966.505045177922,1.20473,1.413861,0.0,True,1.6758121363959908,1.4005400695883914
20,129792,619.14685,1404,3183.7617,2.000035,4,112.5423,1.877704480565701,1.4595321251444382,7289.651656032,1.20473,1.410203,0.0,True,1.6758121363959908,1.4447333876011068
21,914,429.28967,1404,4591.8086,3.0889289,4,64.133629,1.3021698418398635,0.8086304876711752,2927.7625745855566,1.0594573,0.7684986,0.0,True,1.2293560792879044,0.7965909213698226
22,451,433.73737,1404,4544.7227,6.1091914,5,195.4283,1.3156551240973207,0.7258851790502342,2652.6909657107212,1.0666646,0.47506881,0.0,True,1.2409579668681245,0.6506402683351639
23,0,332.564,1404,5927.3281,1.9807767,2,25.703665,1.0088696252286335,0.0,230.51579895573767,0.95709509,0.0,0.0,True,0.9933372646600436,0.0
24,10921,434.95648,1404,4531.9844,3.0160637,4,44.443508,1.319351477721142,1.1043944925211109,4044.4976063261697,1.0659572,0.92561448,0.0,True,1.2433331944047994,1.0507604887647777
25,136296,619.14685,1404,3183.7617,2.0188308,4,134.63631,1.877704480565701,1.465593474586722,7319.924895029722,1.20473,1.4101073,0.0,True,1.6758121363959908,1.4489476222107054
26,14,333.15176,1404,5916.8711,2.9396467,3,41.073967,1.0106520174268714,0.3117693289883668,923.6928125703344,0.95639932,0.22645719,0.0,True,0.99437620819881,0.2861756872918568
27,3,332.19885,1404,5933.8438,1.5012329,2,40.821312,1.0077622019138384,0.1595471357865379,534.6534236570088,0.9755348,0.1032673,0.0,True,0.998093981339687,0.14266318505057654
28,1046,376.08057,1404,5241.4727,0.88593858,2,40.216099,1.1408315367227153,0.8118786990129874,2615.504548448595,1.0297632,0.79957223,0.0,True,1.1075110357059008,0.8081867583090911
29,2101,418.81836,1404,4706.6133,4.2523489,4,29.13653,1.2704205329634108,0.9046136823890625,3204.4296041507164,1.0751858,0.8541801,0.0,True,1.2118501130743877,0.8894836076723437
30,151050,619.16736,1404,3183.6562,2.9781857,5,92.829773,1.877766664872564,1.478340864543061,7383.8056970466805,1.2047303,1.4099977,0.0,True,1.6758557554107947,1.4578379151801426
