segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,279.49863,732,1917.0898,1.0409827,2,51.623264,1.4266518375556747,0.0,193.73368735486733,,,,False,1.4266518375556747,0.0
1,0,150.33437,732,3564.2148,1.1287696,2,32.699852,0.7677252053365805,0.0,104.20384470675563,0.87362558,0.0,0.5305794645598962,True,0.7994953177356063,0.0
2,0,151.2012,732,3543.7812,1.0371463,2,33.758003,0.7721494461091825,0.0,104.8046854772804,0.84611714,0.0,0.644568022006268,True,0.7943397542764277,0.0
3,1615,158.76157,732,3375.0234,3.2044828,4,23.279055,0.8107355695564183,0.9092513712275061,1172.982530661201,0.89556867,0.88795882,0.0,True,0.8361854996894929,0.9028636058592543
4,186,151.40482,732,3539.0156,2.5578701,4,17.903421,0.7731886269025057,0.6400905278422337,792.8225528227151,0.84745622,0.8229543,0.0,True,0.795468904831754,0.6949496594895637
5,7,129.54025,732,4136.3516,3.8466971,4,18.484148,0.6615853978198354,0.2496839608170301,284.6290210542782,0.78912574,0.0,0.0,True,0.6998475004738848,0.17477877257192106
6,3745,194.62062,732,2753.1719,1.8867301,3,14.579405,0.9937212954314584,1.0387353510854211,1601.4767974619226,0.93890047,0.89774036,0.0,True,0.9772750478020209,0.9964368537597947
7,2425,154.53477,732,3467.3359,2.0540986,3,15.705002,0.7891634216232427,0.9560835025751169,1204.507542962383,0.85428691,0.84855151,0.0,True,0.80870046813627,0.9238239048025818
8,1481,205.44937,732,2608.0586,2.6263096,4,36.186413,1.0489699310216072,0.9280124037654564,1500.1548000441624,0.97837889,0.75721681,0.0,True,1.0277926187151252,0.8767737256358195
9,0,193.39136,732,2770.6719,0.2705102,1,72.396011,0.9874493226567315,0.0,134.04867592865338,0.95626175,0.0,0.0,True,0.9780930508597121,0.0
10,1326,208.17479,732,2573.9141,2.2154377,3,35.955929,1.0628743363780464,0.9155026167869794,1497.074290580164,0.98342758,0.86841518,0.0,True,1.0390403094646325,0.9013763857508856
11,3966,285.43445,732,1877.2227,1.6105198,4,24.909018,1.456917793513431,1.099032431943326,2365.114838784506,1.0935953,1.0642076,0.0,True,1.3479210454594017,1.0885849823603282
12,0,252.85526,732,2119.0938,1.1944336,3,0.34123164,1.2907835521485906,0.0,175.2659105587519,1.0781665,1.00516,11.126675777536354,True,1.2269984365040134,0.30154800000000004
13,0,258.15213,732,2075.6133,2.0255966,3,218.52403,1.3177972000874043,0.0,178.93742106504448,,,,False,1.3177972000874043,0.0
14,2713,236.20638,732,2268.457,3.9476118,5,234.74536,1.2058686817695083,1.023032869361631,1867.5769000566725,1.0317075,0.90875959,0.0,True,1.1536203272386558,0.9887508855531417
15,2489,203.42476,732,2634.0156,3.757205,5,96.623657,1.0386406626745124,0.9927177634625797,1590.8710314867253,0.98159605,0.93337679,0.0,True,1.0215272788721586,0.9749154714238057
16,1808,254.21564,732,2107.7539,3.1212659,4,104.44199,1.2977214970923159,0.9798465059124163,1906.8923929112827,1.0797483,0.97900355,0.0,True,1.232329537964621,0.9795936191386914
17,3104,271.72949,732,1971.9023,2.3702166,4,71.424393,1.3870357158023234,1.059630790114018,2185.001557481335,1.0926081,0.98730016,0.0,True,1.2987074310616264,1.0379316010798125
18,170,208.91161,732,2564.8359,2.6006112,4,48.413635,1.066633433638805,0.6549206793705125,1075.3713586172062,0.97495115,0.7710799,0.0,True,1.0391287485471636,0.6897684455593587
19,661,225.04897,732,2380.9219,4.1286426,4,20.841597,1.1489562413289134,0.8352425463841651,1462.0925198630885,0.99964303,0.80901664,0.0,True,1.1041622779302394,0.8273747744689155
20,509,152.29556,732,3518.3164,3.1954515,4,17.605257,0.777734918828419,0.7634043819262669,949.7713991070436,0.84897709,0.76836824,0.0,True,0.7991075701798933,0.7648935393483869
21,6119,195.96017,732,2734.3516,2.5552425,4,18.672052,1.0005559920020337,1.1016547083591381,1708.6709322081051,0.94148946,0.94247586,0.0,True,0.9828360324014236,1.0539010538513967
22,9649,234.218,732,2287.7148,3.4788175,5,62.935009,1.195726642289403,1.1858814518182215,2148.9072449881373,1.005003,0.97226471,0.0,True,1.138509549602582,1.1217964292727551
23,0,277.3175,732,1932.168,2.0269918,3,1.9048365,1.4155300830146877,0.0,192.22184324493261,,,,False,1.4155300830146877,0.0
24,6747,265.89545,732,2015.168,1.5285758,3,50.372795,1.3572855555929662,1.1586155910961184,2344.439967188479,1.0963702,1.0159568,0.0,True,1.2790109489150763,1.115817953767283
25,7435,280.14651,732,1912.6562,2.45121,4,61.032707,1.429955409020352,1.1794530233823992,2497.288412582385,1.0821928,1.0128171,0.0,True,1.3256266263142464,1.1294622463676793
26,4642,261.1969,732,2051.418,3.1796992,5,118.44779,1.3333247247293791,1.106895000493905,2205.3719724168423,1.1085432,1.0250276,0.0,True,1.2658902673105654,1.0823347803457337
27,6238,224.36099,732,2388.2227,3.8179934,6,124.62943,1.145446819496925,1.1232736909562977,1960.6313394596157,1.0006533,0.94515806,0.0,True,1.1020087636478475,1.0698390016694084
28,2186,250.25395,732,2141.1211,4.1449699,5,169.34973,1.27751669730859,1.0025814556527282,1924.6388551118494,1.0591388,0.81054854,0.0,True,1.2120033281160132,0.9449715809569097
29,5326,279.20224,732,1919.125,2.903131,5,113.89497,1.4251404721735192,1.134814405964763,2395.7593752898024,1.2395362,1.3948562,0.0,True,1.3694591905214635,1.212826944175334
30,5291,233.98108,732,2290.0312,4.0178633,6,101.9717,1.1945182027209544,1.1080849882710166,2006.1866476770415,1.093945,0.97309399,0.0,True,1.1643462419046682,1.0675876887897116
31,7408,280.24155,732,1912.0078,2.1634271,4,52.514801,1.4304398287218851,1.17902453242399,2497.1163531014904,1.2397149,1.3948503,0.0,True,1.3732223501053196,1.243772262696793
32,4332,233.95634,732,2290.2734,3.024569,5,100.04822,1.1943919907653042,1.0822307654311805,1959.2079870222249,1.093944,1.0108223,0.0,True,1.164257593535713,1.0608082258018263
33,3264,233.21133,732,2297.5898,2.9974103,4,42.146564,1.1905919001746974,1.045226433231486,1886.9877956573207,1.0967085,1.028354,0.0,True,1.1624268801222883,1.0401647032620402
34,0,177.98621,732,3010.4805,1.9743341,2,37.167633,0.9088433898922673,0.0,123.37063964005034,0.98378456,0.0,0.0,True,0.9313257409245872,0.0
35,4112,250.25806,732,2141.0859,3.0128169,5,118.46103,1.2775376804095218,1.084928237979424,2082.6853818584045,1.0589504,0.93435514,0.0,True,1.2119614962866652,1.0397563085855968
