segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,50735,125.00538,697,3886.3047,1.3768805,3,323.21274,0.6639250323689465,1.310719787796141,1354.3596274364252,0.66392505,1.3107198,0.0,True,0.6639250376582626,1.3107197914572986
1,50353,122.52832,697,3964.8711,1.4562407,3,64.733589,0.6507755756943621,1.3066440937437627,1326.5961332476447,0.65077555,1.3066441,0.0,True,0.6507755679860534,1.3066440956206338
2,1593,103.11166,697,4711.4844,1.6791321,3,45.902519,0.5476930874763958,0.8717968364400016,760.4102396433907,0.54769307,0.87179685,0.0,True,0.5476930822334771,0.8717968405080012
3,2139,107.34544,697,4525.6602,2.4238572,3,77.916985,0.5701715035522822,0.9109522272880144,823.2352160111064,0.57017154,0.91095221,0.0,True,0.5701715144865975,0.9109522221016102
4,0,89.397614,697,5434.25,1.934386,2,61.027733,0.47487566315158924,0.0,61.9657040928863,0.47487566,0.0,0.0,True,0.47487566220611244,0.0
5,2253,94.358398,697,5148.5508,1.2469805,3,144.51422,0.5012168453532828,0.9032893123824962,728.5322506825408,0.50121683,0.90328932,0.0,True,0.501216840747298,0.9032893146677474
6,2152,92.888771,697,5230.0078,0.90073085,2,70.68531,0.493413412687922,0.8962804144130907,712.9289210876672,0.49341342,0.89628041,0.0,True,0.4934134148815454,0.8962804130891635
7,2189,93.882584,697,5174.6445,2.8295715,4,23.461134,0.4986903821206627,0.899387504155467,722.1554767420919,0.49869037,0.89938748,0.0,True,0.4986903784844639,0.8993874969088269
8,1196,100.58475,697,4829.8477,1.5084777,3,46.14109,0.5342765302407663,0.8354843799765458,712.9858249008699,0.53427655,0.83548439,0.0,True,0.5342765361685364,0.8354843829835821
9,1153,102.7942,697,4726.0352,1.2080119,3,64.495117,0.5460075305293469,0.8333048562732988,724.8898572772528,0.54600751,0.83330488,0.0,True,0.5460075243705429,0.8333048633913092
10,1035,105.42381,697,4608.1523,3.9851251,5,31.392109,0.5599690977254325,0.8230121634038403,732.0721304638201,0.55996907,0.82301217,0.0,True,0.5599690894078027,0.8230121653826883
11,1822,100.46838,697,4835.4414,2.1131952,4,101.13396,0.5336587278985596,0.8849517774106203,754.3956827984093,0.53365874,0.88495177,0.0,True,0.5336587315289917,0.8849517751874342
12,1734,97.908966,697,4961.8438,0.91610157,2,174.3369,0.5200693107643369,0.8764562298961694,730.3361582746015,0.5200693,0.87645626,0.0,True,0.5200693075350358,0.8764562389273187
13,1653,94.813026,697,5123.8633,0.8878485,2,73.599617,0.5036308369378144,0.8675644561284772,702.7120790167032,0.50363082,0.86756444,0.0,True,0.5036308318564701,0.867564451289934
14,1660,93.661705,697,5186.8477,0.80097651,2,108.09454,0.4975175555466442,0.8668198144140646,694.5743154171489,0.49751756,0.8668198,0.0,True,0.497517556882651,0.8668198100898452
15,1749,95.59935,697,5081.7188,1.047204,2,52.261669,0.5078059832514393,0.8750146983619103,713.9304328040115,0.507806,0.87501472,0.0,True,0.5078059882760075,0.8750147048533372
16,1870,99.985535,697,4858.793,3.8017082,4,24.658783,0.5310949928968025,0.8875113718522234,753.3672753619196,0.53109497,0.88751137,0.0,True,0.5310949860277617,0.8875113712965563
17,419,100.29298,697,4843.8984,2.7476921,4,41.381485,0.532727393502065,0.7117826547881938,606.0336539358503,0.53272736,0.71178263,0.0,True,0.5327273834514454,0.7117826473517357
18,821,102.69701,697,4730.5078,2.9760911,4,36.716286,0.5454915095560596,0.7931228840933927,689.400530070495,0.54549152,0.79312289,0.0,True,0.5454915126892417,0.7931228858653749
19,437,92.271004,697,5265.0234,2.3075025,3,31.731321,0.49013316018452224,0.7097593127313955,561.4228696818568,0.49013317,0.70975929,0.0,True,0.49013316312916555,0.7097593059119769
20,300,93.558128,697,5192.5898,2.7924297,4,57.533855,0.4969675995990727,0.6670640662957048,534.2568618262162,0.49696758,0.66706407,0.0,True,0.4969675937193509,0.6670640674069934
21,50984,125.51975,697,3870.3789,3.473815,5,204.48576,0.6666555340976129,1.3119633138209599,1360.5470250100307,0.66665554,1.3119633,0.0,True,0.666655535868329,1.311963309674672
22,0,120.28487,697,4038.8203,1.9049416,3,72.86657,0.6388660301988255,0.0,83.37511850451955,0.63886601,0.0,0.0,True,0.6388660241391778,0.0
23,53631,127.06443,697,3823.3281,3.7448511,6,69.888443,0.6748552689657723,1.3200422797526272,1383.7214558496858,0.67485529,1.3200423,0.0,True,0.6748552752760406,1.320042285826839
24,1881,112.5154,697,4317.7109,3.8471727,4,104.49123,0.5976193508245718,0.9007206413537863,848.436047545471,0.59761935,0.90072066,0.0,True,0.5976193505772003,0.9007206469476503
25,1487,108.15048,697,4491.9727,0.80252874,2,79.086189,0.5744455954990174,0.868557349201529,790.1322693475913,0.57444561,0.86855733,0.0,True,0.5744455998493122,0.8685573434410703
26,1154,103.09448,697,4712.2695,2.5784757,4,50.026077,0.5476018763475077,0.8336944463676423,727.0966091556608,0.54760188,0.83369446,0.0,True,0.5476018774432554,0.8336944504573496
27,49569,119.16199,697,4076.8789,2.9578097,5,73.344536,0.632904993528449,1.3003815007743145,1288.2794904652815,0.63290501,1.3003815,0.0,True,0.6329049984699143,1.30038150054202
28,3899,112.02861,697,4336.4727,5.8391447,6,195.69395,0.5950349356371026,0.9872513657268471,926.3632552174195,0.59503496,0.98725134,0.0,True,0.5950349429459718,0.9872513580087929
29,1715,107.34368,697,4525.7344,3.4613049,4,132.30756,0.5701621596460753,0.8847203949306792,799.5315664973432,0.57016218,0.88472039,0.0,True,0.5701621657522526,0.8847203934514756
30,50849,119.05989,697,4080.375,3.1398664,5,135.32864,0.6323629808157818,1.3033137214686057,1290.2109602410005,0.63236296,1.3033137,0.0,True,0.6323629745710473,1.3033137150280238
31,3369,105.48318,697,4605.5586,3.7581196,6,72.087921,0.5602843171235689,0.9628953740373597,856.8361491906832,0.56028432,0.96289539,0.0,True,0.5602843179864982,0.9628953788261518
32,1349,99.81028,697,4867.3242,2.4040596,4,71.917854,0.5301644987630577,0.8488907503261475,719.4924181399022,0.53016448,0.84889072,0.0,True,0.5301644931341405,0.8488907412283033
33,7,91.828568,697,5290.3906,3.0418963,3,43.304466,0.48778388046563065,0.24252269391463893,201.76798651119032,0.48778388,0.24252269,0.0,True,0.48778388032594144,0.24252269274024724
34,54,90.975601,697,5339.9922,1.7374034,3,36.404526,0.4832546973407837,0.4668624677037055,366.2087893009964,0.4832547,0.46686247,0.0,True,0.4832546981385486,0.4668624683925938
35,274,93.258774,697,5209.2578,3.2479239,4,22.344496,0.49537806857450556,0.6562592694759706,524.15169412532,0.49537808,0.6562593,0.0,True,0.4953780720021539,0.6562592786331793
36,2580,105.52606,697,4603.6875,3.0594311,5,25.884592,0.5605119374268939,0.9313202161049329,829.0464504714259,0.56051195,0.93132019,0.0,True,0.5605119411988257,0.931320208273453
37,9,88.12262,697,5512.875,3.8689408,4,19.323206,0.46810541015124135,0.26726431131055933,211.30881392460714,0.46810541,0.26726431,0.0,True,0.4681054101058689,0.26726431091739156
38,831,99.753281,697,4870.1055,3.0642209,4,22.963621,0.5298618479849887,0.7918321825489809,670.8441706415225,0.52986187,0.79183221,0.0,True,0.5298618545894921,0.7918321907842866
