segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,2.9848788,8,21.441406,0.74733603,1,8.8311615,0.5172783804897703,0.0,2.068960324533153,,,,False,0.5172783804897703,0.0
1,12,3.7725074,8,16.964844,2.4735668,3,33.195671,0.6393795030469633,0.856704258910517,9.9558633049978,0.30891681,0.9524104,0.0,True,0.5402406951328743,0.885416101237362
2,83304,556.00946,1929,6692.4062,5.1200686,7,286.44449,1.3082375560890598,1.2861887032600243,6299.740559440697,1.0875989,1.1676197,0.0,True,1.2420459592623418,1.250618002282017
3,0,588.79889,1929,6319.7148,4.0044594,5,40.802605,1.3853636052286715,0.0,408.12429052032536,1.1196265,0.0,0.0,True,1.30564247366007,0.0
4,1724,553.70508,1929,6720.2578,4.0413933,6,141.29021,1.3028172776348221,0.8456490259275848,4127.075072423243,1.0764459,0.87620753,0.0,True,1.2349058643443755,0.8548165771493094
5,45798,339.39468,1929,10963.758,2.9178324,3,30.238283,0.7986564728635677,1.1536548787872598,3642.3970677632637,0.88109088,1.0444601,0.0,True,0.8233867950044974,1.1208964451510819
6,44351,300.21826,1929,12394.453,1.7362633,2,194.00856,0.7064822176597975,1.1352396225011656,3212.316056708311,0.82145482,1.0366647,0.0,True,0.7409739983618583,1.1056671457508158
7,42902,262.1156,1929,14196.184,2.2215698,2,223.73686,0.6168305472414958,1.1156536157705268,2795.9138021250237,0.7569564,1.0279888,0.0,True,0.658868303069047,1.0893541710393686
8,41451,225.13123,1929,16528.32,2.0177553,2,80.340973,0.5298066587068762,1.0946441087328507,2393.6662739853937,0.68712443,1.018218,0.0,True,0.5770019900948133,1.0717162761129955
9,39998,207.29741,1929,17950.254,1.6041505,2,154.77589,0.48784256319877434,1.0817805006163645,2196.654934886857,0.6504845,1.0115536,0.0,True,0.536635144239142,1.0607124304314552
10,38543,190.71996,1929,19510.496,1.0291753,2,42.362301,0.44883410131412455,1.0689041049627688,2013.922993508075,0.61453825,1.0046946,0.0,True,0.4985453459198872,1.049641253473938
11,37086,187.37248,1929,19859.059,0.45934722,2,154.76334,0.44095703086907145,1.063098163197289,1971.3549957650444,0.60704869,1.0009859,0.0,True,0.49078452860835,1.0444644842381021
12,35627,182.75644,1929,20360.656,2.2200089,2,82.208855,0.43009485631714495,1.0563805580109011,1915.454748426299,0.59659666,0.99680257,0.0,True,0.4800453974220015,1.038507161607631
13,34166,155.08742,1929,23993.184,2.2722158,2,84.435577,0.36498464052434226,1.0350364572304813,1618.9645272383127,0.53041881,0.98541784,0.0,True,0.4146148913670396,1.020150872061337
14,32703,151.33168,1929,24588.645,1.3519816,2,152.85832,0.3561465592527341,1.0281984247759475,1573.1356783581834,0.52094209,0.9809891,0.0,True,0.40558521847691387,1.0140356273431632
15,31238,140.37532,1929,26507.801,1.683028,2,120.53127,0.3303636118036288,1.016112923358985,1452.8080018554629,0.49260581,0.9738012,0.0,True,0.37903627126254014,1.0034194063512896
16,29771,134.22653,1929,27722.098,1.2638869,2,21.56414,0.3158939059642427,1.0069628188263706,1382.7154341354014,0.47621971,0.9680199,0.0,True,0.3639916471749699,0.9952799431784594
17,28302,128.94701,1929,28857.133,1.4777555,2,266.81461,0.3034697406382738,0.998101952787056,1321.804648027059,0.46186781,0.96230853,0.0,True,0.3509891614467917,0.9873639259509392
18,26831,122.11071,1929,30472.684,2.8163769,2,67.109123,0.28738193336329426,0.9876670404882225,1245.2102585787961,0.44287398,0.95565945,0.0,True,0.334029547354306,0.9780647633417557
19,25358,109.11459,1929,34102.141,2.9257848,2,119.73444,0.2567979532619059,0.9716097859732822,1106.5232455184125,0.40540072,0.94575304,0.0,True,0.3013787832833341,0.9638527621812976
20,23883,103.59383,1929,35919.523,1.9786444,2,59.627438,0.24380574305146943,0.9610877069699875,1044.3300141088105,0.38891426,0.93878591,0.0,True,0.2873382981360286,0.9543971678789913
21,22406,98.48745,1929,37781.879,1.8932711,2,63.951889,0.23178863151015938,0.9504219895002713,986.5658561934569,0.37336582,0.93163276,0.0,True,0.27426178805711154,0.9447852206501899
22,20927,94.344215,1929,39441.113,1.9966595,2,118.13434,0.2220380933562584,0.940109761956776,938.6203149110112,0.36052862,0.92458308,0.0,True,0.26358525134938093,0.9354517573697432
23,19446,89.660088,1929,41501.645,2.0501866,2,93.634659,0.21101456526421836,0.9287056745424606,885.4381556481551,0.34577212,0.91678113,0.0,True,0.2514418316849528,0.9251283111797224
24,17963,86.008629,1929,43263.578,1.0881817,2,35.829666,0.2024212783325222,0.9176581233211293,842.5560714043517,0.33407918,0.90907699,0.0,True,0.24191864883276554,0.9150837833247905
25,16478,85.490379,1929,43525.844,1.05413,2,24.318214,0.20120164018588768,0.9090608865640755,830.1032707212539,0.33240697,0.90275377,0.0,True,0.2405632391301214,0.9071687515948528
26,14991,82.280182,1929,45224.023,1.8084458,2,106.50877,0.19364677735549396,0.8969930329969122,791.1518185974847,0.32197592,0.8942048,0.0,True,0.2321455201488458,0.8961565630978386
27,13502,79.337517,1929,46901.406,1.9981681,2,136.34006,0.18672148471595962,0.8842306487401185,754.5585929733061,0.31230175,0.88508427,0.0,True,0.22439556430117175,0.884486735118083
28,12011,76.003494,1929,48958.816,2.1051292,2,133.67781,0.17887515613619367,0.8698804405734475,713.9574170987215,0.30120549,0.87480718,0.0,True,0.21557425629533558,0.8713584624014132
29,10518,73.200851,1929,50833.305,2.0014763,2,44.570122,0.17227935598213584,0.8546166110870406,677.9155323360494,0.29175821,0.86375409,0.0,True,0.2081230121874951,0.8573578547609284
30,9023,70.617355,1929,52693.012,1.8970838,2,140.71765,0.16619929048607957,0.8376927709482376,643.1654821609038,0.28295252,0.85140616,0.0,True,0.2012252593402557,0.8418067876637663
31,7526,68.436676,1929,54372.031,1.9425731,2,81.972412,0.16106721251833342,0.8186472760447143,610.8920962831108,0.27545378,0.83739603,0.0,True,0.1953831827628334,0.8242719022313
32,6027,66.068535,1929,56320.922,1.9887593,2,66.691193,0.15549394980884426,0.7957098748444942,575.0827566381126,0.26723239,0.82044983,0.0,True,0.189015481866191,0.803131861391146
33,4526,64.059288,1929,58087.457,1.948117,2,41.734257,0.1507652861440149,0.7673656758743962,539.2533681683448,0.26019359,0.79935056,0.0,True,0.18359377730081045,0.7769611411120774
34,3023,62.063309,1929,59955.57,1.9623348,2,62.882244,0.14606785442697978,0.728482657310964,497.41671548207415,0.25314033,0.77020657,0.0,True,0.17818959709888585,0.7409998311176748
35,1518,60.259594,1929,61750.184,2.825069,2,34.647388,0.1418228966048464,0.6641168862679875,441.4898433449786,0.24671373,0.7213912,0.0,True,0.17329014662339248,0.6812991803875912
36,264,57.2449,1929,65002.141,2.9768116,2,83.931183,0.13472793381817705,0.5034847712145263,319.6266878465775,0.23533514,0.49331,0.0,True,0.16491009567272394,0.5004323398501684
37,357,57.649559,1929,64545.871,2.1762395,2,161.80461,0.1356802861329919,0.5309651038037816,339.17094115117595,0.23779987,0.52920818,0.0,True,0.16631616129309434,0.5304380266626472
38,1656,59.328392,1929,62719.398,2.0131421,2,62.44125,0.13963135207151234,0.6710525089524363,439.8231633321228,0.24434352,0.72411597,0.0,True,0.17104500245005866,0.6869715472667054
39,3142,61.031265,1929,60969.422,1.8506458,2,164.44525,0.14363899215857964,0.7308770841831325,491.50010526381055,0.25056428,0.77140683,0.0,True,0.17571657851100575,0.7430360079281928
40,4638,62.757427,1929,59292.441,2.0128393,2,333.23615,0.1477014279729098,0.7681558785216657,529.827672459629,0.25678051,0.79988211,0.0,True,0.18042515258103686,0.777673747965166
41,6129,65.028122,1929,57222.027,2.3505802,2,188.48743,0.15304539134506295,0.7960887032915414,567.1176097485161,0.2648885,0.82096195,0.0,True,0.18659832394154408,0.8035506773040789
42,7618,67.755447,1929,54918.699,1.6918427,2,33.686039,0.1594639865482311,0.8190100569447653,605.6342073800073,0.27453023,0.83806169,0.0,True,0.19398385958376177,0.8247255468613357
43,9105,68.81089,1929,54076.34,0.65713263,2,31.111986,0.16194790014921778,0.8365310359944029,627.3350275137202,0.27823621,0.85119003,0.0,True,0.19683439310445244,0.840928734196082
44,10590,69.294456,1929,53698.969,1.2102963,2,135.27431,0.1630859511409459,0.8509398095413916,642.2109204935333,0.27993011,0.86200625,0.0,True,0.19813919879866213,0.8542597416789741
45,12073,71.797607,1929,51826.809,1.9930198,2,38.706013,0.16897694111696546,0.8657932436305475,674.8179884080904,0.28864917,0.87289977,0.0,True,0.20487860978187583,0.8679252015413832
46,13554,74.435692,1929,49990.012,1.9954243,2,62.633991,0.17518545976016026,0.8793741814069054,708.2246837860266,0.29774344,0.88278908,0.0,True,0.2119528538321122,0.8803986509848337
47,15033,77.33725,1929,48114.473,1.7262878,2,89.150894,0.18201403927830392,0.8920983358524817,743.8401957457237,0.30762753,0.89197326,0.0,True,0.21969808649481276,0.8920608130967371
48,16510,79.54628,1929,46778.316,2.421648,2,21.268356,0.18721279280275596,0.9031494556767061,772.5409562070505,0.31508705,0.89997303,0.0,True,0.22557506996192916,0.9021965279736943
49,17985,85.325424,1929,43609.992,2.7090378,2,17.243792,0.2008134277965439,0.9170876851655926,835.9676976463699,0.33429554,0.90963537,0.0,True,0.24085806145758076,0.9148519906159149
50,19458,89.146515,1929,41740.734,1.9767807,2,14.343797,0.2098059414736814,0.9282622601386129,880.4213548487207,0.34675628,0.9174611,0.0,True,0.25089104303157694,0.9250219120970291
51,20929,93.191658,1929,39928.906,1.9849554,2,56.17062,0.21932569239865102,0.939028189883423,927.1625559848492,0.35974848,0.92492861,0.0,True,0.2614525286790557,0.9347983159183961
52,22398,97.80864,1929,38044.094,1.9408636,2,157.75092,0.23019113621901502,0.9497649101571668,979.7311733533531,0.37433743,0.93227243,0.0,True,0.2734350243533106,0.9445171661100167
53,23865,102.44814,1929,36321.215,2.6034636,2,32.91449,0.24110953852943498,0.9599980808338916,1032.703071272703,0.38876346,0.93922043,0.0,True,0.2854057149706045,0.9537647855837241
54,25330,112.07525,1929,33201.273,3.4102414,2,38.759773,0.2637653705571571,0.9740020796242456,1136.423275868515,0.41791672,0.94821894,0.0,True,0.31001077539001,0.9662671377369718
