segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,266.79984,1237,5735.2695,1.9997454,2,41.546982,0.8956501208430389,0.0,184.9315568698445,,,,False,0.8956501208430389,0.0
1,4559,340.02576,1237,4500.1562,3.0634367,4,118.55885,1.1413611373554922,1.001491119692289,2864.81807573725,1.1039782,1.1197845,0.0,True,1.1301462561488447,1.0369791337846024
2,0,371.07306,1237,4123.6328,2.0221846,3,19.966288,1.245526776155183,0.0,257.2082453207514,1.114908,1.074996,12.755114335326477,True,1.206341143308628,0.3224988000000001
3,4108,340.02515,1237,4500.1641,3.0279751,5,103.3123,1.141359134595756,0.9891114168313806,2829.4099021811285,1.1039782,1.1189469,0.0,True,1.1301448542170291,1.0280620617819665
4,2284,341.18906,1237,4484.8125,3.0102849,5,41.009251,1.1452642875056807,0.9197300893213715,2638.946861620085,1.1041925,1.1239073,0.0,True,1.1329427512539765,0.98098325252496
5,0,341.19916,1237,4484.6797,0.9861148,2,17.223124,1.1452981858687354,0.0,236.50123576342168,1.1041929,1.1238214,12.20344308984958,True,1.1329666001081147,0.33714642000000006
6,0,288.33456,1237,5306.9219,0.99985641,2,31.866743,0.9679151846223395,0.0,199.85828732199238,0.99404913,0.92620891,4.586483900352337,True,0.9757553682356377,0.27786267300000006
7,0,233.90205,1237,6541.9219,2.0000105,2,15.440402,0.7852456370214445,0.0,162.12854648469136,0.89834189,0.0,0.0,True,0.8191745129150112,0.0
8,7474,372.37042,1237,4109.2656,3.9886484,6,143.22786,1.2498793853124162,1.0718107947636797,3321.3405225527727,1.1151322,1.0849475,0.0,True,1.2094552297186913,1.075751806334576
9,4606,288.33456,1237,5306.9219,2.012821,4,23.605499,0.9679151846223395,0.9834447081712552,2432.260367625356,0.99404913,0.91095769,0.0,True,0.9757553682356377,0.9616986027198786
10,75,364.28226,1237,4200.5039,4.0674057,5,143.98586,1.222743926777577,0.5190439471224577,1582.3712560731135,1.0995634,0.70970714,0.0,True,1.185789768744304,0.5762429049857204
11,0,188.24985,1237,8128.3945,1.3695899,3,9.9426699,0.6320217451913411,0.0,130.48485276833262,0.97070158,0.93853569,4.1188122186195795,True,0.7336256956339389,0.2815607070000001
12,4421,211.56676,1237,7232.5586,4.2140493,5,12.8824,0.7102832950975172,0.9445900052333215,1776.0127122945337,0.92127186,0.8639487,0.0,True,0.7735798645682621,0.9203976136633251
13,6,180.75085,1237,8465.625,4.2798042,5,11.944629,0.606850931752892,0.21515740719949936,375.8608261839408,0.96990949,0.84386301,0.0,True,0.7157684992270243,0.4037690880396496
14,0,192.08505,1237,7966.1016,3.8594148,4,13.435264,0.6448946535752106,0.0,133.1432108352161,0.90445161,0.0,0.0,True,0.7227617405026474,0.0
15,1078,190.91232,1237,8015.0352,4.647665,6,19.528517,0.6409584082884008,0.7768874612099927,1333.4683972156408,0.96998298,0.9040668,0.0,True,0.7396657798018806,0.815041262846995
16,0,214.96858,1237,7118.1055,2.0172546,3,12.160867,0.7217008401046981,0.0,149.00486513597505,1.0613173,1.0196675,2.1528175422460425,True,0.8235857780732887,0.30590025000000004
17,2304,189.11723,1237,8091.1133,3.9873576,5,11.206643,0.6349331747257364,0.8604210026305567,1464.3857169637101,0.95603639,0.86755103,0.0,True,0.7312641393080155,0.8625600108413898
18,13718,235.22812,1237,6505.043,3.4781513,5,37.728664,0.7896960448830723,1.0849288720744845,2240.926537051451,1.0048376,0.89688271,0.0,True,0.8542385114181507,1.0285150234521392
19,2294,215.25185,1237,7108.7383,5.315012,6,15.896929,0.722651559400531,0.872482822635766,1665.8176557977943,1.0603755,0.96599948,0.0,True,0.8239687415803717,0.9005378198450362
20,10,190.80501,1237,8019.543,4.0623136,5,12.762573,0.6405982142069278,0.26672885539773195,474.13263816186594,0.94943702,0.71820098,0.0,True,0.7332498559448495,0.4021704927784124
21,7759,217.61702,1237,7031.4766,2.930721,4,26.975042,0.7305897798798509,1.011080676779202,1949.1665899251946,0.90668952,0.44201812,0.0,True,0.7834197019158956,0.8403619097454413
22,26023,235.35645,1237,6501.4961,2.4317479,4,19.010403,0.790126732140899,1.1579141497725223,2392.824990424427,1.0048431,0.85419643,0.0,True,0.8545416424986293,1.0667988338407657
23,35035,288.35239,1237,5306.5938,2.9625018,4,77.928673,0.9679750070506584,1.2199838216645247,3017.365523700594,0.99404961,0.91717207,0.0,True,0.9757973879354609,1.1291402961651673
24,32171,370.99399,1237,4124.5117,3.0252025,5,91.902084,1.2452614931357353,1.2466445306745788,3850.503167858374,1.0946527,1.0416317,0.0,True,1.2000788551950148,1.1851406814722052
