segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,219.49467,797,2893.9609,2.006577,3,15.372316,1.0470255791785181,0.0,152.14211165843562,,,,False,1.0470255791785181,0.0
1,0,274.4115,797,2314.8047,2.0006123,3,48.716,1.3087616485760938,0.0,190.20755753822542,,,,False,1.3087616485760938,0.0
2,0,383.58936,797,1655.9609,0.91570681,2,22.59103,1.8288399555145374,0.0,265.88388337679385,,,,False,1.8288399555145374,0.0
3,1911,278.16296,797,2283.5859,4.0178633,6,101.9717,1.3266380137368026,0.976869516005777,2101.9183710062903,1.093945,0.97309399,0.0,True,1.2568301096157617,0.9757368582040439
4,2798,385.7139,797,1646.8398,2.1634271,4,52.514801,1.83895678561425,1.0713489593033756,3061.55574981846,1.2397149,1.3948503,0.0,True,1.659184219929975,1.168399361512363
5,3645,278.11441,797,2283.9844,3.024569,5,100.04822,1.326406750020185,1.0602969907159885,2280.9998849872436,1.093944,1.0108223,0.0,True,1.2566679250141295,1.045454583501192
6,5677,279.69009,797,2271.1172,2.9974103,4,42.146564,1.3339150038549892,1.1183809058904246,2417.7894967370585,1.0967085,1.028354,0.0,True,1.2627530526984925,1.0913728341232973
7,0,208.43716,797,3047.4844,1.9743341,2,37.167633,0.994314035054858,0.0,144.4776297779222,0.98378456,0.0,0.0,True,0.9911551925384007,0.0
8,2595,274.39111,797,2314.9766,3.0128169,5,118.46103,1.3086645495689695,1.0146193303078037,2157.2936967026967,1.0589504,0.93435514,0.0,True,1.2337503046982787,0.9905400732154626
9,10661,386.62454,797,1642.9609,1.858767,4,56.178787,1.8432931376063968,1.2522740458156447,3585.7628605723903,1.2397277,1.3944598,0.0,True,1.6622235063244777,1.2949297720709514
10,0,204.43959,797,3107.0742,2.002022,2,40.137218,0.975256601660019,0.0,141.7067254033312,0.95120966,0.0,0.0,True,0.9680425191620133,0.0
11,22364,386.81766,797,1642.1406,2.2133617,4,64.703499,1.8442127994411444,1.352392518446236,3874.093837780129,1.2397789,1.3942672,0.0,True,1.662882629608801,1.3649549229123652
