segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,192.61797,763,3022.4023,1.0692288,2,48.06226,0.951458577941017,0.0,133.51260283068012,,,,False,0.951458577941017,0.0
1,0,87.398407,763,6661.0938,0.77328658,2,196.28137,0.431870479067778,0.0,60.57995939748059,,,,False,0.431870479067778,0.0
2,0,104.40057,763,5576.3008,0.98579586,1,80.444603,0.5158548480353625,0.0,72.36496074435121,0.78676736,0.23300567,11.3284034781918,True,0.5971286016247538,0.06990170100000001
3,1269,120.60201,763,4827.1914,3.0864582,3,136.9964,0.5958748107353006,0.8425173085873892,862.0100146995833,0.82517725,0.70110029,0.0,True,0.6646655425147104,0.8000922030111723
4,0,7.4322581,3,1.2109375,1.2126236,2,2.8749545,1.1638946005166877,0.0,5.151648747208816,,,,False,1.1638946005166877,0.0
5,3903,140.29066,763,4149.7344,1.5891507,3,239.73503,0.6931063585087575,0.9925865480340131,1160.2055907150107,0.86373216,0.82200724,0.0,True,0.7442940989561302,0.9414127556238092
6,2606,125.77177,763,4628.7734,1.1829896,2,112.39548,0.6214066772257829,0.9319084889418653,989.3633697714577,0.88661993,0.83013147,0.0,True,0.7009706530580481,0.9013753832593057
7,1305,115.35371,763,5046.8164,0.9043256,2,31.784794,0.5699540810158082,0.8414019163661982,827.7193595333915,0.93340337,0.86567056,0.0,True,0.6789888677110658,0.8486825094563388
8,0,109.54649,763,5314.3555,0.35458535,1,180.78595,0.5412718377240839,0.0,75.93184068373824,,,,False,0.5412718377240839,0.0
9,0,152.31865,763,3822.0469,2.1191792,2,87.435211,0.75249953432306,0.0,105.5792427941971,,,,False,0.75249953432306,0.0
10,2550,198.45146,763,2933.5586,2.1576381,4,241.70705,0.9802541538361869,0.9823728209608391,1556.7788014576768,1.0731184,1.1684986,0.0,True,1.0081134276853307,1.0382105546725873
11,4319,199.62985,763,2916.2422,3.1817923,5,90.495049,0.9860708310912443,1.0491198700318116,1671.1498119097714,1.0732886,1.1681421,0.0,True,1.0122361617638709,1.0848265390222682
12,1273,81.888,763,7109.332,1.4916669,3,215.09822,0.4046490181416844,0.8061162351019923,585.5566409593368,0.83409566,0.85797113,0.0,True,0.533483010699179,0.8216727035713947
13,0,80.773453,763,7207.4297,0.13111342,1,67.768707,0.39914301563680427,0.0,55.98789121104126,0.82459342,0.0,0.0,True,0.526778136945763,0.0
14,1277,162.71825,763,3577.7734,2.925076,4,78.841499,0.8038479506774203,0.8740999153442223,1164.0593169837566,0.96467394,0.86726785,0.0,True,0.8520957474741941,0.8720502957409556
15,0,137.47487,763,4234.7305,0.8632037,1,81.413742,0.6792014529787866,0.0,95.29031853834502,0.88562799,0.0,0.0,True,0.7411294140851508,0.0
16,5729,144.78806,763,4020.8359,2.5283499,4,40.739399,0.7153146643340687,1.0425879837740997,1252.9445170220358,0.8726145,0.85759836,0.0,True,0.762504615033848,0.9870910966418698
17,4,121.02146,763,4810.4609,2.76513,3,17.900831,0.5979463669989591,0.1898107484298955,216.84134693480428,0.80080074,0.66690063,0.0,True,0.6588026788992714,0.3329377129009269
18,0,107.31821,763,5424.6992,1.873149,2,37.042664,0.5302658956073226,0.0,74.38731468424012,0.74699312,0.0,0.0,True,0.5952840629251258,0.0
19,541,123.39287,763,4718.0117,3.1643744,3,19.077671,0.6096581310337729,0.7441407687829051,777.0183916903965,0.80203408,0.76916128,0.0,True,0.667370915723641,0.7516469221480335
20,1154,160.15292,763,3635.082,5.0760617,5,100.93645,0.7911819176690383,0.8600650538242854,1129.5138699800202,1.0013914,0.55367118,0.0,True,0.8542447623683268,0.7681468916769998
21,0,5.1775279,3,1.7382812,1.7391298,2,10.881627,0.9997088551943475,0.0,3.5887888661554546,,,,False,0.9997088551943475,0.0
22,0,8.6292133,3,1.0429688,1.0482465,2,47.972931,1.228140367014789,0.0,5.981314869345382,0.91602802,0.0,0.0,True,1.1345066629103524,0.0
23,3,152.7348,763,3811.6328,2.9939575,3,106.89793,0.7545544268130747,0.16810496612682407,245.81717766803982,0.96317977,0.74841493,0.0,True,0.8171420297691523,0.3421979552887769
24,8,128.89859,763,4516.4883,2.8449495,3,83.705963,0.6368487247116565,0.2610722857585207,296.79997184195145,0.87607336,0.16237409,0.0,True,0.7086161152981596,0.2314628270309645
25,0,119.36868,763,4877.0664,1.0019351,2,96.640427,0.5897836339098688,0.0,82.74006398916232,0.82567245,0.0,0.0,True,0.6605502787369082,0.0
26,0,139.07797,763,4185.918,1.3019814,2,28.740685,0.6871179214778181,0.0,96.40150278350065,0.91021389,0.0,0.0,True,0.7540467120344727,0.0
27,4746,151.45598,763,3843.8164,2.146359,4,31.769997,0.7482399605658608,1.0254714612333125,1282.1473811182009,0.9523055,0.96830648,0.0,True,0.8094596223961026,1.0083219668633188
28,2310,133.42184,763,4363.3711,2.326664,3,46.033798,0.6591864575910948,0.924090236176899,1033.4679916164273,0.88888633,0.91145867,0.0,True,0.7280964193137665,0.9203007663238293
29,1176,119.77361,763,4860.5781,1.8084579,3,126.25723,0.5917835050257684,0.8328758333266826,846.9878702114601,0.82758301,0.85560405,0.0,True,0.662523356518038,0.8396942983286777
30,6500,155.07448,763,3754.125,3.1564608,5,85.626579,0.7661069616904499,1.066610947517173,1361.5330149866093,0.96421915,0.98875767,0.0,True,0.8255406181833149,1.043254964262021
31,208,134.16386,763,4339.2383,4.063643,5,97.566269,0.662850853287538,0.6378034411211069,717.3885861561241,0.87815857,0.61174881,0.0,True,0.7274431683012766,0.6299870517847748
32,15691,200.31461,763,2906.2734,3.9416037,6,147.09779,0.9894508238047843,1.2112988714158246,1935.2334441895237,1.0734326,1.1693386,0.0,True,1.0146453566633489,1.1987107899910772
33,0,141.34671,763,4118.7305,1.1720103,2,53.677792,0.6983212106396042,0.0,97.97407351792423,,,,False,0.6983212106396042,0.0
34,0,8.0,6,4.5,0.96380848,2,6.520803,1.3208945364048512,0.0,5.545177444479562,,,,False,1.3208945364048512,0.0
35,2,7.7445378,6,4.6484375,1.5585449,3,53.982761,1.2914033540409355,0.5399909285970672,10.736209081619842,0.78259152,0.83451867,0.0,True,1.1387598038286548,0.6283492510179471
36,2,7.7121339,6,4.6679688,1.1073003,2,18.389544,1.2876206749245036,0.5393148628948536,10.691287737771551,0.74991542,0.78127933,0.0,True,1.1263090984471524,0.6119042030263976
37,0,6.4810128,6,5.5546875,1.489486,2,47.1152,1.1364883705158595,0.0,4.492295749492917,0.71618891,0.0,0.0,True,1.0103985323611016,0.0
38,0,4.968194,6,7.2460938,1.8565083,2,55.312721,0.9285882960252395,0.0,3.4436896635748373,0.67433673,0.0,0.0,True,0.8523128262176677,0.0
39,1,5.6609335,6,6.359375,2.9519691,3,59.11697,1.0270880881204076,0.3099417992019299,6.219171108432973,0.72422236,0.77929276,0.0,True,0.9362283696842854,0.45074708744135095
40,3795,143.93979,763,4044.5312,2.3389142,4,98.91259,0.7111259914367004,0.9922754277387563,1186.3469358667878,0.90797657,0.94644409,0.0,True,0.7701811650056902,0.9785260264171294
41,0,-1.0,1,-1.0,0.0,0,68.128983,1.0,0.0,-0.6931471805599453,0.87564409,0.0,4.017735327350326,True,0.9626932269999999,0.0
42,0,4.6387315,4,3.4492188,0.6141566,1,122.81226,0.9685850094864197,0.0,3.2153236605996054,,,,False,0.9685850094864197,0.0
43,4,7.1985941,4,2.2226562,0.87438703,2,111.8098,1.249931652757233,0.973643043418222,12.898149143804208,0.9241544,0.83638835,0.0,True,1.1521984769300633,0.9324666353927553
44,4,7.1985941,4,2.2226562,1.3545753,2,55.63673,1.249931652757233,0.973643043418222,12.898149143804208,0.90115809,0.77361149,0.0,True,1.145299583930063,0.9136335773927554
45,0,3.6279893,4,4.4101562,1.0943449,1,14.150479,0.8233858081479476,0.0,2.5147305543966496,,,,False,0.8233858081479476,0.0
46,0,153.58981,763,3790.4141,1.0198604,2,68.910858,0.758776187304952,0.0,106.46034376423769,0.95849895,0.0,0.0,True,0.8186930161134665,0.0
47,1813,155.03061,763,3755.1875,3.0298407,5,141.26349,0.765890313294064,0.9115124284026421,1163.325008303594,0.96313608,0.89148062,0.0,True,0.8250640433058447,0.9055028858818495
48,0,-1.0,1,-1.0,0.0,0,61.328033,1.0,0.0,-0.6931471805599453,,,,False,1.0,0.0
49,0,138.74548,763,4195.9492,0.47119659,1,64.581116,0.6854760204052829,0.0,96.17103827743627,,,,False,0.6854760204052829,0.0
50,1278,151.6369,763,3839.2305,0.94898546,2,55.740513,0.7491332559916779,0.8667312724111044,1084.9036934147814,0.94747198,0.81044161,0.0,True,0.8086348731941746,0.849844373687773
51,2552,167.40927,763,3477.5195,3.4839914,4,117.05054,0.8270088762197025,0.9619969557150058,1313.3953715322411,0.97800696,0.8050434,0.0,True,0.8723083013537918,0.914910889000504
52,0,167.52104,763,3475.1992,3.0062025,3,35.201424,0.8275607309122645,0.0,116.11673656046982,0.97262979,0.0,0.0,True,0.8710814486385852,0.0
53,0,215.77173,763,2698.0781,1.9155387,3,42.4771,1.0657445469742304,0.0,149.56156629404177,,,,False,1.0657445469742304,0.0
54,5434,200.2048,763,2907.8672,4.9914584,6,159.70836,0.9889088792366679,1.0782838923235414,1721.9211986433825,1.0654578,0.92120969,0.0,True,1.0118735554656675,1.031161631626479
55,3828,156.52153,763,3719.418,2.1727717,4,223.5947,0.7732518925526617,1.00343344360988,1291.3996787107085,0.96108973,0.94879317,0.0,True,0.8296032437868632,0.987041361526916
56,2556,152.28409,763,3822.9141,0.65805244,2,33.200489,0.7523289245840948,0.9511533852128642,1194.9703581123115,0.94774371,0.91766953,0.0,True,0.8109533602088663,0.9411082286490049
57,1280,138.04507,763,4217.2383,1.1591556,2,38.328491,0.6820172995394788,0.8571752506258058,987.8749048533763,0.90023828,0.86285019,0.0,True,0.7474835936776352,0.858877732438064
58,0,123.81882,763,4701.7812,0.63868695,1,258.21432,0.6117617697607918,0.0,85.82466598325937,0.84813499,0.0,0.0,True,0.6826737358325543,0.0
59,1743,168.45625,763,3455.9062,2.0449774,5,182.82074,0.8321780132380517,0.9159656828529087,1257.4433348309897,0.98049885,0.87551063,0.0,True,0.8766742642666363,0.9038291669970361
60,1863,138.9864,763,4188.6758,4.6440787,6,152.08931,0.6866657429046507,0.9028425977945539,1046.708848336714,0.88633955,0.83306789,0.0,True,0.7465678850332554,0.8819101854561878
61,1282,152.8951,763,3807.6367,2.9168909,4,77.099602,0.7553459130314293,0.8679778795201143,1094.382682637938,0.93894893,0.86550528,0.0,True,0.8104268181220005,0.86723609966408
62,0,144.01295,763,4042.4766,0.30799991,1,169.89725,0.7114872444754758,0.0,99.82217025662037,0.91066855,0.0,0.0,True,0.7712416361328331,0.0
63,1796,166.30597,763,3500.5898,2.3070507,4,162.44386,0.8215616660219649,0.918193231205709,1246.3684865081332,0.97131121,0.87153059,0.0,True,0.8664865292153754,0.9041944388439962
64,1598,167.79245,763,3469.5781,1.2245589,3,155.3662,0.8289006983537375,0.9048752726399851,1237.93224272088,0.97849131,0.86170214,0.0,True,0.8737778818476163,0.8919233328479896
65,100,203.09706,763,2866.457,3.0495417,4,163.88652,1.0031851659200544,0.5796522457854834,939.3183809579643,1.0832088,0.34345621,0.0,True,1.027192256144038,0.5087934350498383
66,583,142.31718,763,4090.6445,4.1611528,6,105.03009,0.7031134787005178,0.7658716792635533,906.7898301526287,0.89696544,0.75443304,0.0,True,0.7612690670903624,0.7624400874844872
67,69,144.98398,763,4015.4023,4.0893888,5,103.59044,0.7162821387042918,0.5119508032224369,618.0202940393606,0.89995128,0.31458741,0.0,True,0.7713828810930042,0.45274178525570585
68,0,161.5914,763,3602.7227,0.73655999,2,94.565475,0.7982842928471422,0.0,112.00662331273433,0.96134377,0.0,0.0,True,0.8472021359929995,0.0
69,2236,167.33446,763,3479.0742,3.9889286,6,118.22508,0.8266395216394816,0.9457422852012013,1290.7072304319145,0.97437251,0.89496177,0.0,True,0.8709594181476372,0.9305081306408409
70,0,169.269,763,3439.3125,2.1188049,3,42.904179,0.8361907009257489,0.0,117.32833010620138,,,,False,0.8361907009257489,0.0
71,1318,173.90935,763,3347.543,4.0972338,6,255.28812,0.8591003344275745,0.8851469021915956,1249.60598537803,0.99655318,0.82722312,0.0,True,0.9003361880993022,0.8677697675341169
72,2023,216.78108,763,2685.5156,4.2445164,6,99.253387,1.0707262541953397,0.9640467703667659,1650.4248114557977,1.1120263,1.3040144,0.0,True,1.0831162679367377,1.066037059256736
73,0,258.3717,763,2253.2227,2.0597763,3,95.030342,1.2759686710671816,0.0,179.08961539148,1.1915057,1.213285,9.664891700698321,True,1.2506297797470272,0.3639855
74,1910,174.1469,763,3342.9766,3.9968767,5,182.02827,0.8602731365832398,0.9309801016201108,1315.8374487466256,0.99683732,0.81356221,0.0,True,0.9012423916082679,0.8957547341340775
75,6364,200.1868,763,2908.1289,4.0216441,6,99.904877,0.9888199493429796,1.0980747537493016,1753.3814516987525,1.0651823,0.95060962,0.0,True,1.0117286545400856,1.0538352136245113
76,21471,265.29919,763,2194.3867,4.1231441,6,258.74759,1.3101488510559371,1.2962279194322217,2646.2404630027754,1.2031832,1.3242366,0.0,True,1.278059155739156,1.3046305236025553
77,30116,265.29257,763,2194.4414,3.0091209,5,92.476776,1.310116223214305,1.3401922620073141,2735.9299826393762,1.2031831,1.3252221,0.0,True,1.2780362862500136,1.3357012134051198
78,3379,204.09415,763,2852.4531,3.0166268,5,95.789169,1.0081067758582338,1.0211946054578114,1658.4541237608837,1.0856551,0.88295841,0.0,True,1.0313712731007638,0.979723746820468
79,31635,265.29681,763,2194.4062,3.0075154,5,91.995491,1.3101372193720549,1.3465895555413125,2749.0274589218066,1.2031831,1.3254371,0.0,True,1.2780509835604383,1.3402438188789187
80,1214,162.26541,763,3587.7578,3.3099155,4,151.25317,0.8016121621017277,0.8676272297118028,1152.6234668378454,0.96482199,0.86724603,0.0,True,0.8505751104712094,0.8675128697982619
81,58928,207.74651,763,2802.3047,2.9879315,5,87.891861,1.026134396693605,1.3835141204265489,2281.9095992661228,1.0798727,1.181776,0.0,True,1.0422558876855235,1.3229926842985842
82,0,195.64056,763,2975.707,2.0882533,3,106.60948,0.96637899950517,0.0,135.60770256716881,1.0592064,0.0,0.0,True,0.994227219653619,0.0
83,39119,265.31714,763,2194.2383,3.901916,6,216.4561,1.3102373779200287,1.3741973823191767,2805.5734617150506,1.2031834,1.3263874,0.0,True,1.2781211845440201,1.3598543876234235
84,2354,204.28159,763,2849.8359,3.0204556,5,101.25782,1.0090319402597958,0.9758960324782472,1586.1894587915835,1.0861726,0.93548906,0.0,True,1.032174138181857,0.963773940734773
85,61908,208.0638,763,2798.0312,3.0512304,5,83.842209,1.0277005168655053,1.3899947331799325,2295.6588285551393,1.0805897,1.1838259,0.0,True,1.0435672718058537,1.3281440832259528
86,42941,266.22519,763,2186.7539,4.1451101,6,133.70073,1.3147177083177515,1.3869263484486989,2839.991539782386,1.2045277,1.3271344,0.0,True,1.281660705822426,1.3689887639140892
87,3713,197.82401,763,2942.8633,3.0620973,5,139.57979,0.9771569062236407,1.0290063831042648,1626.1398621409487,1.0623758,0.95819509,0.0,True,1.0027225743565484,1.0077629951729854
88,1446,168.03081,763,3464.6562,3.97895,5,94.894516,0.8300775575840319,0.8927786332507769,1222.9179135423035,0.97620547,0.85431361,0.0,True,0.8739159313088223,0.8812391262755438
89,8038,182.26601,763,3194.0625,2.6434717,4,104.72261,0.9003558320525775,1.1142594403283892,1638.9695648776697,1.0084289,0.97968453,0.0,True,0.9327777524368043,1.0738869672298725
90,10454,187.80118,763,3099.9219,1.757437,4,35.753937,0.9276808392498668,1.1510847120345487,1738.0870105649833,1.0231019,1.0091082,0.0,True,0.9563071574749067,1.108491758424184
91,0,150.67308,763,3863.7891,2.1355436,2,37.606464,0.7443741593351643,0.0,104.43862058828309,0.92164737,0.0,0.0,True,0.797556122534615,0.0
92,63,175.32652,763,3320.4844,3.2527552,4,19.765471,0.8660969217732193,0.5128871063124404,731.8807931631027,0.9920755,0.31687412,0.0,True,0.9038904952412534,0.45408321041870825
93,11555,196.88034,763,2956.9688,4.2615724,5,36.297699,0.9724987676380843,1.1704037658410111,1841.8247539408462,1.0468397,1.021808,0.0,True,0.9948010473466591,1.1258250360887079
94,0,144.19241,763,4037.4453,2.2612443,2,135.01828,0.7123734319361971,0.0,99.94656244964365,0.89979571,0.0,0.0,True,0.7686001153553379,0.0
95,2067,192.64038,763,3022.0508,3.9184947,5,18.579279,0.9515691705574328,0.9525438597740064,1470.7747565927589,1.0381774,0.89705789,0.0,True,0.9775516393902031,0.9358980688418044
96,0,156.06572,763,3730.2812,1.5818775,2,20.610142,0.7710012609659587,0.0,108.17651380005786,0.9386605,0.0,0.0,True,0.8212990326761711,0.0
97,17259,200.48814,763,2903.7578,2.7629328,5,32.63969,0.9903074204875373,1.2233729770683046,1956.0033739374126,1.0551622,1.0576127,0.0,True,1.0097638543412761,1.1736448939478132
98,19659,218.76801,763,2661.125,2.9475188,5,282.59201,1.080532649229586,1.2533980675897332,2162.8263601668145,1.1135623,1.1533318,0.0,True,1.09044154446071,1.2233781873128131
99,133,180.058,763,3233.2305,1.9190676,3,44.897072,0.8894554843865193,0.6060059525618999,883.2339660560667,1.0085589,0.65035802,0.0,True,0.9251865090705635,0.6193115727933299
100,139,201.08922,763,2895.0781,2.9046335,4,197.33865,0.9932743999823619,0.6198901776538777,995.1422663234315,1.0671798,0.63664812,0.0,True,1.0154460199876534,0.6249175603577144
101,6,198.37961,763,2934.6211,3.9801583,4,204.08772,0.9798994877069913,0.24368485254459188,412.51880205624457,1.0665861,0.39425996,0.0,True,1.005905471394894,0.28885738478121437
102,2536,184.4368,763,3156.4688,2.1034138,4,49.191708,0.9110723245008914,0.9727702535555149,1445.8243559864436,1.0177583,0.91170633,0.0,True,0.943078117150624,0.9544510764888605
103,3551,185.06088,763,3145.8242,3.0370464,5,91.634239,0.9141531828491378,1.0149577823500051,1512.9740326015356,1.0190055,0.93118244,0.0,True,0.9456088779943965,0.9898251796450036
104,11,170.9467,763,3405.5586,4.0027533,4,299.77649,0.844473668473241,0.3054945867757042,438.46962832517005,0.99455041,0.61969042,0.0,True,0.8894966909312687,0.39975333674299296
105,1158,157.57771,763,3694.4883,2.8804708,4,76.598061,0.7784668252512909,0.8587902096336046,1111.895942627142,0.96633893,0.87500292,0.0,True,0.8348284566759037,0.8636540227435232
106,18524,218.67331,763,2662.2773,3.0476282,5,142.36777,1.0800653188313172,1.2457907565050947,2148.887404227144,1.1131121,1.1499393,0.0,True,1.089979353181922,1.2170353195535664
107,0,196.38379,763,2964.4453,1.9665093,3,249.30594,0.9700477239474267,0.0,136.12287034617637,1.0764673,1.211956,1.0514376849806277,True,1.0019735967631989,0.36358680000000004
108,1034,204.10281,763,2852.332,3.0231018,5,107.61945,1.0081495465417272,0.8724652614067001,1417.1107966714535,1.0858176,0.89585996,0.0,True,1.031449962579209,0.87948367098469
109,1085,198.50592,763,2932.7539,4.1504111,6,101.06636,0.9805229363455453,0.8754542277729489,1387.789999860732,1.0653861,0.87236291,0.0,True,1.0059818854418818,0.8745268324410642
110,97709,266.94907,763,2180.8242,4.178441,6,98.599396,1.3182891739424278,1.4943437355641929,3067.183261517933,1.2115088,1.3502955,0.0,True,1.2862550617596995,1.4511292648949352
111,94,185.74405,763,3134.2539,4.0340176,5,218.02614,0.917525686131324,0.5656214820772193,847.8005186934113,1.0216875,0.71398747,0.0,True,0.9487742302919269,0.6101312784540536
112,24972,225.63495,763,2580.1367,3.9876723,6,104.54194,1.1144233810237627,1.288769274863454,2284.687120329666,1.1210898,1.2119657,0.0,True,1.116423306716634,1.2657282024044179
113,1727,204.28998,763,2849.7188,3.0133884,5,104.31117,1.0090733740926845,0.9369901855899632,1523.04277853427,1.0861728,0.92312211,0.0,True,1.032203201864879,0.9328297629129743
114,784,186.25334,763,3125.6836,4.0794597,6,92.262848,0.9200398376228149,0.8282031875915348,1241.7429702256266,1.0226432,0.82144243,0.0,True,0.9508208463359704,0.8261749603140743
115,2710,215.02148,763,2707.4922,3.0930877,5,111.59052,1.0620416296011264,1.000023697813176,1699.8397634345833,1.1021682,0.94151521,0.0,True,1.0740796007207885,0.9824711514692233
116,1332,188.33588,763,3091.1211,3.8251038,5,81.962677,0.9303203523067821,0.8952289788618408,1355.2531699730355,1.0368137,0.8767283,0.0,True,0.9622683566147474,0.8896787752032886
117,78,197.91437,763,2941.5195,3.9968596,5,103.21908,0.977603006020358,0.5470219645877732,867.2660407247013,1.0630794,0.52010125,0.0,True,1.0032459242142506,0.5389457502114412
118,4567,185.69128,763,3135.1445,2.9959841,5,216.30499,0.9172652109201668,1.046630943409612,1564.8296345654253,1.0202538,0.94730467,0.0,True,0.9481617876441167,1.0168330613867282
119,395,157.50343,763,3696.2305,3.0161734,4,142.29968,0.7781000971895995,0.7280308543354401,942.4904891096753,0.96631896,0.86686319,0.0,True,0.8345657560327195,0.7696805550348081
120,19625,217.58148,763,2675.6367,3.1898727,5,56.991188,1.074676602497845,1.2523161393275792,2150.7192672170286,1.1087508,1.1203706,0.0,True,1.0848988617484916,1.2127324775293054
121,2718,195.95851,763,2970.8789,3.0203111,5,200.41496,0.9679484460263554,0.988796300021019,1549.7157642376094,1.0764586,1.2016538,0.0,True,1.000501492218449,1.0526535500147134
122,6465,195.93661,763,2971.2109,2.0220022,4,97.299965,0.9678403612335543,1.0970998679613448,1719.2394363822766,1.076458,1.2016938,0.0,True,1.000425652863488,1.1284780475729415
123,319,203.11533,763,2866.1992,3.0207191,4,110.58914,1.0032753343908405,0.7245006797443471,1172.2681683001238,1.0840508,0.85629934,0.0,True,1.0275079740735884,0.7640402778210429
124,6727,196.03093,763,2969.7812,2.2243319,4,105.51426,0.968305981436164,1.1021325640340605,1727.852259988702,1.0764648,1.2004529,0.0,True,1.0007536270053148,1.1316286648238423
125,1960,153.57272,763,3790.8359,1.0426435,3,50.618145,0.7586918040613202,0.9199232582337046,1164.3453074114648,0.92626083,0.91995102,0.0,True,0.8089625118429242,0.9199315867635932
126,2470,158.80275,763,3665.9883,2.4159234,3,79.549126,0.7845154553736011,0.9518385887858811,1240.691396742871,0.96555233,0.95126885,0.0,True,0.8388265177615208,0.9516676671501167
127,11067,196.3623,763,2964.7695,1.8106686,4,38.539276,0.9699417199346094,1.1646221682508089,1828.506825433522,1.0765482,1.2021452,0.0,True,1.0019236639542266,1.175879077775566
128,11735,196.4801,763,2962.9922,2.0491505,4,112.33536,0.9705231303743534,1.1720394149669406,1841.1170765053448,1.0765901,1.2016124,0.0,True,1.0023432212620473,1.1809113104768585
