segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,240.08076,1015,4291.1602,2.033566,3,72.426872,0.9440220884589766,0.0,166.4113019006889,,,,False,0.9440220884589766,0.0
1,0,170.93185,1015,6027.1094,1.959393,2,114.33941,0.6722117296615912,0.0,118.48092989539548,0.96314549,0.0,8.658260164113477,True,0.7594918577631138,0.0
2,0,199.8109,1015,5156.0,2.0250759,3,66.774605,0.7857382819102283,0.0,138.49836198014518,,,,False,0.7857382819102283,0.0
3,3314,250.25131,1015,4116.7617,2.9198122,5,35.705177,0.9839943053983817,0.9738888235721889,2028.6658772268763,1.1760848,1.1400183,0.0,True,1.041621453778867,1.0237276665005322
4,2807,203.72334,1015,5056.9805,2.9766395,5,50.41534,0.8011175489000122,0.9309553285943858,1617.682258807659,1.071101,0.99199873,0.0,True,0.8821125842300086,0.94926834901607
5,0,239.2729,1015,4305.6484,2.001574,2,7.5661173,0.9408469962620343,0.0,165.8513360194017,,,,False,0.9408469962620343,0.0
6,0,258.93387,1015,3978.7188,2.0098162,3,3.5003872,1.0181171445953323,0.0,179.47928194197542,,,,False,1.0181171445953323,0.0
7,0,228.21324,1015,4514.3086,1.9789445,2,40.274193,0.897378460385315,0.0,158.18536387245013,,,,False,0.897378460385315,0.0
8,6997,253.3887,1015,4065.7891,3.7498441,6,31.833284,0.9963245287453467,1.0652475497209162,2243.382572073793,1.0365261,0.96293652,0.0,True,1.0083850001217427,1.0345542408046413
9,0,184.30029,1015,5589.9258,3.3283744,4,53.48354,0.724766065045598,0.0,127.74722638988027,0.87154222,0.0,0.0,True,0.7687989115319187,0.0
10,0,340.66833,1015,3024.1289,0.94454139,2,24.131008,1.3392813697040327,0.0,236.13329244556505,1.1586607,1.2029235,3.102927809426347,True,1.285095168792823,0.3608770500000001
11,0,209.42908,1015,4919.207,2.0155368,3,15.51588,0.8235455363070396,0.0,145.16517632926323,,,,False,0.8235455363070396,0.0
12,0,250.93491,1015,4105.5469,1.0469328,2,65.40033,0.9866808965937693,0.0,173.93482537056363,,,,False,0.9866808965937693,0.0
13,0,233.45168,1015,4413.0117,3.1094029,4,17.650295,0.9179676824170042,0.0,161.8163737889826,0.99965447,0.91548175,3.69996579931777,True,0.942473718691903,0.27464452500000003
14,0,181.99493,1015,5660.7344,1.9844632,3,39.530533,0.7157033637482552,0.0,126.14927260570461,1.0438359,0.9867276,14.774984542657405,True,0.8141431246237786,0.2960182800000001
15,1894,181.99229,1015,5660.8164,3.0993314,5,32.581146,0.715693000057879,0.8733050568835219,1373.5871150343494,1.0438356,0.96205908,0.0,True,0.8141357800405152,0.8999312638184653
16,0,171.16792,1015,6018.7969,1.9924374,2,100.20749,0.6731398061430968,0.0,118.64456115031028,0.86349839,0.0,0.0,True,0.7302473813001678,0.0
17,1890,210.10194,1015,4903.4531,3.040319,5,62.13847,0.8261903590705939,0.8878075885387793,1585.3010244495586,0.94534737,0.79553449,0.0,True,0.8619374623494158,0.8601256589771455
18,4446,182.00259,1015,5660.4961,1.931601,4,205.72131,0.715733483347204,0.9720183562683754,1528.8599466828111,1.0438361,0.91910255,0.0,True,0.8141642683430428,0.9561436143878628
19,0,171.77171,1015,5997.6406,2.0000095,2,82.943275,0.6755134729391887,0.0,119.06307648646057,,,,False,0.6755134729391887,0.0
20,0,171.65891,1015,6001.582,0.99567151,1,62.348442,0.6750699928964005,0.0,118.9848894844934,,,,False,0.6750699928964005,0.0
21,1806,206.35292,1015,4992.5391,2.0018797,3,34.618511,0.8114538653011962,0.8805963564719634,1547.64205915697,1.0444193,0.63835657,0.0,True,0.8813434957108374,0.8079244205303744
22,0,254.70746,1015,4044.7383,1.0367482,2,99.601479,1.0015073270473056,0.0,176.54975776658503,1.1774032,1.0970098,6.47515197939389,True,1.054276088933114,0.32910294
