segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,238.45836,675,1910.7109,2.0285366,3,30.439144,1.2987190011361291,0.0,165.28673991494844,,,,False,1.2987190011361291,0.0
1,0,163.9819,675,2778.5078,2.0258613,3,30.439846,0.8933886067538407,0.0,113.66359164786289,0.98963833,0.55849552,3.815122181322286,True,0.9222635237276886,0.16754865600000002
2,0,276.88495,675,1645.5391,0.98908591,2,29.860321,1.5077481253769252,0.0,191.92202243198142,1.2360325,1.3957404,4.001424081701271,True,1.4262334377638475,0.4187221200000001
3,1159,180.13037,675,2529.418,1.4518833,3,28.968948,0.9812974346829273,0.9003749444336365,1271.1866826169244,1.0504535,0.94185925,0.0,True,1.002044254278049,0.9128202361035456
4,0,157.10699,675,2900.0938,0.55053014,1,32.065601,0.8559592351943229,0.0,108.89826716475952,0.98987168,0.90903038,11.90610559969595,True,0.896132968636026,0.27270911400000003
5,0,138.64406,675,3286.293,2.0251212,2,15.73473,0.7554296376600828,0.0,96.10073929038388,,,,False,0.7554296376600828,0.0
6,0,132.42958,675,3440.5078,1.711266,2,32.684799,0.7215884854379085,0.0,91.7931899997377,,,,False,0.7215884854379085,0.0
7,0,132.17027,675,3447.2578,1.0542777,2,77.957748,0.7201763780921758,0.0,91.61345000434672,,,,False,0.7201763780921758,0.0
8,0,197.32568,675,2309.0,1.0348142,2,138.86394,1.0748913844700072,0.0,136.77573874407398,1.094461,0.94377136,0.9770383840230125,True,1.080762269129005,0.28313140800000003
9,0,171.17699,675,2661.7188,3.6116593,3,31.049284,0.9325586430182444,0.0,118.65084799523794,1.0255904,0.88868988,14.76469334160078,True,0.9604681701127711,0.26660696400000006
10,0,156.12828,675,2918.2734,3.6116595,3,43.69619,0.8506306257181901,0.0,108.21987708767368,0.97947234,0.90519363,3.146189500480793,True,0.8892831400027331,0.27155808900000006
