segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,168.79309,714,3020.2422,1.0050994,2,2.5659828,0.8792423305250964,0.0,116.9984544315011,,,,False,0.8792423305250964,0.0
1,0,143.12056,714,3562.0039,0.22274429,1,20.705511,0.745589328715183,0.0,99.20361264416049,,,,False,0.745589328715183,0.0
2,1247,149.78702,714,3403.4727,2.1362121,4,55.305679,0.780297923204404,0.8765422753111856,1067.9962081381502,0.91867381,0.9078781,0.0,True,0.8218106892430829,0.8859430227178299
3,0,164.77069,714,3093.9727,2.2264879,3,92.350494,0.8583031999407794,0.0,114.21033921241677,,,,False,0.8583031999407794,0.0
4,0,189.19078,714,2694.6133,2.0595446,2,173.49924,0.9854150297854329,0.0,131.13705574493687,,,,False,0.9854150297854329,0.0
5,0,251.83418,714,2024.332,1.119647,2,6.4982767,1.3113760604576616,0.0,174.55815183562575,1.1192285,1.1442513,9.017176382400205,True,1.2537317923203632,0.34327539000000007
6,2502,257.13336,714,1982.6133,2.0635343,4,96.223236,1.3389425916571729,1.030494053457501,2012.2343241620258,1.1196659,1.1441518,0.0,True,1.273159584160021,1.0645913774202507
7,10,191.13338,714,2667.2266,3.9991043,4,263.47714,0.995525548613705,0.3039188855155997,474.94860695845676,0.99983901,0.0,0.0,True,0.9968195870295935,0.2127432198609198
8,0,164.63309,714,3096.5586,0.48849368,1,137.3848,0.8575869035813279,0.0,114.11496216037173,0.92904943,0.83265483,11.302593431605187,True,0.8790256615069296,0.24979644900000003
9,1259,185.45439,714,2748.9023,2.4138494,3,50.992516,0.9659678845516594,0.9013666676119977,1324.0813524135692,0.96554279,0.88630033,0.0,True,0.9658403561861616,0.8968467663283984
10,1249,157.43498,714,3238.1367,3.0062342,4,49.99218,0.8201145573084292,0.8821352869853738,1122.778812361388,0.91062587,0.86339861,0.0,True,0.8472679511159005,0.8765142838897617
11,0,129.60533,714,3933.4492,0.97471958,1,166.22391,0.6752172726151044,0.0,89.8355690750413,0.83138698,0.0,0.0,True,0.7220681848305731,0.0
12,2091,197.4169,714,2582.332,4.0309501,6,218.50114,1.0282282908462592,0.9730537137864621,1509.5194481887497,1.0088149,0.98287231,0.0,True,1.0224042735923815,0.9759992926505234
13,4244,257.13791,714,1982.5781,2.0078402,4,101.56894,1.3389663401703842,1.100061258331298,2148.0613523303373,1.1196659,1.144285,0.0,True,1.2731762081192688,1.1133283808319088
14,4459,197.58009,714,2580.1992,3.9746356,5,43.833305,1.029077568972717,1.0695093745146453,1660.2908329781837,1.0088209,0.93509793,0.0,True,1.0230005682809018,1.0291859411602517
15,0,234.81912,714,2171.0156,0.12155231,1,27.43399,1.2228551306025113,0.0,162.76421096956747,,,,False,1.2228551306025113,0.0
16,1262,244.5303,714,2084.7969,2.2373903,4,110.20982,1.2733789643540752,0.9342453623616104,1746.444346224027,1.0942357,0.86456084,0.0,True,1.2196359850478526,0.9133400056531272
17,0,225.13335,714,2264.418,1.0735359,2,149.13525,1.172459482469383,0.0,156.05054680251536,,,,False,1.172459482469383,0.0
18,0,216.71617,714,2352.3672,1.9983231,3,1.0864413,1.128661355518075,0.0,150.21620221724982,,,,False,1.128661355518075,0.0
19,304,167.69627,714,3039.9961,4.0083332,5,91.951027,0.8735327686117988,0.7132026652576683,959.823872624984,0.98393625,0.53093296,0.0,True,0.9066538130282592,0.6585217536803678
20,0,167.57655,714,3042.168,2.001677,3,13.177077,0.8729095356561446,0.0,116.1552131604627,,,,False,0.8729095356561446,0.0
21,1769,168.79549,714,3020.1992,2.0064752,4,100.53242,0.879254840428551,0.9332004833289193,1262.472047216376,1.0582079,0.97145087,0.0,True,0.9329407582999856,0.9446755993302435
22,2681,216.71545,714,2352.375,3.9953613,6,249.46777,1.128657616284277,1.0167252988859454,1710.9014802608717,1.0996388,1.03552,0.0,True,1.1199519713989938,1.0223637092201618
23,0,206.50978,714,2468.6289,0.98792464,2,93.785744,1.0755493369883653,0.0,143.14167176505458,1.0652326,1.0180608,0.43446630059066016,True,1.0724543158918558,0.30541824000000006
24,0,197.20033,714,2585.168,0.96529782,2,32.140347,1.0271011682810294,0.0,136.6888527449908,,,,False,1.0271011682810294,0.0
25,0,191.85858,714,2657.1445,2.0312126,3,33.026802,0.9993000663707048,0.0,132.9862337932347,,,,False,0.9993000663707048,0.0
26,0,167.58601,714,3041.9961,2.0398726,3,44.540836,0.8729588304463645,0.0,116.1617703327908,,,,False,0.8729588304463645,0.0
27,1763,198.36932,714,2569.9336,2.2122698,4,72.730789,1.0331850228712338,0.95193272813116,1482.9903835273512,1.0164912,0.988195,0.0,True,1.0281768760098635,0.962811409691812
28,194,168.65631,714,3022.6914,3.7213335,4,220.84969,0.8785303767978757,0.6579000249145945,890.1873421827264,0.97817975,0.43494967,0.0,True,0.9084251887585131,0.5910149184402161
29,0,4.6757989,2,0.85546875,0.8565079,1,55.295258,0.804560270531439,0.0,3.2410168244002935,0.88200313,0.86155051,9.812605760316735,True,0.8277931283720072,0.25846515300000006
30,0,4.6757989,2,0.85546875,0.8565079,1,72.580132,0.804560270531439,0.0,3.2410168244002935,0.81601483,0.0,0.0,True,0.8079966383720072,0.0
31,0,284.30899,714,1793.1055,0.91683191,2,82.730072,1.4802936514535188,0.0,197.06797482634568,,,,False,1.4802936514535188,0.0
32,0,172.51112,714,2955.1484,1.601922,2,59.81403,0.8985965247260822,0.0,119.5755964432384,1.0054572,0.0,0.0,True,0.9306547273082575,0.0
33,3999,201.13519,714,2534.5938,2.9864011,4,14.949616,1.047579346499741,1.058053285025794,1668.2755277444257,1.0737056,0.97028571,0.0,True,1.0554172225498186,1.0317230125180559
34,6439,284.12268,714,1794.2812,2.0919356,4,11.693078,1.4793247712770665,1.1703026810187398,2491.8806580464543,1.2077024,1.324315,0.0,True,1.3978380598939464,1.216506376713118
35,72,205.89662,714,2475.9805,3.9941697,4,92.302574,1.0723584287040573,0.5489607934973347,886.1924549507237,1.0705147,0.31760353,0.0,True,1.0718053100928402,0.47955361444813427
36,2115,182.38499,714,2795.1641,2.2038143,4,188.78191,0.9499919133594252,0.9647919982407563,1396.6596185483797,1.0266994,0.92162067,0.0,True,0.9730041593515977,0.9518405997685295
37,8185,284.98257,714,1788.8672,2.0416217,4,191.44193,1.4837969422519406,1.2027986168657925,2567.7792510943204,1.2072672,1.324157,0.0,True,1.4008380195763583,1.2392061318060548
38,0,199.4053,714,2556.582,0.99291915,2,214.82828,1.0385765534734843,0.0,138.21722148371006,1.0742064,1.060434,5.307980022590756,True,1.049265507431439,0.3181302000000001
39,901,171.25679,714,2976.793,3.9597931,5,92.078018,0.8920671142101161,0.8506183768597351,1165.5261981287965,0.98458338,0.53849959,0.0,True,0.9198219939470813,0.7569827408018145
40,1301,206.50749,714,2468.6562,3.0133586,5,99.189621,1.0755374524951284,0.9179551851437614,1481.1593966363632,1.0652326,1.0168228,0.0,True,1.07244599674659,0.947615469600633
41,811,171.31703,714,2975.7461,4.0174437,5,93.666855,0.8923807423807203,0.8375152514630517,1147.9493525163355,0.98389119,0.46308127,0.0,True,0.9198338766665043,0.7251850570241362
42,2564,199.51382,714,2555.1914,2.027642,4,23.9195,1.0391413311257398,1.000338719928918,1566.204145693523,1.073976,1.0136691,0.0,True,1.049591731788018,1.0043378339502427
43,1421,197.27248,714,2584.2227,4.0178461,5,93.903465,1.0274765878975909,0.9238362513745413,1432.3012990212285,1.0088102,0.98371863,0.0,True,1.0218766715283136,0.941800964962179
44,2641,206.67656,714,2466.6367,3.0203109,5,94.447609,1.0764173097399445,1.0086362840667344,1628.5430718859081,1.0650815,1.0155588,0.0,True,1.0730165668179612,1.010713038846714
