bia,avg_local_nain,avg_local_nach,avg_citywide_nain,avg_citywide_nach,avg_blended_nain,avg_blended_nach,avg_segment_length,blended_nain_nach_pearson_r,blended_nain_nach_p_value,pct_citywide_matched,avg_blended_nain_rank,avg_blended_nach_rank,avg_segment_length_rank,blended_nain_nach_pearson_r_rank
Albion Islington Square,0.651056,0.79289,0.899616,0.787171,0.717547,0.771733,93.7277,0.51833,8.98E-30,91.77,82,81,66,73
Baby Point Gates,0.982837,0.859103,1.000216,0.83127,0.98608,0.837586,90.2506,0.617948,4.33E-67,94.72,65,40,59,22
Bayview Leaside,1.286336,0.912594,1.044837,0.880981,1.217649,0.882394,105.4487,0.540446,2.67E-33,92.16,8,7,80,67
Bloor Annex,1.283667,0.881428,1.051559,0.861839,1.217088,0.855173,79.7625,0.585933,5.10E-76,92.12,9,26,38,49
Bloor By The Park,1.018954,0.825339,1.005853,0.818847,1.015406,0.809887,78.7542,0.558502,7.11E-64,94.5,56,61,32,64
Bloor West Village,0.935885,0.803278,0.968565,0.799091,0.943299,0.783943,85.3126,0.565973,2.06E-57,92.46,71,76,51,59
Bloor-Yorkville,1.164951,0.868475,1.034806,0.827832,1.12681,0.848964,76.9564,0.657346,2.40E-135,97.05,31,32,26,3
Bloorcourt Village,1.224703,0.85961,1.053394,0.861704,1.17476,0.84589,83.455,0.608254,2.26E-110,94.45,18,35,48,35
Bloordale Village,1.168457,0.845939,1.045629,0.846918,1.132538,0.831207,80.3133,0.621064,2.67E-100,94.09,30,45,41,19
Broadview Danforth,1.001214,0.820234,1.000381,0.818209,0.998318,0.803427,80.1497,0.598837,4.77E-69,93.4,62,65,40,42
Cabbagetown,1.28105,0.891085,1.029276,0.837365,1.207694,0.864987,68.9392,0.646453,6.97E-144,96.03,10,13,9,8
Cedarbrae Markham Lawrence Village ,0.764718,0.812099,0.916268,0.804757,0.807609,0.796577,92.3465,0.53773,1.44E-55,94.48,80,69,62,68
Chinatown,1.20063,0.877866,1.042536,0.837448,1.154519,0.856539,67.2561,0.65038,6.30E-152,96.34,25,25,7,7
Church-Wellesley Village,1.287785,0.877192,1.04492,0.847274,1.218956,0.85133,71.0757,0.609807,1.65E-88,93.36,7,28,12,33
CityPlace and Fort York,0.912093,0.844958,0.964915,0.813822,0.926789,0.826648,71.6423,0.424485,9.23E-55,96.33,72,51,15,79
College Promenade,1.210902,0.851097,1.043899,0.824598,1.162278,0.83289,72.625,0.629379,1.73E-115,95.85,22,44,16,14
College West,1.120469,0.825168,1.03251,0.821533,1.094084,0.810469,70.5129,0.612317,2.33E-118,94.48,36,58,11,31
Corso Italia,1.105436,0.844802,1.025996,0.84391,1.080767,0.82846,79.4636,0.640931,3.47E-103,93.65,45,48,37,12
Crossroads of the Danforth,1.026574,0.812183,1.030277,0.825429,1.026036,0.798495,89.3182,0.602822,1.42E-70,92.87,53,68,58,39
Danforth Mosaic,1.13369,0.840616,0.99645,0.820837,1.093867,0.82128,84.6851,0.603159,9.25E-152,94.56,37,53,50,38
Danforth Village,1.031112,0.805455,1.001313,0.803164,1.022372,0.791022,82.6209,0.61009,2.92E-92,94.3,54,73,46,32
Dovercourt Village,1.182321,0.878296,1.053014,0.860187,1.14287,0.858139,79.3914,0.663385,1.05E-127,94.29,28,21,35,1
Downtown Yonge,1.393568,0.915431,1.051028,0.864166,1.294958,0.888903,71.1576,0.616667,1.58E-144,95.7,1,2,13,24
DuKe Heights,0.802436,0.8562,0.964331,0.85363,0.848056,0.844019,119.6909,0.559593,2.70E-84,95.54,79,36,86,62
Dupont by the Castle,1.015329,0.833599,1.036288,0.831033,1.020099,0.818808,79.1381,0.6135,1.26E-118,94.38,55,55,33,30
Eglinton Hill,0.981196,0.832407,1.020451,0.825798,0.988649,0.810428,88.6026,0.623694,1.92E-49,91.93,64,59,55,17
Emery Village,0.615772,0.7717,0.931424,0.770782,0.706146,0.761314,107.7279,0.401427,3.61E-69,95.63,84,82,83,80
Fairbank Village,1.029086,0.850955,1.041688,0.834156,1.030425,0.826937,88.9037,0.609144,7.04E-59,92.42,51,50,56,34
Financial District,1.032357,0.896393,1.034391,0.869807,1.032663,0.879568,77.0675,0.440122,1.13E-55,96.61,50,8,28,77
Forest Hill Village,1.184594,0.869026,1.051851,0.875218,1.145126,0.850325,93.4674,0.590712,2.16E-43,92.17,27,30,65,48
Gerrard India Bazaar,1.096199,0.81201,1.008196,0.78072,1.070185,0.787276,78.6337,0.57512,1.02E-57,93.45,47,74,31,55
Greektown on the Danforth,1.15308,0.867328,0.992524,0.820171,1.106852,0.842863,82.2414,0.620484,4.60E-100,95.81,35,37,45,20
Harbord Street,1.245988,0.880608,1.048367,0.86386,1.18905,0.858864,76.8763,0.58058,1.75E-65,93.55,13,19,25,51
Hillcrest Village,1.098045,0.865394,1.03178,0.847325,1.07694,0.842331,81.0973,0.619499,4.70E-76,93.06,46,38,43,21
Historic Queen East,1.388016,0.907519,1.046878,0.86121,1.288244,0.88608,67.3908,0.641712,1.70E-183,97.08,2,4,8,10
Humber Bay Shores,0.412561,0.804553,0.733973,0.803322,0.506148,0.794747,74.0358,0.012163,7.01E-01,96.08,85,71,17,86
Kennedy Road,0.883696,0.796908,1.004154,0.807559,0.916483,0.781925,106.9498,0.593812,2.91E-67,92.5,73,77,81,46
Kensington Market,1.203245,0.877945,1.040344,0.833656,1.155462,0.85507,67.1621,0.655588,1.14E-154,96.17,24,27,6,4
Korea Town,1.308224,0.897521,1.049621,0.863007,1.233044,0.876322,79.2836,0.617859,4.34E-119,95.81,6,10,34,23
Lakeshore Village,1.1767,0.919071,0.856016,0.821799,1.081208,0.88247,99.8166,0.351631,5.11E-14,96.99,44,6,72,82
Lawrence Ingram Keele,0.931301,0.825821,1.003613,0.816864,0.950424,0.807048,102.2553,0.626365,2.79E-79,93.44,70,63,75,16
Leslieville,1.275213,0.880666,1.019214,0.837388,1.201264,0.856892,77.0161,0.598395,5.49E-114,95.7,11,24,27,43
Liberty Village,1.060926,0.839637,1.006663,0.820855,1.043502,0.822072,76.7905,0.519282,2.49E-72,95.16,49,52,23,72
Little Italy,1.26002,0.850149,1.042877,0.825621,1.197078,0.829914,74.1273,0.632124,2.61E-138,94.8,12,47,18,13
Little Portugal Toronto,1.223639,0.855248,1.03846,0.828257,1.169237,0.836379,71.2363,0.616058,1.51E-176,95.67,19,42,14,26
Long Branch,1.069456,0.843547,0.851891,0.774908,1.005922,0.810484,92.8276,0.442887,8.30E-24,94.64,60,57,64,76
MarkeTO District,1.117037,0.836694,1.026826,0.820685,1.090692,0.812837,103.5841,0.575193,1.37E-44,92.26,39,56,79,54
Midtown Yonge,1.197832,0.880998,1.064899,0.88161,1.159438,0.858425,101.9737,0.598046,4.88E-52,91.4,23,20,74,44
Mimico By The Lake,0.350384,0.807556,0.72135,0.809653,0.456292,0.796124,79.832,0.080478,5.19E-02,95.03,86,70,39,85
Mimico Village,1.03828,0.824993,0.901387,0.805993,0.998382,0.802617,95.8602,0.572869,2.65E-39,93.1,61,66,69,57
Mirvish Village,1.321458,0.890544,1.05043,0.86502,1.244488,0.864372,76.0628,0.565229,2.45E-73,92.87,3,14,21,60
Mount Dennis,0.798626,0.758009,0.988324,0.77985,0.851174,0.74523,89.1308,0.43998,9.12E-24,91.74,78,86,57,78
Mount Pleasant Village,1.315548,0.89389,1.072335,0.892993,1.244285,0.872488,111.5509,0.60218,7.04E-44,92.11,4,11,84,40
Oakwood Village,1.111413,0.881953,1.037702,0.855784,1.087509,0.857927,87.587,0.646164,2.17E-89,93.7,41,23,52,9
Old Town Toronto,1.248261,0.915702,1.042529,0.876725,1.187345,0.896798,75.3004,0.548343,1.28E-109,97.26,15,1,20,66
Ossington Avenue,1.170279,0.881184,1.05241,0.836302,1.135453,0.858006,66.3027,0.621728,2.75E-114,96.13,29,22,4,18
Pape Village,1.142911,0.899859,0.968281,0.859202,1.091275,0.876942,93.7834,0.591772,2.73E-51,95.84,38,9,67,47
Parkdale Village,1.012899,0.829532,1.012134,0.801463,1.011437,0.810203,76.803,0.577756,2.72E-93,95.46,59,60,24,53
Queen Street West,1.306837,0.883663,1.053596,0.845523,1.233083,0.86183,66.8005,0.653641,2.14E-167,95.9,5,16,5,5
Regal Heights Village,1.151861,0.868437,1.029992,0.847777,1.116078,0.847445,82.1219,0.616423,9.96E-86,94.18,34,34,44,25
Riverside District,1.193641,0.854443,1.030099,0.83187,1.146248,0.837515,66.2214,0.614703,2.87E-108,95.93,26,41,3,29
Rogers Road,0.856952,0.801375,0.995348,0.797626,0.894627,0.784776,84.5323,0.570545,2.81E-73,93.53,74,75,49,58
Roncesvalles Village,1.049551,0.859157,0.988753,0.828164,1.03032,0.841553,82.8418,0.62727,2.51E-112,96.66,52,39,47,15
Rosedale Main Street,1.009243,0.82455,1.029031,0.801679,1.013277,0.806406,76.0707,0.59566,4.78E-85,95.31,58,64,22,45
Sheppard East Village,0.808215,0.755025,0.957602,0.76093,0.852295,0.747244,103.2274,0.560069,1.79E-58,95.82,77,85,77,61
Shop The Queensway,1.022649,0.819698,0.910831,0.795833,0.98939,0.801821,103.313,0.582123,6.31E-74,95.51,63,67,78,50
