segment_id,T1024 Choice,T1024 Integration,T1024 Node Count,T1024 Total Depth,Angular Connectivity,Connectivity,Segment Length,local_nain,local_nach,integrated,citywide_nain,citywide_nach,citywide_match_distance_m,citywide_matched,blended_nain,blended_nach
0,0,11.120567,14,17.625,2.0045915,3,3.5653014,1.2093276353128202,0.0,7.708189662277968,,,,False,1.2093276353128202,0.0
1,32,14.556426,14,13.464844,4.0114527,6,99.006844,1.534645602827555,1.2482055223774335,51.331206025896336,0.97251654,0.99206001,0.0,True,1.3660068839792885,1.1713618686642036
2,0,12.654729,14,15.488281,2.0115139,3,13.272058,1.3570833430120488,0.0,8.771589727100176,,,,False,1.3570833430120488,0.0
3,57,14.594532,14,13.429688,3.9962902,6,104.87167,1.5381422387163042,1.4506297026426087,59.50975070628023,0.9725166,1.0135188,0.0,True,1.368454547101413,1.3194964318498261
4,0,8.3654556,14,23.429688,2.0053592,3,10.567073,0.9332814009756666,0.0,5.798491963239406,,,,False,0.9332814009756666,0.0
5,0,14.598778,14,13.425781,1.9984102,3,79.605972,1.5385318152133818,0.0,10.119101810320556,0.9725166,1.0254006,10.531320243224059,True,1.3687272506493673,0.30762018
6,0,373.88947,1213,3935.3047,1.0131693,2,113.44249,1.2747761681784726,0.0,259.16043197155227,1.0742788,0.96018195,0.9698619033582303,True,1.214626957724931,0.28805458500000003
7,326,328.15134,1213,4483.8125,3.998136,5,85.516914,1.1189014695592139,0.6885516147785892,1900.9851782294922,1.0553021,0.45005789,0.0,True,1.0998216586914498,0.6170034973450124
8,851,224.66356,1213,6549.2109,2.5929713,4,101.34374,0.7661457210020656,0.7678568573785923,1516.2003455234697,0.88065189,0.7913205,0.0,True,0.8004975717014459,0.7748959501650147
9,18,204.49283,1213,7195.2109,1.1149402,2,22.688997,0.6973787857761805,0.3315216884012165,612.6057705413897,0.8383109,0.27531597,0.0,True,0.7396584200433264,0.3146599728808515
10,0,192.98323,1213,7624.3359,1.4967741,2,83.364502,0.6581380972764511,0.0,133.76578176985146,0.81278372,0.0,0.0,True,0.7045317840935158,0.0
11,822,224.73741,1213,6547.0586,1.9379289,2,109.43451,0.7663975091652243,0.7639445825839452,1508.9252951901824,0.88331062,0.79136056,0.0,True,0.801471442415657,0.7721693758087615
12,1650,276.80096,1213,5315.6211,3.0795779,4,93.811836,0.9438773662187196,0.8636394577940395,2051.023686241875,0.9776693,0.84901017,0.0,True,0.9540149463531038,0.8592506714558277
13,4104,209.83398,1213,7012.0625,2.3389025,3,110.5934,0.7155884622381239,0.9394912962814489,1745.8616451242747,0.88273263,0.91299874,0.0,True,0.7657317125666867,0.9315435293970142
14,2054,193.30005,1213,7611.8398,1.0373141,2,22.347528,0.6592182565250574,0.8534521746064294,1474.5928386428395,0.84316081,0.85883576,0.0,True,0.7144010225675401,0.8550672502245006
15,0,178.03174,1213,8264.6445,0.54088235,1,28.420549,0.6071607649775058,0.0,123.40219863118125,0.80399579,0.0,0.0,True,0.666211272484254,0.0
16,4104,218.77568,1213,6725.4688,2.7520945,3,55.683609,0.7460729061154607,0.9439373623019807,1820.2584185744456,0.88553321,0.91320491,0.0,True,0.7879109972808226,0.9347176266113865
17,2054,190.19476,1213,7736.1172,1.5578411,2,119.0171,0.6486309354964398,0.8519091553802587,1450.9040791422124,0.82044375,0.85710305,0.0,True,0.7001747798475079,0.853467323766181
18,0,170.95973,1213,8606.5234,0.71982116,1,36.837811,0.5830479822378238,0.0,118.5002548387895,0.7716735,0.0,0.0,True,0.6396356375664767,0.0
19,0,435.11865,1213,3381.5352,0.90624952,2,109.39127,1.4834136197008063,0.0,301.60126545654964,,,,False,1.4834136197008063,0.0
20,6126,313.05283,1213,4700.0664,2.3299077,3,71.868568,1.0674417950408126,1.0312785537575442,2730.0159322252675,1.0850694,0.95763141,0.0,True,1.0727300765285688,1.009184410630281
21,4088,288.72375,1213,5096.1133,0.88702643,2,36.455971,0.9845175858326042,0.974139530844569,2401.113394027853,1.0451888,0.92458808,0.0,True,1.0027189500828229,0.9592740955911983
22,2046,255.14787,1213,5766.7305,0.91255629,2,174.13208,0.870067027471138,0.8803458984810207,1945.40529388013,0.98404652,0.86876822,0.0,True,0.9042608752297965,0.8768725949367144
23,0,237.42468,1213,6197.2031,0.3560873,1,35.078457,0.8096495819627351,0.0,164.57024753734723,0.94848794,0.0,0.0,True,0.8513010893739146,0.0
24,10190,435.02216,1213,3382.2852,1.1993272,3,328.83673,1.4830848766578808,1.1356023859487403,4014.975416929848,1.2235947,1.3748627,0.0,True,1.4052378236605167,1.2073804801641184
25,12216,451.29745,1213,3260.3086,0.96783167,3,248.60429,1.5385369116879657,1.1631651130123588,4247.009366966383,1.2209526,1.3746175,0.0,True,1.443261618181576,1.2266008291086512
26,182316,455.02759,1213,3233.582,2.435637,4,24.861454,1.5512455559516314,1.4987741739018945,5511.9802125090855,1.2202235,1.37099,0.0,True,1.451938939166142,1.460438921731326
27,169119,339.57709,1213,4332.9453,4.7727957,5,247.0193,1.157842106662128,1.4374689352860408,4087.954555840482,1.0913713,1.1955909,0.0,True,1.1379008646634898,1.3649055247002286
28,142,329.43854,1213,4466.293,3.1421256,4,104.59884,1.1232885127311685,0.5904643886204154,1637.2480374849004,1.0244831,0.42416185,0.0,True,1.093646888911818,0.5405736270342908
29,838,340.69943,1213,4318.6719,0.53859806,2,105.0312,1.1616670542415153,0.8041919655299974,2294.06618650991,1.0416048,0.82184267,0.0,True,1.1256483779690607,0.8094871768709981
